npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1074641805.63,7088.40550907,1074641805.63,1074646817.89,1074636793.37,1074637294.6,1074646316.67,2.0,50245492.661,1.0563053673200001e-12,0.12498630137,0.125027109087,0.125333333333,1,0.00195854338395
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1048680581.02,19969.148586,1048680581.02,1048694701.34,1048666460.7,1048667872.73,1048693289.3,2.0,398766895.249,1.0563053673200001e-12,0.24999086758,0.125027109087,0.125333333333,26,0.00391737297911
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1020800678.97,12092.4745335,1020800678.97,1020809229.64,1020792128.3,1020792983.37,1020808374.57,2.0,146227940.343,1.0563053673200001e-12,0.25000913242,0.125027109087,0.125333333333,51,0.00391765919034
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,992870772.379,85409.9383604,992870772.379,992931166.326,992810378.433,992816417.828,992925126.931,2.0,7294857570.73,1.0563053673200001e-12,0.25000913242,0.125027109087,0.125333333333,76,0.00391765919034
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,964996619.57,142855.19489,964996619.57,965097633.447,964895605.693,964905707.08,965087532.059,2.0,20407606707.1,1.0563053673200001e-12,0.12500456621,0.125027109087,0.125333333333,101,0.00195882959517
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,895542669.785,137841.985482,895542669.785,895640138.788,895445200.783,895454947.683,895630391.888,2.0,19000412961.7,1.0563053673200001e-12,0.12498630137,0.25,0.250666666667,7,0.00783247488584
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,870369093.976,502077.53777,870369093.976,870724116.408,870014071.545,870049573.788,870688614.165,2.0,252081853934.0,1.0563053673200001e-12,0.24999086758,0.25,0.250666666667,32,0.0156660943683
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,842611069.562,102450.596564,842611069.562,842683513.073,842538626.05,842545870.401,842676268.722,2.0,10496124736.4,1.0563053673200001e-12,0.25000913242,0.25,0.250666666667,57,0.015667238965
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,814573125.957,412337.872955,814573125.957,814864692.863,814281559.051,814310715.741,814835536.172,2.0,170022521473.0,1.0563053673200001e-12,0.25000913242,0.25,0.250666666667,82,0.015667238965
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,796676856.611,274082.876856,796676856.611,796870662.472,796483050.75,796502431.336,796851281.886,2.0,75121423385.6,1.0563053673200001e-12,0.12498630137,0.25,0.125333333333,2,0.00391623744292
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,795604597.811,372147.536124,795604597.811,795867745.857,795341449.764,795367764.569,795841431.053,2.0,138493788643.0,1.0563053673200001e-12,0.24999086758,0.25,0.125333333333,27,0.00783304718417
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,786500069.108,1373.72645414,786500069.108,786501040.479,786499097.737,786499194.874,786500943.342,2.0,1887124.37081,1.0563053673200001e-12,0.12500456621,0.25,0.250666666667,107,0.0078336194825
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,766894468.006,905402.246639,766894468.006,767534684.074,766254251.937,766318273.544,767470662.467,2.0,819753228219.0,1.0563053673200001e-12,0.25000913242,0.25,0.125333333333,52,0.0078336194825
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,739587282.235,271504.70454,739587282.235,739779265.053,739395299.417,739414497.699,739760066.771,2.0,73714804587.3,1.0563053673200001e-12,0.25000913242,0.25,0.125333333333,77,0.0078336194825
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,721440212.239,72455.7309347,721440212.239,721491446.178,721388978.301,721394101.694,721486322.784,2.0,5249832945.28,1.0563053673200001e-12,0.12498630137,0.25,0.249333333333,13,0.00779081278539
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,711723941.122,173868.53611,711723941.122,711846884.742,711600997.501,711613291.863,711834590.38,2.0,30230267849.0,1.0563053673200001e-12,0.12500456621,0.25,0.125333333333,102,0.00391680974125
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,695607813.397,103703.102477,695607813.397,695681142.564,695534484.23,695541817.147,695673809.648,2.0,10754333463.3,1.0563053673200001e-12,0.24999086758,0.25,0.249333333333,38,0.0155827640791
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,667731659.812,273965.224252,667731659.812,667925382.48,667537937.144,667557309.411,667906010.213,2.0,75056944099.2,1.0563053673200001e-12,0.25000913242,0.25,0.249333333333,63,0.0155839025875
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,640204333.545,129275.067357,640204333.545,640295744.822,640112922.268,640122063.396,640286603.694,2.0,16712043040.2,1.0563053673200001e-12,0.25000913242,0.25,0.249333333333,88,0.0155839025875
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,621505484.387,857239.458665,621505484.387,622111644.221,620899324.553,620959940.536,622051028.238,2.0,734859489493.0,1.0563053673200001e-12,0.12498630137,0.25,0.250666666667,8,0.00783247488584
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,619564347.989,812856.938615,619564347.989,620139124.643,618989571.336,619047049.001,620081646.977,2.0,660736402654.0,1.0563053673200001e-12,0.24999086758,0.25,0.250666666667,33,0.0156660943683
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,611879967.182,642564.829916,611879967.182,612334329.131,611425605.234,611471041.428,612288892.936,2.0,412889560645.0,1.0563053673200001e-12,0.12500456621,0.25,0.249333333333,113,0.00779195129376
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,590687226.94,610079.754182,590687226.94,591118618.471,590255835.409,590298974.562,591075479.318,2.0,372197306463.0,1.0563053673200001e-12,0.25000913242,0.25,0.250666666667,58,0.015667238965
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,563024418.734,332116.96684,563024418.734,563259260.894,562789576.575,562813060.791,563235776.678,2.0,110301679663.0,1.0563053673200001e-12,0.25000913242,0.25,0.250666666667,83,0.015667238965
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,553713242.219,417529.496214,553713242.219,554008480.158,553418004.281,553447528.075,553978956.364,2.0,174330880209.0,1.0563053673200001e-12,0.12498630137,0.25,0.249333333333,19,0.00779081278539
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,535429787.795,432175.597774,535429787.795,535735382.091,535124193.499,535154752.929,535704822.661,2.0,186775747312.0,1.0563053673200001e-12,0.12500456621,0.25,0.250666666667,108,0.0078336194825
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,534718722.085,127572.257283,534718722.085,534808929.293,534628514.877,534637535.598,534799908.572,2.0,16274680828.2,1.0563053673200001e-12,0.24999086758,0.25,0.125333333333,28,0.00783304718417
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,527344673.41,817709.069181,527344673.41,527922881.037,526766465.782,526824286.544,527865060.275,2.0,668648121821.0,1.0563053673200001e-12,0.24999086758,0.25,0.249333333333,44,0.0155827640791
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,522538232.707,80114.8107292,522538232.707,522594882.433,522481582.981,522487247.954,522589217.461,2.0,6418382898.18,1.0563053673200001e-12,0.12498630137,0.25,0.125333333333,3,0.00391623744292
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,507469849.351,1507437.16921,507469849.351,508535768.395,506403930.306,506510522.211,508429176.491,2.0,2272366819130.0,1.0563053673200001e-12,0.25000913242,0.25,0.125333333333,53,0.0078336194825
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,499642961.003,1015022.50124,499642961.003,500360690.297,498925231.71,498997004.639,500288917.368,2.0,1030270678010.0,1.0563053673200001e-12,0.25000913242,0.25,0.249333333333,69,0.0155839025875
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,477568392.803,383803.1982,477568392.803,477839782.647,477297002.959,477324141.944,477812643.663,2.0,147304894949.0,1.0563053673200001e-12,0.25000913242,0.25,0.125333333333,78,0.0078336194825
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,471386059.996,195317.490633,471386059.996,471524170.318,471247949.674,471261760.706,471510359.286,2.0,38148922147.2,1.0563053673200001e-12,0.25000913242,0.25,0.249333333333,94,0.0155839025875
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,453938421.056,1313165.85744,453938421.056,454866969.538,453009872.573,453102727.421,454774114.69,2.0,1724404569140.0,1.0563053673200001e-12,0.12498630137,0.25,0.249333333333,14,0.00779081278539
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,450539002.466,141289.585729,450539002.466,450638909.29,450439095.642,450449086.324,450628918.608,2.0,19962747035.4,1.0563053673200001e-12,0.12500456621,0.25,0.125333333333,103,0.00391680974125
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,448591243.053,751895.896452,448591243.053,449122913.74,448059572.366,448112739.435,449069746.672,2.0,565347439102.0,1.0563053673200001e-12,0.24999086758,0.25,0.249333333333,39,0.0155827640791
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,444217735.521,659445.128797,444217735.521,444684033.644,443751437.399,443798067.211,444637403.831,2.0,434867877893.0,1.0563053673200001e-12,0.12500456621,0.25,0.249333333333,119,0.00779195129376
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,420403988.425,522201.811453,420403988.425,420773240.867,420034735.983,420071661.227,420736315.623,2.0,272694731885.0,1.0563053673200001e-12,0.25000913242,0.25,0.249333333333,64,0.0155839025875
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,398826943.002,1905022.88071,398826943.002,400173997.599,397479888.404,397614593.864,400039292.139,2.0,3629112176010.0,1.0563053673200001e-12,0.12498630137,0.124972890913,0.125333333333,25,0.00195769405898
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,392634531.313,613262.470473,392634531.313,393068173.364,392200889.261,392244253.467,393024809.159,2.0,376090857691.0,1.0563053673200001e-12,0.25000913242,0.25,0.249333333333,89,0.0155839025875
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,371237431.762,199908.219186,371237431.762,371378788.22,371096075.305,371110210.951,371364652.574,2.0,39963296098.0,1.0563053673200001e-12,0.24999086758,0.124972890913,0.125333333333,50,0.00391567420506
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,364574533.178,556874.262893,364574533.178,364968302.745,364180763.61,364220140.567,364928925.789,2.0,310108944672.0,1.0563053673200001e-12,0.12500456621,0.25,0.249333333333,114,0.00779195129376
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,361333320.072,369766.101016,361333320.072,361594784.189,361071855.954,361098002.366,361568637.778,2.0,136726969461.0,1.0563053673200001e-12,0.24999086758,0.25,0.250666666667,34,0.0156660943683
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,353406974.755,157416.191976,353406974.755,353518284.811,353295664.698,353306795.703,353507153.806,2.0,24779857496.2,1.0563053673200001e-12,0.12498630137,0.25,0.250666666667,9,0.00783247488584
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,344269230.605,104785.13514,344269230.605,344343324.885,344195136.325,344202545.753,344335915.457,2.0,10979924546.3,1.0563053673200001e-12,0.25000913242,0.124972890913,0.125333333333,75,0.00391596029216
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,332325346.942,703273.502841,332325346.942,332822636.405,331828057.479,331877786.425,332772907.459,2.0,494593619798.0,1.0563053673200001e-12,0.25000913242,0.25,0.250666666667,59,0.015667238965
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,317196059.261,792148.860887,317196059.261,317756193.092,316635925.43,316691938.813,317700179.709,2.0,627499817804.0,1.0563053673200001e-12,0.25000913242,0.124972890913,0.125333333333,100,0.00391596029216
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,304990310.768,824441.785013,304990310.768,305573279.145,304407342.391,304465639.229,305514982.307,2.0,679704256876.0,1.0563053673200001e-12,0.25000913242,0.25,0.250666666667,84,0.015667238965
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,294980598.602,680312.319638,294980598.602,295461652.057,294499545.147,294547650.493,295413546.711,2.0,462824852251.0,1.0563053673200001e-12,0.12498630137,0.124972890913,0.249333333333,20,0.00389456158541
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,288075868.092,490376.739092,288075868.092,288422616.81,287729119.375,287763794.246,288387941.938,2.0,240469346242.0,1.0563053673200001e-12,0.12500456621,0.124972890913,0.125333333333,125,0.00195798014608
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,287850991.844,1109352.25867,287850991.844,288635422.349,287066561.339,287145004.39,288556979.298,2.0,1230662433810.0,1.0563053673200001e-12,0.24999086758,0.124972890913,0.249333333333,45,0.00778969230155
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,276333313.96,275078.959912,276333313.96,276527824.158,276138803.762,276158254.782,276508373.138,2.0,75668434186.4,1.0563053673200001e-12,0.12500456621,0.25,0.250666666667,109,0.0078336194825
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,270681508.614,167123.39483,270681508.614,270799682.7,270563334.528,270575151.937,270787865.291,2.0,27930229099.5,1.0563053673200001e-12,0.24999086758,0.25,0.125333333333,29,0.00783304718417
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,258409482.555,992358.381384,258409482.555,259111185.896,257707779.214,257777949.548,259041015.562,2.0,984775157104.0,1.0563053673200001e-12,0.25000913242,0.124972890913,0.249333333333,70,0.00779026143228
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,255561925.604,733450.141808,255561925.604,256080553.173,255043298.035,255095160.792,256028690.416,2.0,537949110518.0,1.0563053673200001e-12,0.12498630137,0.25,0.125333333333,4,0.00391623744292
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,241758073.622,442607.664595,241758073.622,242071044.503,241445102.741,241476399.829,242039747.415,2.0,195901544758.0,1.0563053673200001e-12,0.25000913242,0.25,0.125333333333,54,0.0078336194825
