npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1078869698.9,18350.8998423,1078869698.9,1078882674.94,1078856722.85,1078858020.46,1078881377.34,2.0,336755525.023,0.125333333333,1.0563053673200001e-12,1,0.00195854338395,0.125027109087,0.12498630137
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1052317052.02,35843.6928996,1052317052.02,1052342397.34,1052291706.7,1052294241.23,1052339862.81,2.0,1284770320.68,0.125333333333,1.0563053673200001e-12,26,0.00391737297911,0.125027109087,0.24999086758
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1022597954.68,43927.5496356,1022597954.68,1022629016.15,1022566893.21,1022569999.36,1022625910.0,2.0,1929629616.99,0.125333333333,1.0563053673200001e-12,51,0.00391765919034,0.125027109087,0.25000913242
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,992915255.221,93342.9823682,992915255.221,992981258.677,992849251.765,992855852.111,992974658.331,2.0,8712912357.38,0.125333333333,1.0563053673200001e-12,76,0.00391765919034,0.125027109087,0.25000913242
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,963167482.957,89417.1000888,963167482.957,963230710.395,963104255.519,963110578.263,963224387.651,2.0,7995417788.29,0.125333333333,1.0563053673200001e-12,101,0.00195882959517,0.125027109087,0.12500456621
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,961685958.425,564598.124755,961685958.425,962085189.588,961286727.263,961326650.379,962045266.472,2.0,318771042476.0,0.250666666667,1.0563053673200001e-12,7,0.00783247488584,0.25,0.12498630137
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,936769970.921,179573.004748,936769970.921,936896948.21,936642993.632,936655691.361,936884250.481,2.0,32246464034.4,0.250666666667,1.0563053673200001e-12,32,0.0156660943683,0.25,0.24999086758
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,906921564.13,114635.261406,906921564.13,907002623.501,906840504.759,906848610.697,906994517.564,2.0,13141243157.7,0.250666666667,1.0563053673200001e-12,57,0.015667238965,0.25,0.25000913242
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,878972221.892,730088.533292,878972221.892,879488472.445,878455971.339,878507596.395,879436847.39,2.0,533029266444.0,0.125333333333,1.0563053673200001e-12,27,0.00783304718417,0.25,0.24999086758
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,877436406.573,635772.690957,877436406.573,877885965.755,876986847.392,877031803.311,877841009.836,2.0,404206914567.0,0.250666666667,1.0563053673200001e-12,82,0.015667238965,0.25,0.25000913242
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,863536676.44,493798.433406,863536676.44,863885844.661,863187508.219,863222425.041,863850927.839,2.0,243836892834.0,0.125333333333,1.0563053673200001e-12,2,0.00391623744292,0.25,0.12498630137
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,849853704.226,118827.990751,849853704.226,849937728.304,849769680.148,849778082.555,849929325.896,2.0,14120091385.9,0.249333333333,1.0563053673200001e-12,13,0.00779081278539,0.25,0.12498630137
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,849374902.817,290921.022982,849374902.817,849580615.045,849169190.589,849189761.811,849560043.822,2.0,84635041613.2,0.125333333333,1.0563053673200001e-12,52,0.0078336194825,0.25,0.25000913242
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,847477425.834,210836.917997,847477425.834,847626510.048,847328341.619,847343250.041,847611601.627,2.0,44452205990.3,0.250666666667,1.0563053673200001e-12,107,0.0078336194825,0.25,0.12500456621
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,824532854.658,560283.474356,824532854.658,824929034.902,824136674.414,824176292.438,824889416.878,2.0,313917571637.0,0.249333333333,1.0563053673200001e-12,38,0.0155827640791,0.25,0.24999086758
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,820492861.686,136081.153786,820492861.686,820589085.593,820396637.779,820406260.17,820579463.202,2.0,18518080415.7,0.125333333333,1.0563053673200001e-12,77,0.0078336194825,0.25,0.25000913242
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,794118574.884,665480.275432,794118574.884,794589140.499,793648009.268,793695065.83,794542083.938,2.0,442863996990.0,0.249333333333,1.0563053673200001e-12,63,0.0155839025875,0.25,0.25000913242
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,789629614.378,1058516.74581,789629614.378,790378098.747,788881130.009,788955978.446,790303250.31,2.0,1120457701150.0,0.125333333333,1.0563053673200001e-12,102,0.00391680974125,0.25,0.12500456621
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,764998650.29,825945.584495,764998650.29,765582682.014,764414618.566,764473021.739,765524278.841,2.0,682186108547.0,0.250666666667,1.0563053673200001e-12,33,0.0156660943683,0.25,0.24999086758
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,763236907.444,387476.044516,763236907.444,763510894.382,762962920.505,762990319.199,763483495.689,2.0,150137685074.0,0.249333333333,1.0563053673200001e-12,88,0.0155839025875,0.25,0.25000913242
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,750660037.617,980401.125767,750660037.617,751353285.901,749966789.333,750036114.161,751283961.073,2.0,961186367405.0,0.250666666667,1.0563053673200001e-12,8,0.00783247488584,0.25,0.12498630137
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,744471904.935,991346.109471,744471904.935,745172892.492,743770917.379,743841016.134,745102793.736,2.0,982767108763.0,0.249333333333,1.0563053673200001e-12,19,0.00779081278539,0.25,0.12498630137
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,735378104.437,506290.187708,735378104.437,735736105.661,735020103.212,735055903.334,735700305.539,2.0,256329754170.0,0.250666666667,1.0563053673200001e-12,58,0.015667238965,0.25,0.25000913242
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,734703482.273,108965.029576,734703482.273,734780532.184,734626432.362,734634137.353,734772827.193,2.0,11873377670.5,0.249333333333,1.0563053673200001e-12,113,0.00779195129376,0.25,0.12500456621
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,718579612.414,138955.034743,718579612.414,718677868.461,718481356.367,718491181.971,718668042.856,2.0,19308501680.4,0.249333333333,1.0563053673200001e-12,44,0.0155827640791,0.25,0.24999086758
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,706092123.263,428477.792956,706092123.263,706395102.816,705789143.71,705819441.666,706364804.861,2.0,183593219057.0,0.250666666667,1.0563053673200001e-12,83,0.015667238965,0.25,0.25000913242
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,692116121.551,199278.22035,692116121.551,692257032.532,691975210.57,691989301.669,692242941.434,2.0,39711809106.0,0.125333333333,1.0563053673200001e-12,28,0.00783304718417,0.25,0.24999086758
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,689411055.187,544510.622683,689411055.187,689796082.341,689026028.033,689064530.749,689757579.626,2.0,296491818215.0,0.249333333333,1.0563053673200001e-12,69,0.0155839025875,0.25,0.25000913242
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,673941024.784,1312627.31843,673941024.784,674869192.462,673012857.106,673105673.874,674776375.694,2.0,1722990477090.0,0.250666666667,1.0563053673200001e-12,108,0.0078336194825,0.25,0.12500456621
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,662509714.088,731005.656055,662509714.088,663026613.144,661992815.031,662044504.937,662974923.239,2.0,534369269185.0,0.125333333333,1.0563053673200001e-12,53,0.0078336194825,0.25,0.25000913242
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,658863928.736,368213.288653,658863928.736,659124294.849,658603562.623,658629599.234,659098258.238,2.0,135581025941.0,0.249333333333,1.0563053673200001e-12,94,0.0155839025875,0.25,0.25000913242
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,653544204.245,1211920.47995,653544204.245,654401161.435,652687247.056,652772942.775,654315465.716,2.0,1468751249730.0,0.249333333333,1.0563053673200001e-12,39,0.0155827640791,0.25,0.24999086758
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,651335914.191,366311.930452,651335914.191,651594935.841,651076892.541,651102794.706,651569033.676,2.0,134184430392.0,0.125333333333,1.0563053673200001e-12,25,0.00195769405898,0.124972890913,0.12498630137
