npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1199041007.46,2737.96027171,1199041007.46,1199042943.49,1199039071.43,1199039265.04,1199042749.89,2.0,7496426.44949,0.12498630137,1,0.125027109087,1.0563053673200001e-12,0.00195854338395,0.125333333333
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1171911865.78,66769.8769044,1171911865.78,1171959079.21,1171864652.35,1171869373.69,1171954357.87,2.0,4458216461.82,0.24999086758,26,0.125027109087,1.0563053673200001e-12,0.00391737297911,0.125333333333
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1142224025.91,18539.1915206,1142224025.91,1142237135.1,1142210916.72,1142212227.64,1142235824.18,2.0,343701622.237,0.25000913242,51,0.125027109087,1.0563053673200001e-12,0.00391765919034,0.125333333333
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1112465704.0,28527.444329,1112465704.0,1112485875.95,1112445532.05,1112447549.25,1112483858.76,2.0,813815079.946,0.25000913242,76,0.125027109087,1.0563053673200001e-12,0.00391765919034,0.125333333333
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1082728656.88,36086.0595388,1082728656.88,1082754173.58,1082703140.19,1082705691.86,1082751621.91,2.0,1302203693.04,0.12500456621,101,0.125027109087,1.0563053673200001e-12,0.00195882959517,0.125333333333
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1041143480.48,371345.777194,1041143480.48,1041406061.59,1040880899.36,1040907157.47,1041379803.48,2.0,137897686240.0,0.12498630137,7,0.25,1.0563053673200001e-12,0.00783247488584,0.250666666667
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1015197193.39,258430.598089,1015197193.39,1015379931.42,1015014455.36,1015032729.17,1015361657.62,2.0,66786374028.6,0.24999086758,32,0.25,1.0563053673200001e-12,0.0156660943683,0.250666666667
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,985334983.284,191219.002641,985334983.284,985470195.537,985199771.03,985213292.256,985456674.312,2.0,36564706970.9,0.25000913242,57,0.25,1.0563053673200001e-12,0.015667238965,0.250666666667
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,955286771.653,13247.825663,955286771.653,955296139.28,955277404.025,955278340.788,955295202.517,2.0,175504884.798,0.25000913242,82,0.25,1.0563053673200001e-12,0.015667238965,0.250666666667
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,955264355.583,452842.528368,955264355.583,955584563.605,954944147.56,954976168.362,955552542.803,2.0,205066355498.0,0.24999086758,27,0.25,1.0563053673200001e-12,0.00783304718417,0.125333333333
