npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,949191997.61,975.615211229,949191997.61,949192687.474,949191307.746,949191376.732,949192618.487,2.0,951825.040382,0.00195854338395,1,1.0563053673200001e-12,0.125333333333,0.12498630137,0.125027109087
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,921736887.411,57155.2867444,921736887.411,921777302.302,921696472.52,921700514.009,921773260.813,2.0,3266726802.83,0.00391737297911,26,1.0563053673200001e-12,0.125333333333,0.24999086758,0.125027109087
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,893152710.515,41204.7856751,893152710.515,893181846.699,893123574.332,893126487.95,893178933.08,2.0,1697834362.53,0.00391765919034,51,1.0563053673200001e-12,0.125333333333,0.25000913242,0.125027109087
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,864583395.952,5490.27499389,864583395.952,864587278.163,864579513.741,864579901.963,864586889.942,2.0,30143119.5085,0.00391765919034,76,1.0563053673200001e-12,0.125333333333,0.25000913242,0.125027109087
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,835969319.635,16838.881612,835969319.635,835981226.522,835957412.747,835958603.436,835980035.833,2.0,283547933.944,0.00195882959517,101,1.0563053673200001e-12,0.125333333333,0.12500456621,0.125027109087
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,733126601.842,111091.781212,733126601.842,733205155.594,733048048.09,733055903.465,733197300.218,2.0,12341383853.0,0.00783247488584,7,1.0563053673200001e-12,0.250666666667,0.12498630137,0.25
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,706153200.388,88773.1019697,706153200.388,706215972.45,706090428.326,706096705.532,706209695.244,2.0,7880663633.32,0.0156660943683,32,1.0563053673200001e-12,0.250666666667,0.24999086758,0.25
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,677444306.648,135501.15159,677444306.648,677540120.431,677348492.865,677358074.243,677530539.053,2.0,18360562082.2,0.015667238965,57,1.0563053673200001e-12,0.250666666667,0.25000913242,0.25
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,648941866.392,76155.2061424,648941866.392,648995716.255,648888016.529,648893401.515,648990331.268,2.0,5799615422.58,0.015667238965,82,1.0563053673200001e-12,0.250666666667,0.25000913242,0.25
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,628558372.259,128461.703011,628558372.259,628649208.4,628467536.118,628476619.732,628640124.786,2.0,16502409140.4,0.00391623744292,2,1.0563053673200001e-12,0.125333333333,0.12498630137,0.25
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,620452845.772,9980.35237528,620452845.772,620459902.946,620445788.597,620446494.314,620459197.229,2.0,99607433.5348,0.0078336194825,107,1.0563053673200001e-12,0.250666666667,0.12500456621,0.25
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,615864943.216,27280.1403716,615864943.216,615884233.189,615845653.244,615847582.241,615882304.191,2.0,744206058.695,0.00783304718417,27,1.0563053673200001e-12,0.125333333333,0.24999086758,0.25
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,587510702.755,398556.997891,587510702.755,587792525.111,587228880.399,587257062.635,587764342.875,2.0,158847680568.0,0.0078336194825,52,1.0563053673200001e-12,0.125333333333,0.25000913242,0.25
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,558336103.885,24542.0469742,558336103.885,558353457.733,558318750.037,558320485.422,558351722.348,2.0,602312069.684,0.0078336194825,77,1.0563053673200001e-12,0.125333333333,0.25000913242,0.25
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,529825262.67,932391.7323,529825262.67,530484563.187,529165962.154,529231892.205,530418633.135,2.0,869354342461.0,0.00391680974125,102,1.0563053673200001e-12,0.125333333333,0.12500456621,0.25
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,522164510.518,201885.716772,522164510.518,522307265.278,522021755.759,522036031.235,522292989.802,2.0,40757842636.5,0.00779081278539,13,1.0563053673200001e-12,0.249333333333,0.12498630137,0.25
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,494632474.078,159121.068287,494632474.078,494744989.665,494519958.492,494531210.051,494733738.106,2.0,25319514372.6,0.0155827640791,38,1.0563053673200001e-12,0.249333333333,0.24999086758,0.25
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,466357188.045,114446.026929,466357188.045,466438113.607,466276262.483,466284355.039,466430021.051,2.0,13097893079.8,0.0155839025875,63,1.0563053673200001e-12,0.249333333333,0.25000913242,0.25
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,437654822.465,154192.894466,437654822.465,437763853.306,437545791.623,437556694.707,437752950.222,2.0,23775448703.9,0.0155839025875,88,1.0563053673200001e-12,0.249333333333,0.25000913242,0.25
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,416640581.613,197518.007379,416640581.613,416780247.936,416500915.291,416514881.923,416766281.304,2.0,39013363238.8,0.00783247488584,8,1.0563053673200001e-12,0.250666666667,0.12498630137,0.25
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,408978311.762,249563.039434,408978311.762,409154779.48,408801844.045,408819490.816,409137132.708,2.0,62281710651.7,0.00779195129376,113,1.0563053673200001e-12,0.249333333333,0.12500456621,0.25
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,403385310.593,89330.5613117,403385310.593,403448476.839,403322144.348,403328460.972,403442160.214,2.0,7979949184.27,0.0156660943683,33,1.0563053673200001e-12,0.250666666667,0.24999086758,0.25
