npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-htse_capacity
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,869520635.438,5557.05817148,869520635.438,869524564.872,869516706.005,869517098.948,869524171.928,2.0,30880895.5212,1.0563053673200001e-12,0.00195854338395,0.12498630137,0.125027109087,1,0.125333333333
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,842413776.012,11065.9395254,842413776.012,842421600.813,842405951.211,842406733.691,842420818.333,2.0,122455017.579,1.0563053673200001e-12,0.00391737297911,0.24999086758,0.125027109087,26,0.125333333333
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,812616543.553,22535.5248207,812616543.553,812632478.576,812600608.531,812602202.033,812630885.074,2.0,507849878.945,1.0563053673200001e-12,0.00391765919034,0.25000913242,0.125027109087,51,0.125333333333
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,782868463.248,79748.3447308,782868463.248,782924853.844,782812072.653,782817711.713,782919214.784,2.0,6359798487.31,1.0563053673200001e-12,0.00391765919034,0.25000913242,0.125027109087,76,0.125333333333
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,758584227.304,26806.3839561,758584227.304,758603182.28,758565272.328,758567167.826,758601286.782,2.0,718582220.8,1.0563053673200001e-12,0.00783247488584,0.12498630137,0.25,7,0.250666666667
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,753131058.3,6552.74349972,753131058.3,753135691.789,753126424.81,753126888.159,753135228.44,2.0,42938447.3731,1.0563053673200001e-12,0.00195882959517,0.12500456621,0.125027109087,101,0.125333333333
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,732851419.42,209539.888801,732851419.42,732999586.496,732703252.344,732718069.051,732984769.789,2.0,43906964998.9,1.0563053673200001e-12,0.0156660943683,0.24999086758,0.25,32,0.250666666667
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,702996251.199,150664.62325,702996251.199,703102787.176,702889715.223,702900368.82,703092133.579,2.0,22699828698.9,1.0563053673200001e-12,0.015667238965,0.25000913242,0.25,57,0.250666666667
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,673378608.512,99.9786304264,673378608.512,673378679.207,673378537.816,673378544.886,673378672.138,2.0,9995.72654195,1.0563053673200001e-12,0.015667238965,0.25000913242,0.25,82,0.250666666667
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,665771943.517,257156.437247,665771943.517,665953780.577,665590106.456,665608290.162,665935596.871,2.0,66129433217.4,1.0563053673200001e-12,0.00783304718417,0.24999086758,0.25,27,0.125333333333
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,660240360.264,214808.922702,660240360.264,660392253.11,660088467.418,660103656.702,660377063.825,2.0,46142873272.3,1.0563053673200001e-12,0.00391623744292,0.12498630137,0.25,2,0.125333333333
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,652570511.83,38311.9794604,652570511.83,652597602.49,652543421.169,652546130.235,652594893.424,2.0,1467807770.17,1.0563053673200001e-12,0.00779081278539,0.12498630137,0.25,13,0.249333333333
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,643794949.256,717960.559133,643794949.256,644302624.036,643287274.476,643338041.954,644251856.558,2.0,515467364470.0,1.0563053673200001e-12,0.0078336194825,0.12500456621,0.25,107,0.250666666667
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,636898259.096,351275.602035,636898259.096,637146648.456,636649869.736,636674708.672,637121809.52,2.0,123394548585.0,1.0563053673200001e-12,0.0078336194825,0.25000913242,0.25,52,0.125333333333
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,626624303.761,772807.933589,626624303.761,627170761.491,626077846.03,626132491.803,627116115.718,2.0,597232102217.0,1.0563053673200001e-12,0.0155827640791,0.24999086758,0.25,38,0.249333333333
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,607182455.653,349683.554827,607182455.653,607429719.266,606935192.04,606959918.401,607404992.905,2.0,122278588517.0,1.0563053673200001e-12,0.0078336194825,0.25000913242,0.25,77,0.125333333333
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,596607246.344,217914.498895,596607246.344,596761335.164,596453157.524,596468566.406,596745926.282,2.0,47486728828.5,1.0563053673200001e-12,0.0155839025875,0.25000913242,0.25,63,0.249333333333
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,577152062.389,820202.916926,577152062.389,577732033.434,576572091.345,576630088.449,577674036.329,2.0,672732824933.0,1.0563053673200001e-12,0.00391680974125,0.12500456621,0.25,102,0.125333333333
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,566063893.095,362903.623863,566063893.095,566320504.708,565807281.481,565832942.643,566294843.547,2.0,131699040213.0,1.0563053673200001e-12,0.0155839025875,0.25000913242,0.25,88,0.249333333333
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,558448922.201,59590.830622,558448922.201,558491059.281,558406785.12,558410998.828,558486845.573,2.0,3551067094.22,1.0563053673200001e-12,0.0156660943683,0.24999086758,0.25,33,0.250666666667
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,554888147.576,485.586490722,554888147.576,554888490.938,554887804.215,554887838.551,554888456.602,2.0,235794.239972,1.0563053673200001e-12,0.00779081278539,0.12498630137,0.25,19,0.249333333333
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,553451410.882,548480.775313,553451410.882,553839245.357,553063576.406,553102359.854,553800461.91,2.0,300831160888.0,1.0563053673200001e-12,0.00783247488584,0.12498630137,0.25,8,0.250666666667
