npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1269437349.96,2045.18897971,1269437349.96,1269438796.12,1269435903.79,1269436048.41,1269438651.51,2.0,4182797.96272,0.125027109087,0.00195854338395,1,0.12498630137,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1242263253.14,29253.6622816,1242263253.14,1242283938.6,1242242567.67,1242244636.22,1242281870.05,2.0,855776756.884,0.125027109087,0.00391737297911,26,0.24999086758,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1212502088.82,90912.1024812,1212502088.82,1212566373.39,1212437804.26,1212444232.71,1212559944.93,2.0,8265010377.56,0.125027109087,0.00391765919034,51,0.25000913242,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1182833269.93,72790.9727007,1182833269.93,1182884740.92,1182781798.94,1182786946.04,1182879593.82,2.0,5298525706.71,0.125027109087,0.00391765919034,76,0.25000913242,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1153099732.57,8654.71417539,1153099732.57,1153105852.37,1153093612.76,1153094224.74,1153105240.39,2.0,74904077.4578,0.125027109087,0.00195882959517,101,0.12500456621,1.0563053673200001e-12,0.125333333333
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1086516007.94,404367.728759,1086516007.94,1086801939.1,1086230076.78,1086258669.89,1086773345.99,2.0,163513260062.0,0.25,0.00783247488584,7,0.12498630137,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1060217670.26,162157.281069,1060217670.26,1060332332.77,1060103007.75,1060114474.0,1060320866.52,2.0,26294983803.6,0.25,0.0156660943683,32,0.24999086758,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1030873710.17,470180.685293,1030873710.17,1031206178.12,1030541242.22,1030574489.01,1031172931.33,2.0,221069876823.0,0.25,0.015667238965,57,0.25000913242,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1001423067.21,131638.955666,1001423067.21,1001516150.01,1001329984.41,1001339292.69,1001506841.73,2.0,17328814648.7,0.25,0.015667238965,82,0.25000913242,1.0563053673200001e-12,0.250666666667
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,994081808.175,680385.328592,994081808.175,994562913.255,993600703.096,993648813.604,994514802.747,2.0,462924195363.0,0.25,0.00783304718417,27,0.24999086758,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,987812315.604,424493.397714,987812315.604,988112477.764,987512153.444,987542169.66,988082461.548,2.0,180194644703.0,0.25,0.00391623744292,2,0.12498630137,1.0563053673200001e-12,0.125333333333
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,971896768.431,133792.620009,971896768.431,971991374.1,971802162.762,971811623.329,971981913.533,2.0,17900465168.8,0.25,0.0078336194825,107,0.12500456621,1.0563053673200001e-12,0.250666666667
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,965648051.191,1470224.31118,965648051.191,966687656.772,964608445.611,964712406.169,966583696.214,2.0,2161559525180.0,0.25,0.0078336194825,52,0.25000913242,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,934866116.076,300184.132795,934866116.076,935078378.311,934653853.84,934675080.063,935057152.088,2.0,90110513582.0,0.25,0.0078336194825,77,0.25000913242,1.0563053673200001e-12,0.125333333333
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,909083006.178,338381.62224,909083006.178,909322278.117,908843734.238,908867661.432,909298350.923,2.0,114502122270.0,0.25,0.00779081278539,13,0.12498630137,1.0563053673200001e-12,0.249333333333
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,905314093.639,415152.273681,905314093.639,905607650.627,905020536.651,905049892.349,905578294.928,2.0,172351410342.0,0.25,0.00391680974125,102,0.12500456621,1.0563053673200001e-12,0.125333333333
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,882078897.64,130019.338986,882078897.64,882170835.197,881986960.084,881996153.84,882161641.441,2.0,16905028510.4,0.25,0.0155827640791,38,0.24999086758,1.0563053673200001e-12,0.249333333333
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,852691311.774,631398.90866,852691311.774,853137778.224,852244845.324,852289491.969,853093131.579,2.0,398664581857.0,0.25,0.0155839025875,63,0.25000913242,1.0563053673200001e-12,0.249333333333
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,822532365.117,330461.652153,822532365.117,822766036.793,822298693.442,822322060.61,822742669.625,2.0,109204903544.0,0.25,0.0155839025875,88,0.25000913242,1.0563053673200001e-12,0.249333333333
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,814374290.517,149671.249954,814374290.517,814480124.072,814268456.961,814279040.316,814469540.717,2.0,22401483062.8,0.25,0.0156660943683,33,0.24999086758,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,809340153.451,215645.193129,809340153.451,809492637.63,809187669.273,809202917.691,809477389.212,2.0,46502849319.8,0.25,0.00783247488584,8,0.12498630137,1.0563053673200001e-12,0.250666666667
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,793264359.16,174872.43048,793264359.16,793388012.642,793140705.679,793153071.027,793375647.294,2.0,30580366942.1,0.25,0.00779195129376,113,0.12500456621,1.0563053673200001e-12,0.249333333333
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,784937565.556,185413.509221,784937565.556,785068672.705,784806458.406,784819569.121,785055561.99,2.0,34378169401.8,0.25,0.015667238965,58,0.25000913242,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,755916285.107,454915.424031,755916285.107,756237958.888,755594611.326,755626778.704,756205791.51,2.0,206948043021.0,0.25,0.015667238965,83,0.25000913242,1.0563053673200001e-12,0.250666666667
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,737406072.466,124592.164795,737406072.466,737494172.431,737317972.501,737326782.498,737485362.434,2.0,15523207528.2,0.25,0.00779081278539,19,0.12498630137,1.0563053673200001e-12,0.249333333333
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,735369478.686,392417.738578,735369478.686,735646959.93,735091997.442,735119745.566,735619211.805,2.0,153991681551.0,0.25,0.00783304718417,28,0.24999086758,1.0563053673200001e-12,0.125333333333
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,726185603.013,703741.44772,726185603.013,726683223.363,725687982.663,725737744.698,726633461.328,2.0,495252025239.0,0.25,0.0078336194825,108,0.12500456621,1.0563053673200001e-12,0.250666666667
