npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,3049482322.58,1916412.27433,3049482322.58,3050837430.7,3048127214.47,3048262725.28,3050701919.89,2.0,3672636005200.0,0.125,0.124987287705,1.21200144652e-13,1,0.00195281465415,0.124992849434
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,3024679467.01,13739992.2056,3024679467.01,3034395108.67,3014963825.35,3015935389.52,3033423544.51,2.0,188787385810000.0,0.125,0.124987287705,1.21200144652e-13,26,0.00390577826328,0.249995232956
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2979208291.41,9761792.97083,2979208291.41,2986110921.41,2972305661.4,2972995924.4,2985420658.41,2.0,95292602005400.0,0.125,0.124987287705,1.21200144652e-13,51,0.00390592721826,0.250004767044
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2935587929.49,35315549.07,2935587929.49,2960559793.72,2910616065.26,2913113251.68,2958062607.29,2.0,1247188006110000.0,0.125,0.124987287705,1.21200144652e-13,76,0.00390592721826,0.250004767044
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2886459616.86,15498987.9252,2886459616.86,2897419056.32,2875500177.39,2876596121.34,2896323112.37,2.0,240218626705000.0,0.125,0.124987287705,1.21200144652e-13,101,0.00195296360913,0.125002383522
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2876001303.77,23327643.7886,2876001303.77,2892496438.88,2859506168.66,2861155682.17,2890846925.37,2.0,544178964728000.0,0.25,0.25,1.21200144652e-13,7,0.00781205308962,0.124992849434
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2874725573.48,14300038.192,2874725573.48,2884837227.46,2864613919.5,2865625084.9,2883826062.06,2.0,204491092293000.0,0.25,0.25,1.21200144652e-13,32,0.0156247020597,0.249995232956
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2836548149.91,3023140.57418,2836548149.91,2838685833.11,2834410466.71,2834624235.03,2838472064.79,2.0,9139378931280.0,0.25,0.25,1.21200144652e-13,57,0.0156252979403,0.250004767044
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2807234592.19,1106056.06345,2807234592.19,2808016691.93,2806452492.45,2806530702.42,2807938481.96,2.0,1223360015480.0,0.125,0.25,1.21200144652e-13,27,0.00781235102987,0.249995232956
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2802741794.9,26253004.0022,2802741794.9,2821305472.06,2784178117.74,2786034485.46,2819449104.34,2.0,689220219140000.0,0.25,0.25,1.21200144652e-13,82,0.0156252979403,0.250004767044
