cfYears,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,meoh_meohCAPEX_CashFlow,meoh_meohCAPEX_depreciation,meoh_meohCAPEX_depreciation_tax_credit,meoh_meohFOM_CashFlow,meoh_meohVOM_CashFlow,meoh_co2_shipping_CashFlow,meoh_h2_ptc_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-657389257.739,0.0,0.0,0.0,0.0,0.0,-651064541.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0
1,0.0,-25412875.0056,32168196.2096,-30320000.0,-21446761.9487,-27933450.0,0.0,-25168378.7308,31858707.2542,-27050057.67,-4988314.2852,-174732424.713,646041240.0,42428273.9976,4471870.95914,36474164.5218,174493829.158,0.0,-193.286357408,244.666275201,0.0,0.0
2,0.0,-47254318.3701,59815592.8736,-30320000.0,-21446786.6153,-27933450.0,0.0,-46799686.4245,59240109.3981,-27050057.67,-4988314.2852,-174732424.713,646041240.0,63842054.7868,4471870.95914,36474164.5218,174493829.158,0.0,-359.408963668,454.948055276,0.0,0.0
3,0.0,-41621537.026,52685489.9063,-30320000.0,-21446818.8392,-27933450.0,0.0,-41221097.8489,52178604.8721,-27050057.67,-4988314.2852,-174732424.713,646041240.0,77637060.3017,4094725.2156,39029679.2335,166833124.463,0.0,-316.566908692,400.717605939,0.0,0.0
4,0.0,-36684011.9431,46435458.1559,-30320000.0,-21446720.9078,-27933450.0,0.0,-36331076.5015,45988704.4323,-27050057.67,-4988314.2852,-174732424.713,646041240.0,53363531.339,3178799.83842,36009525.4833,156618851.537,0.0,-279.01286423,353.180840797,0.0,0.0
5,0.0,-32311226.0215,40900286.1032,-30320000.0,-21446804.4592,-27933450.0,0.0,-32000360.9819,40506786.0531,-27050057.67,-4988314.2852,-174732424.713,646041240.0,46626308.3975,3071043.9117,39958957.3105,162577177.411,0.0,-245.754137607,311.081186844,0.0,0.0
6,0.0,-28427741.0622,35984482.3572,-30320000.0,-21446768.6664,-27933450.0,0.0,-28154238.8792,35638277.0623,-27050057.67,-4988314.2852,-174732424.713,646041240.0,54394394.8859,3017165.94833,40423596.349,160874798.59,0.0,-216.216957666,273.692351476,0.0,0.0
7,0.0,-26347560.9352,33351342.9559,-30320000.0,-21446782.9415,-27933450.0,0.0,-26094072.0837,33030470.992,-27050057.67,-4988314.2852,-174732424.713,646041240.0,67992964.6951,3071043.9117,41120554.9067,158321230.358,0.0,-200.395432577,253.665104527,0.0,0.0
8,0.0,-25785438.3785,32639795.4158,-30320000.0,-21446795.3273,-27933450.0,0.0,-25537357.6861,32325769.223,-27050057.67,-4988314.2852,-174732424.713,646041240.0,116744387.515,3124921.87506,42049832.9837,157470040.948,0.0,-196.120016223,248.253185092,0.0,0.0
9,0.0,-25278080.3595,31997570.0753,-30320000.0,-21446771.2905,-27933450.0,0.0,-25034880.9388,31689722.7073,-27050057.67,-4988314.2852,-174732424.713,646041240.0,28614628.0561,3232677.80179,42979111.0607,159172419.769,0.0,-192.261130388,243.368519478,0.0,0.0
