npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight,prefix
1280.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2347208044.78,1946379.67608,2347208044.78,2348584343.05,2345831746.51,2345969376.34,2348446713.22,2.0,3788393843460.0,0.125,8.95747037061e-15,0.124999445812,0.125012930589,0.00195331838036,1
1280.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2163852224.59,36246002.1167,2163852224.59,2189482018.48,2138222430.71,2140785410.09,2186919039.09,2.0,1313772669440000.0,0.25,8.95747037061e-15,0.124999445812,0.25,0.00781246536325,7
1280.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2012843419.54,11422709.2882,2012843419.54,2020920494.74,2004766344.34,2005574051.86,2020112787.22,2.0,130478287483000.0,0.25,8.95747037061e-15,0.124999445812,0.249974138823,0.00781165720505,13
1280.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1963680308.67,34752642.2909,1963680308.67,1988254137.7,1939106479.64,1941563862.55,1985796754.8,2.0,1207746146200000.0,0.125,8.95747037061e-15,0.124999445812,0.25,0.00390623268163,2
1280.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1909220433.09,7510698.63653,1909220433.09,1914531299.03,1903909567.15,1904440653.75,1914000212.44,2.0,56410594008800.0,0.25,8.95747037061e-15,0.124999445812,0.25,0.00781246536325,19
1280.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1779358683.92,16103944.6923,1779358683.92,1790745892.42,1767971475.43,1769110196.28,1789607171.57,2.0,259337034653000.0,0.25,8.95747037061e-15,0.124999445812,0.249974138823,0.00781165720505,8
1280.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1732982657.79,107313209.003,1732982657.79,1808864555.59,1657100759.99,1664688949.77,1801276365.81,2.0,1.15161248265e+16,0.125,8.95747037061e-15,0.124999445812,0.125012930589,0.00195331838036,25
1280.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1639150045.7,45808675.6702,1639150045.7,1671541670.9,1606758420.49,1609997583.01,1668302508.38,2.0,2098434766660000.0,0.25,8.95747037061e-15,0.124999445812,0.25,0.00781246536325,14
1280.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1627754599.35,13687184.4857,1627754599.35,1637432900.32,1618076298.39,1619044128.48,1636465070.22,2.0,187339019145000.0,0.125,8.95747037061e-15,0.249999653633,0.125012930589,0.00390664866834,26
1280.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1624285688.21,17223859.1282,1624285688.21,1636464795.8,1612106580.63,1613324491.39,1635246885.04,2.0,296661323270000.0,0.125,8.95747037061e-15,0.124999445812,0.249974138823,0.00390582860252,3
