npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2566067785.4,21346816.6285,2566067785.4,2581162264.2,2550973306.61,2552482754.49,2579652816.32,2.0,455686580169000.0,0.00195291892277,0.125,8.656992832709999e-15,1,0.124999523304,0.124987287705
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2507845553.99,14157337.6181,2507845553.99,2517856303.42,2497834804.55,2498835879.5,2516855228.48,2.0,200430208433000.0,0.00781247020653,0.25,8.656992832709999e-15,7,0.124999523304,0.25
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2389237249.22,51099857.9671,2389237249.22,2425370305.31,2353104193.14,2356717498.74,2421756999.7,2.0,2611195484260000.0,0.00781326472195,0.25,8.656992832709999e-15,13,0.124999523304,0.250025424591
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2369669854.14,85878084.6708,2369669854.14,2430394830.16,2308944878.11,2315017375.71,2424322332.56,2.0,7375045426730000.0,0.00781247020653,0.25,8.656992832709999e-15,19,0.124999523304,0.25
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2369387379.01,10181112.6609,2369387379.01,2376586512.81,2362188245.2,2362908158.58,2375866599.43,2.0,103655055014000.0,0.00195291892277,0.125,8.656992832709999e-15,25,0.124999523304,0.124987287705
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2309395148.48,5445495.48183,2309395148.48,2313245695.26,2305544601.7,2305929656.38,2312860640.58,2.0,29653421042600.0,0.00390623510326,0.125,8.656992832709999e-15,2,0.124999523304,0.25
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2230504078.76,33231495.8897,2230504078.76,2254002294.85,2207005862.66,2209355684.27,2251652473.24,2.0,1104332319070000.0,0.00781326472195,0.25,8.656992832709999e-15,8,0.124999523304,0.250025424591
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2155913402.63,20613050.6019,2155913402.63,2170489030.49,2141337774.77,2142795337.55,2169031467.7,2.0,424897855118000.0,0.00781247020653,0.25,8.656992832709999e-15,14,0.124999523304,0.25
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2002167802.24,48782292.3552,2002167802.24,2036662091.96,1967673512.51,1971122941.48,2033212662.99,2.0,2379712047420000.0,0.00390583784555,0.25,8.656992832709999e-15,20,0.124999523304,0.124987287705
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1947838511.72,11142801.2061,1947838511.72,1955717662.01,1939959361.42,1940747276.45,1954929746.98,2.0,124162018718000.0,0.00390663236098,0.125,8.656992832709999e-15,3,0.124999523304,0.250025424591
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1886692609.45,41018854.4089,1886692609.45,1915697319.56,1857687899.34,1860588370.35,1912796848.55,2.0,1682546417020000.0,0.00781247020653,0.25,8.656992832709999e-15,9,0.124999523304,0.25
