npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1546703531.13,45096969.3528,1546703531.13,1578591903.98,1514815158.29,1518003995.58,1575403066.69,2.0,2033736644810000.0,0.125,0.124987287705,25,0.124999523304,0.00195291892277,8.656992832709999e-15
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1370385761.29,189140522.611,1370385761.29,1504128307.43,1236643215.15,1250017469.77,1490754052.81,2.0,3.57741372936e+16,0.25,0.124987287705,20,0.124999523304,0.00390583784555,8.656992832709999e-15
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1097512503.65,17008151.741,1097512503.65,1109539083.08,1085485924.22,1086688582.16,1108336425.14,2.0,289277225646000.0,0.25,0.124987287705,15,0.124999523304,0.00390583784555,8.656992832709999e-15
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,889070962.486,72377369.7985,889070962.486,940249491.475,837892433.497,843010286.395,935131638.576,2.0,5238483658960000.0,0.25,0.124987287705,10,0.124999523304,0.00390583784555,8.656992832709999e-15
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,846931110.34,6820230.32715,846931110.34,851753741.453,842108479.226,842590742.337,851271478.342,2.0,46515541715400.0,0.25,0.25,19,0.124999523304,0.00781247020653,8.656992832709999e-15
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,808431352.023,9251198.8887,808431352.023,814972937.491,801889766.555,802543925.102,814318778.945,2.0,85584680878300.0,0.125,0.124987287705,50,0.249999659503,0.00390584742105,8.656992832709999e-15
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,746166526.17,25842695.9955,746166526.17,764440071.752,727892980.587,729720335.145,762612717.194,2.0,667844936317000.0,0.25,0.124987287705,45,0.249999659503,0.0078116948421,8.656992832709999e-15
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,692240282.28,19302380.9185,692240282.28,705889126.72,678591437.839,679956322.283,704524242.276,2.0,372581909123000.0,0.125,0.124987287705,5,0.124999523304,0.00195291892277,8.656992832709999e-15
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,682830234.932,9247926.97158,682830234.932,689369506.805,676290963.058,676944890.246,688715579.618,2.0,85524153271700.0,0.25,0.25,14,0.124999523304,0.00781247020653,8.656992832709999e-15
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,574590970.487,67738930.0764,574590970.487,622489627.295,526692313.68,531482179.361,617699761.614,2.0,4588562647890000.0,0.25,0.124987287705,40,0.249999659503,0.0078116948421,8.656992832709999e-15
