npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,prefix
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2323705206.98,19238297.0508,2323705206.98,2337308737.28,2310101676.67,2311462029.7,2335948384.25,2.0,370112073414000.0,1.21200144652e-13,0.125,0.00195281465415,0.124992849434,0.124987287705,1
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2284945983.04,165082940.539,2284945983.04,2401677249.75,2168214716.33,2179887843.0,2390004123.08,2.0,2.72523772569e+16,1.21200144652e-13,0.125,0.00195281465415,0.124992849434,0.124987287705,25
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2257370206.88,22491057.1657,2257370206.88,2273273785.92,2241466627.84,2243056985.74,2271683428.01,2.0,505847652430000.0,1.21200144652e-13,0.25,0.00781205308962,0.124992849434,0.25,7
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2247860363.25,32002696.326,2247860363.25,2270489686.84,2225231039.66,2227493972.02,2268226754.48,2.0,1024172572130000.0,1.21200144652e-13,0.25,0.00781284756262,0.124992849434,0.250025424591,13
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2245364288.88,12786411.94,2245364288.88,2254405647.47,2236322930.29,2237227066.15,2253501511.61,2.0,163492330298000.0,1.21200144652e-13,0.125,0.00390577826328,0.249995232956,0.124987287705,26
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2242070939.41,11278703.8533,2242070939.41,2250046187.38,2234095691.43,2234893216.23,2249248662.59,2.0,127209160611000.0,1.21200144652e-13,0.25,0.0156247020597,0.249995232956,0.25,32
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2233826664.22,19803781.7007,2233826664.22,2247830052.56,2219823275.89,2221223614.72,2246429713.72,2.0,392189769650000.0,1.21200144652e-13,0.125,0.00390577826328,0.249995232956,0.124987287705,50
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2232221772.99,44012439.2113,2232221772.99,2263343267.21,2201100278.76,2204212428.19,2260231117.79,2.0,1937094805330000.0,1.21200144652e-13,0.25,0.0156247020597,0.249995232956,0.25,44
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2216045826.77,18803505.6995,2216045826.77,2229341913.16,2202749740.38,2204079349.02,2228012304.52,2.0,353571826592000.0,1.21200144652e-13,0.25,0.00781205308962,0.124992849434,0.25,19
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2201550226.79,19196466.6119,2201550226.79,2215124178.5,2187976275.07,2189333670.24,2213766783.33,2.0,368504330383000.0,1.21200144652e-13,0.25,0.0156252979403,0.250004767044,0.25,57
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2200059567.83,14914449.7406,2200059567.83,2210605676.38,2189513459.28,2190568070.14,2209551065.52,2.0,222440811064000.0,1.21200144652e-13,0.25,0.0156262910664,0.249995232956,0.250025424591,38
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2187259857.31,55781863.6711,2187259857.31,2226703591.38,2147816123.24,2151760496.65,2222759217.98,2.0,3111616314620000.0,1.21200144652e-13,0.125,0.00390592721826,0.250004767044,0.124987287705,100
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2178994363.27,15205581.6004,2178994363.27,2189746333.13,2168242393.41,2169317590.39,2188671136.14,2.0,231209711805000.0,1.21200144652e-13,0.125,0.00390592721826,0.250004767044,0.124987287705,51
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2162932547.25,47109939.9137,2162932547.25,2196244305.23,2129620789.28,2132951965.08,2192913129.43,2.0,2219346438670000.0,1.21200144652e-13,0.125,0.00781235102987,0.249995232956,0.25,27
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2147806709.4,79348693.7743,2147806709.4,2203914708.85,2091698709.95,2097309509.9,2198303908.9,2.0,6296215203700000.0,1.21200144652e-13,0.125,0.00390592721826,0.250004767044,0.124987287705,75
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2138652604.2,6891755.08252,2138652604.2,2143525810.96,2133779397.45,2134266718.13,2143038490.28,2.0,47496288117500.0,1.21200144652e-13,0.25,0.0156268870075,0.250004767044,0.250025424591,63
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2137456201.11,5826444.33913,2137456201.11,2141576119.42,2133336282.81,2133748274.64,2141164127.59,2.0,33947453637000.0,1.21200144652e-13,0.125,0.00390592721826,0.250004767044,0.124987287705,76
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2120377007.97,18544090.2305,2120377007.97,2133489659.93,2107264356.02,2108575621.22,2132178394.73,2.0,343883282477000.0,1.21200144652e-13,0.25,0.0039056293083,0.124992849434,0.124987287705,20
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2120045896.24,13527945.0219,2120045896.24,2129611597.9,2110480194.58,2111436764.75,2128655027.74,2.0,183005296516000.0,1.21200144652e-13,0.25,0.0156268870075,0.250004767044,0.250025424591,88
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2118161724.4,25013655.8143,2118161724.4,2135849050.04,2100474398.75,2102243131.31,2134080317.48,2.0,625682977195000.0,1.21200144652e-13,0.25,0.0156252979403,0.250004767044,0.25,82
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2116894066.84,546696.530186,2116894066.84,2117280639.66,2116507494.01,2116546151.29,2117241982.38,2.0,298877096118.0,1.21200144652e-13,0.25,0.0156262910664,0.249995232956,0.250025424591,33
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2100817491.11,12776527.6406,2100817491.11,2109851860.45,2091783121.78,2092686558.71,2108948423.51,2.0,163239658550000.0,1.21200144652e-13,0.125,0.00195296360913,0.125002383522,0.124987287705,125
