npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
1280.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2883877375.68,14667050.4054,2883877375.68,2894248546.48,2873506204.88,2874543321.96,2893211429.4,2.0,215122367594000.0,1,0.124999445812,0.125012930589,8.95747037061e-15,0.00195331838036,0.125
1280.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2764567423.37,24143531.1343,2764567423.37,2781639477.96,2747495368.78,2749202574.24,2779932272.5,2.0,582910095635000.0,7,0.124999445812,0.25,8.95747037061e-15,0.00781246536325,0.25
1280.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2711963285.71,39361354.3283,2711963285.71,2739795966.27,2684130605.14,2686913873.2,2737012698.21,2.0,1549316214560000.0,13,0.124999445812,0.249974138823,8.95747037061e-15,0.00781165720505,0.25
1280.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2519617739.89,42836043.5859,2519617739.89,2549907396.79,2489328082.99,2492357048.68,2546878431.1,2.0,1834926630090000.0,2,0.124999445812,0.25,8.95747037061e-15,0.00390623268163,0.125
1280.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2403785138.17,3374313.18026,2403785138.17,2406171137.9,2401399138.43,2401637738.41,2405932537.92,2.0,11385989438500.0,19,0.124999445812,0.25,8.95747037061e-15,0.00781246536325,0.25
1280.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2397780308.3,5614917.42832,2397780308.3,2401750654.49,2393809962.11,2394206996.73,2401353619.87,2.0,31527297726900.0,8,0.124999445812,0.249974138823,8.95747037061e-15,0.00781165720505,0.25
1280.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2335301940.47,114868836.765,2335301940.47,2416526473.89,2254077407.04,2262199860.39,2408404020.55,2.0,1.31948496597e+16,25,0.124999445812,0.125012930589,8.95747037061e-15,0.00195331838036,0.125
1280.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2241491137.05,8108032.97271,2241491137.05,2247224382.15,2235757891.96,2236331216.47,2246651057.64,2.0,65740198686500.0,20,0.124999445812,0.125012930589,8.95747037061e-15,0.00390663676073,0.25
1280.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2230073221.26,22417000.1815,2230073221.26,2245924434.11,2214222008.42,2215807129.71,2244339312.82,2.0,502521897137000.0,26,0.249999653633,0.125012930589,8.95747037061e-15,0.00390664866834,0.125
1280.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2226184257.48,36684471.0561,2226184257.48,2252124095.73,2200244419.23,2202838403.06,2249530111.9,2.0,1345750416670000.0,14,0.124999445812,0.25,8.95747037061e-15,0.00781246536325,0.25
