smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,prefix
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,577500582.18,48989.3669708,577491197.266,577567942.192,577451991.996,577456685.303,577557617.937,4.0,2399958076.2,0.124990974078,0.249996693157,0.00391300505149,1.7334191682000001e-13,0.125226860254,6
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,478714487.852,38725.4378066,478717365.652,478757549.575,478665670.532,478671764.697,478753182.089,4.0,1499659533.32,0.124990974078,0.250003306843,0.00391310857042,1.7334191682000001e-13,0.125226860254,11
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,379917275.18,134237.477797,379932128.932,380063722.731,379741120.127,379766189.704,380047565.405,4.0,18019700445.2,0.124990974078,0.250003306843,0.00391310857042,1.7334191682000001e-13,0.125226860254,16
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,376127897.717,1282050.95643,375818608.829,377944962.611,374929410.599,375058616.492,377630183.386,4.0,1643654654890.0,0.250018051845,0.249996693157,0.0155975623434,1.7334191682000001e-13,0.249546279492,32
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,296085185.547,610262.244987,296248222.406,296564314.982,295279982.394,295379452.31,296562667.182,4.0,372420007657.0,0.250018051845,0.124994709051,0.00391345630072,1.7334191682000001e-13,0.125226860254,26
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,281030411.944,78549.5264407,281036901.918,281113666.729,280934177.212,280944573.401,281107164.524,4.0,6170028104.06,0.124990974078,0.125001984106,0.00195655946116,1.7334191682000001e-13,0.125226860254,21
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,277650041.543,1002725.53386,277805653.219,278702135.359,276286724.375,276509356.3,278572870.44,4.0,1005458496260.0,0.250018051845,0.250003306843,0.0155979749784,1.7334191682000001e-13,0.249546279492,37
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,277297415.936,3016949.93463,276807621.239,281404977.744,274169443.521,274521452.499,280759091.948,4.0,9101986908050.0,0.250018051845,0.124994709051,0.00779855422245,1.7334191682000001e-13,0.249546279492,53
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,263564188.631,1687738.18718,263640848.095,265538607.299,261436451.035,261732248.763,265288805.249,4.0,2848460188480.0,0.250018051845,0.249996693157,0.00782714037597,1.7334191682000001e-13,0.125226860254,31
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,178655933.18,1513444.10387,178900457.071,180216242.278,176606576.301,176914296.609,180055236.304,4.0,2290513055550.0,0.250018051845,0.249996693157,0.0155975623434,1.7334191682000001e-13,0.249546279492,58
