smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,33501045.8701,3657943.12966,32181827.0361,38757473.2772,30883056.1308,30921372.5248,37927625.5828,4.0,13380547939800.0,0.250018051845,0.12498974865,53,0.249546279492,0.00779824473773,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,8475706.37214,532201.431161,8568045.08795,9003807.08318,7762928.2295,7861016.67805,8961121.8641,4.0,283238363330.0,0.250018051845,0.249992724848,31,0.125226860254,0.0078270161323,3.46688419418e-13
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-8798844.6854,1529370.18472,-8737440.96776,-7425341.19712,-10295155.609,-10241620.8849,-7442033.69062,4.0,2338973161900.0,0.250018051845,0.249992724848,58,0.249546279492,0.0155973147564,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-13837498.3171,1138694.77127,-13826559.8952,-12813114.7699,-14883758.7081,-14865315.1605,-12824995.2643,4.0,1296625782110.0,0.250018051845,0.12498974865,26,0.125226860254,0.00391330099566,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-33605568.2554,905749.20297,-33298277.7918,-32892234.0549,-34933483.3832,-34689184.613,-32952158.5469,4.0,820381618682.0,0.250018051845,0.250007275152,36,0.125226860254,0.00782747168739,3.46688419418e-13
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-54675892.0816,1621297.10047,-54605047.1971,-53066019.1064,-56427454.826,-56311990.0338,-53138976.9678,4.0,2628604288000.0,0.250018051845,0.250007275152,63,0.249546279492,0.0155982225654,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-71547933.407,1495355.35403,-71221610.7505,-70315275.6713,-73433236.4557,-73227950.5744,-70324767.9587,4.0,2236087634820.0,0.249981948155,0.12498974865,79,0.250453720508,0.00782547179608,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-78962665.6208,843200.8026,-78980113.7025,-77956791.5173,-79933643.5609,-79835334.8454,-78065569.0818,4.0,710987593506.0,0.250018051845,0.250007275152,41,0.125226860254,0.00782747168739,3.46688419418e-13
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-95272481.6197,2604691.07163,-95623033.021,-91794727.5257,-98049132.911,-97743593.5871,-92310597.6904,4.0,6784415578630.0,0.250018051845,0.250007275152,68,0.249546279492,0.0155982225654,3.46688419418e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-107295794.148,1774807.71407,-107249676.683,-105587800.759,-109096022.467,-109011384.119,-105644768.628,4.0,3149942421940.0,0.250018051845,0.249992724848,57,0.249546279492,0.0155973147564,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-111796355.213,3959699.66768,-111053691.958,-107862067.449,-117215969.489,-116402044.969,-108230394.015,4.0,15679221458200.0,0.249981948155,0.249992724848,84,0.250453720508,0.0156517717545,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-121556260.691,1111407.41981,-121130589.83,-120767275.589,-123196587.517,-122905095.256,-120803365.333,4.0,1235226452810.0,0.250018051845,0.125002976198,46,0.125226860254,0.00391371513664,3.46688419418e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-126783354.093,1058782.79207,-127050136.165,-125301581.613,-127731562.431,-127666993.549,-125526219.738,4.0,1121021000780.0,0.250018051845,0.12498974865,52,0.249546279492,0.00779824473773,3.46688419418e-13
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-139935292.446,2576784.00001,-139972771.318,-136938695.298,-142856931.851,-142588661.052,-137229453.421,4.0,6639815782690.0,0.250018051845,0.125002976198,73,0.249546279492,0.00779907001867,3.46688419418e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-150534945.752,1840113.75512,-149868611.772,-149187560.795,-153214998.668,-152768350.181,-149234408.893,4.0,3386018631770.0,0.250018051845,0.250007275152,62,0.249546279492,0.0155982225654,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-158977358.607,2581353.34503,-160019870.745,-155192397.353,-160677295.585,-160660893.268,-155834306.953,4.0,6663385091920.0,0.249981948155,0.250007275152,89,0.250453720508,0.0156526827331,3.46688419418e-13
