smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,prefix
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,471308179.543,47795.1526272,471291892.89,471377246.0,471271686.391,471273141.672,471366018.726,4.0,2284376614.66,0.249996693157,1.7334191682000001e-13,0.125226860254,0.124990974078,0.00391300505149,6
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,394293864.05,46316.0668099,394301975.568,394339121.544,394232383.518,394240508.617,394335863.356,4.0,2145178044.74,0.250003306843,1.7334191682000001e-13,0.125226860254,0.124990974078,0.00391310857042,11
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,317022141.254,152872.443344,317062428.4,317160180.564,316803527.651,316841924.349,317145956.154,4.0,23369983934.1,0.250003306843,1.7334191682000001e-13,0.125226860254,0.124990974078,0.00391310857042,16
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,300028462.854,524973.69822,299967888.115,300692519.99,299485555.196,299527213.186,300614517.157,4.0,275597383823.0,0.249996693157,1.7334191682000001e-13,0.249546279492,0.250018051845,0.0155975623434,32
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,240027616.679,116958.140227,240014151.11,240169787.496,239912377.0,239918654.216,240155430.939,4.0,13679206565.4,0.125001984106,1.7334191682000001e-13,0.125226860254,0.124990974078,0.00195655946116,21
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,223243730.052,1600106.8515,222683704.776,225529906.367,222077604.289,222096011.95,225175483.54,4.0,2560341936210.0,0.250003306843,1.7334191682000001e-13,0.249546279492,0.250018051845,0.0155979749784,37
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,218254383.818,1069159.84749,218049772.916,219673026.538,217244962.901,217306240.164,219488982.734,4.0,1143102779480.0,0.124994709051,1.7334191682000001e-13,0.125226860254,0.250018051845,0.00391345630072,26
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,208368213.945,919398.405139,208760090.823,208943591.164,207009082.973,207247910.73,208939889.533,4.0,845293427372.0,0.124994709051,1.7334191682000001e-13,0.249546279492,0.250018051845,0.00779855422245,53
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,206434188.22,3552250.41017,207382765.882,209246211.944,201725009.174,202314471.876,209225895.839,4.0,12618482976500.0,0.249996693157,1.7334191682000001e-13,0.125226860254,0.250018051845,0.00782714037597,31
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,145161989.374,1317700.87746,145009165.485,146656212.52,143973414.007,143998143.938,146539788.255,4.0,1736335602460.0,0.250003306843,1.7334191682000001e-13,0.249546279492,0.250018051845,0.0155979749784,42
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,131877848.028,1328086.54113,131702204.649,133603164.116,130503818.699,130619490.578,133382106.209,4.0,1763813860730.0,0.249996693157,1.7334191682000001e-13,0.249546279492,0.250018051845,0.0155975623434,58
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,128111256.281,1957891.86705,127519909.053,130907442.196,126497764.82,126585821.091,130464577.588,4.0,3833340563060.0,0.250003306843,1.7334191682000001e-13,0.125226860254,0.250018051845,0.00782734744372,36
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,68865901.5773,1225117.69508,68924435.5576,70098986.2243,67515748.9694,67613186.3542,70036669.2278,4.0,1500913366790.0,0.125001984106,1.7334191682000001e-13,0.249546279492,0.250018051845,0.00779900812097,47
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,54886487.9364,3117365.92314,54691382.7228,58817278.779,51345907.5208,51736944.2562,58309178.9155,4.0,9717970298770.0,0.250003306843,1.7334191682000001e-13,0.249546279492,0.250018051845,0.0155979749784,63
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,49708813.7023,958320.036797,49517489.956,50982223.5532,48818051.344,48868171.7334,50817308.916,4.0,918377292926.0,0.124994709051,1.7334191682000001e-13,0.249546279492,0.250018051845,0.00779855422245,52
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,49321888.5688,854933.843866,49564912.5985,50064177.0816,48093551.9967,48301347.6725,50002195.8236,4.0,730911877387.0,0.250003306843,1.7334191682000001e-13,0.125226860254,0.250018051845,0.00782734744372,41
