smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-667876075.599,7336181.77706,-669752937.455,-657926288.156,-674072139.329,-673861888.932,-659262655.668,4.0,53819563066100.0,0.125226860254,0.124990974078,3.46688419418e-13,0.00195636794902,0.12498974865,105
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-704623636.591,4211210.3946,-703955332.186,-700674218.169,-709909663.824,-709330613.283,-700852286.066,4.0,17734292987600.0,0.125226860254,0.124990974078,3.46688419418e-13,0.00391294293863,0.249992724848,110
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-747601299.691,3094266.08338,-747257581.017,-744629680.169,-751260356.562,-750925485.628,-744758319.898,4.0,9574482594770.0,0.125226860254,0.124990974078,3.46688419418e-13,0.00391317068328,0.250007275152,115
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-794503172.21,4211604.03698,-795689510.001,-788467292.441,-798166376.396,-797873300.989,-789472170.523,4.0,17737608564300.0,0.125226860254,0.124990974078,3.46688419418e-13,0.00391317068328,0.250007275152,120
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-830063573.795,5373501.2073,-829659658.15,-823911176.184,-837023802.697,-835921473.709,-824771155.785,4.0,28874515224900.0,0.250453720508,0.124990974078,3.46688419418e-13,0.00391273589804,0.12498974865,104
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-833380950.111,8420136.9701,-833728132.896,-822773862.373,-843293672.278,-841996428.129,-824279416.194,4.0,70898706595200.0,0.250453720508,0.124990974078,3.46688419418e-13,0.00782588587727,0.249992724848,109
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-839190922.269,3551983.45136,-840561822.026,-833929596.001,-841710449.024,-841564449.477,-834898135.402,4.0,12616586438700.0,0.125226860254,0.124990974078,3.46688419418e-13,0.00195657498961,0.125002976198,125
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-877829526.958,4190352.669,-878713763.426,-872478373.146,-881412207.834,-881336809.354,-873084313.506,4.0,17559055490600.0,0.250453720508,0.124990974078,3.46688419418e-13,0.00782634136657,0.250007275152,114
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-920658543.764,6742718.59245,-920444508.641,-914369603.666,-927375554.108,-927098040.073,-914518696.627,4.0,45464254017000.0,0.250453720508,0.124990974078,3.46688419418e-13,0.00782634136657,0.250007275152,119
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-962394830.75,3689768.05697,-961779539.657,-958862491.188,-967157752.498,-966586361.736,-959064707.294,4.0,13614388314200.0,0.250453720508,0.124990974078,3.46688419418e-13,0.00391314997922,0.125002976198,124
