smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1250912060.54,92032.109462,-1250910454.82,-1250802400.95,-1251024931.55,-1251010442.23,-1250815926.84,4.0,8469909172.03,0.00391300505149,1.7334191682000001e-13,0.124990974078,0.249996693157,0.125226860254,6
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1253597720.12,1159547.28272,-1253638202.06,-1252444182.6,-1254670293.77,-1254647501.7,-1252491263.82,4.0,1344549900860.0,0.00391310857042,1.7334191682000001e-13,0.124990974078,0.250003306843,0.125226860254,11
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1260687261.84,285370.010311,-1260762908.53,-1260278895.84,-1260944334.46,-1260917519.73,-1260351098.57,4.0,81436042784.7,0.00391310857042,1.7334191682000001e-13,0.124990974078,0.250003306843,0.125226860254,16
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1269720298.64,680197.219388,-1269801526.12,-1268860383.92,-1270417758.39,-1270366252.6,-1268960626.2,4.0,462668257264.0,0.00195655946116,1.7334191682000001e-13,0.124990974078,0.125001984106,0.125226860254,21
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1443358756.95,793651.235126,-1443291447.06,-1442461493.75,-1444390639.93,-1444236743.76,-1442575003.98,4.0,629882283017.0,0.0155975623434,1.7334191682000001e-13,0.250018051845,0.249996693157,0.249546279492,32
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1446335894.57,627067.193311,-1446527266.57,-1445450995.76,-1446838049.38,-1446819731.51,-1445584136.83,4.0,393213264927.0,0.0155979749784,1.7334191682000001e-13,0.250018051845,0.250003306843,0.249546279492,37
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1453670137.32,2082955.04659,-1453663062.29,-1451523839.15,-1455830585.54,-1455710630.32,-1451639549.36,4.0,4338701726120.0,0.0155979749784,1.7334191682000001e-13,0.250018051845,0.250003306843,0.249546279492,42
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1467581567.59,2043875.67032,-1468081253.54,-1464912938.86,-1469250824.4,-1469230002.09,-1465233572.75,4.0,4177427755710.0,0.00779900812097,1.7334191682000001e-13,0.250018051845,0.125001984106,0.249546279492,47
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1537348565.67,1785497.10753,-1537424202.27,-1535089148.69,-1539456709.45,-1539157947.31,-1535433292.79,4.0,3187999921000.0,0.00782714037597,1.7334191682000001e-13,0.250018051845,0.249996693157,0.125226860254,31
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1550740655.36,1694957.94845,-1550627063.69,-1548986278.73,-1552722215.34,-1552541620.45,-1549098718.62,4.0,2872882447030.0,0.00782734744372,1.7334191682000001e-13,0.250018051845,0.250003306843,0.125226860254,36
