smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
240.0,-194.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-550188495.849,215752.863134,-550172352.851,-549941397.704,-550467879.988,-550423943.659,-549975648.235,4.0,46549297950.4,0.25,22,0.125,0.125005697238,1.06825089311e-11,0.0039064280387
240.0,-225.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-558451427.647,119792.268777,-558475707.816,-558290415.932,-558563879.024,-558556747.688,-558312115.371,4.0,14350187658.6,0.125,6,0.125,0.249990677246,1.06825089311e-11,0.00390610433197
240.0,-225.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-559534515.983,60389.0668757,-559512388.334,-559492238.875,-559621048.387,-559607527.503,-559492483.17,4.0,3646839398.12,0.125,11,0.125,0.250009322754,1.06825089311e-11,0.00390639566803
240.0,-225.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-561423470.014,218953.75558,-561399043.017,-561220603.472,-561675190.55,-561654474.621,-561226663.203,4.0,47940747082.8,0.125,16,0.125,0.250009322754,1.06825089311e-11,0.00390639566803
240.0,-225.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-564371276.301,357739.826707,-564357064.781,-564029009.733,-564741965.908,-564722321.913,-564040126.816,4.0,127977783613.0,0.125,21,0.125,0.125005697238,1.06825089311e-11,0.00195321401935
240.0,-163.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-600483898.376,599481.727357,-600318182.037,-599960934.799,-601338294.63,-601200175.148,-599999624.478,4.0,359378341435.0,0.25,48,0.25,0.125005697238,1.06825089311e-11,0.0078128560774
240.0,-194.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-609382870.124,369514.280267,-609376336.185,-609000971.696,-609777836.429,-609752418.542,-609022469.22,4.0,136540803321.0,0.25,32,0.25,0.249990677246,1.06825089311e-11,0.0156244173279
240.0,-194.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-609673716.617,267300.624177,-609614072.477,-609450492.951,-610016228.562,-609977142.412,-609453792.617,4.0,71449623685.2,0.25,27,0.25,0.124984980008,1.06825089311e-11,0.00781156125049
240.0,-194.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-611215268.029,218144.613445,-611255810.016,-610916759.381,-611432692.704,-611412059.144,-610961718.132,4.0,47587072374.9,0.25,37,0.25,0.250009322754,1.06825089311e-11,0.0156255826721
240.0,-194.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-612649798.021,398662.299414,-612624814.026,-612250957.61,-613098606.419,-613063513.151,-612271060.482,4.0,158931628974.0,0.25,42,0.25,0.250009322754,1.06825089311e-11,0.0156255826721
240.0,-194.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-616141321.509,734207.58441,-616075363.8,-615428127.299,-616986431.138,-616915636.687,-615459347.125,4.0,539060777005.0,0.25,47,0.25,0.125005697238,1.06825089311e-11,0.0078128560774
240.0,-225.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-631844463.888,320199.374678,-631844701.361,-631487154.355,-632201298.474,-632172130.606,-631516464.707,4.0,102527639544.0,0.125,31,0.25,0.249990677246,1.06825089311e-11,0.00781220866395
240.0,-225.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-634818023.635,530006.132666,-634759143.462,-634245058.028,-635508749.588,-635414800.032,-634303679.48,4.0,280906500664.0,0.125,36,0.25,0.250009322754,1.06825089311e-11,0.00781279133605
240.0,-225.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-638953472.385,406649.103478,-638875695.248,-638550972.059,-639511526.984,-639427052.005,-638588780.756,4.0,165363493359.0,0.125,41,0.25,0.250009322754,1.06825089311e-11,0.00781279133605
