smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight-ft_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,797602323.214,5994.46558486,797602323.214,797606561.942,797598084.487,797598508.36,797606138.069,2.0,35933617.6481,0.000343451661238,0.0556451612903,0.11110627741,11,1.21719856843e-13,0.0555519897304
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,759028219.13,48334.8758058,759028219.13,759062397.049,758994041.212,758997459.004,759058979.257,2.0,2336260219.16,0.000343471651123,0.0556451612903,0.111112744118,21,1.21719856843e-13,0.0555519897304
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,720538386.741,129518.015079,720538386.741,720629969.808,720446803.674,720455961.981,720620811.501,2.0,16774916229.9,0.000343471651123,0.0556451612903,0.111112744118,31,1.21719856843e-13,0.0555519897304
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,683509449.958,81102.977524,683509449.958,683566798.423,683452101.493,683457836.339,683561063.577,2.0,6577692963.25,0.00137380664495,0.111290322581,0.11110627741,112,1.21719856843e-13,0.111103979461
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,681981731.646,163734.16091,681981731.646,682097509.182,681865954.111,681877531.864,682085931.428,2.0,26808875449.0,0.00034346983386,0.0556451612903,0.111112156236,41,1.21719856843e-13,0.0555519897304
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,644670696.92,871355.99075,644670696.92,645286838.65,644054555.19,644116169.363,645225224.477,2.0,759261262617.0,0.00137388660449,0.111290322581,0.111112744118,122,1.21719856843e-13,0.111103979461
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,643536006.657,149457.534444,643536006.657,643641689.093,643430324.221,643440892.465,643631120.85,2.0,22337554602.2,0.00034346983386,0.0556451612903,0.111112156236,51,1.21719856843e-13,0.0555519897304
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,643152555.449,62645.2126833,643152555.449,643196852.304,643108258.594,643112688.28,643192422.618,2.0,3924422672.13,0.000343433488615,0.0556451612903,0.0555501992922,101,1.21719856843e-13,0.111103979461
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,640693830.884,919683.551472,640693830.884,641344145.36,640043516.408,640108547.856,641279113.912,2.0,845817834848.0,0.000686903322476,0.0556451612903,0.11110627741,111,1.21719856843e-13,0.111103979461
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,606275142.202,1056081.78226,606275142.202,607021904.792,605528379.612,605603055.871,606947228.533,2.0,1115308730820.0,0.00137388660449,0.111290322581,0.111112744118,132,1.21719856843e-13,0.111103979461
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,604666526.455,49572.6599844,604666526.455,604701579.619,604631473.291,604634978.608,604698074.303,2.0,2457448617.92,0.00034346983386,0.0556451612903,0.111112156236,61,1.21719856843e-13,0.0555519897304
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,602175020.434,968480.626071,602175020.434,602859839.652,601490201.216,601558683.138,602791357.731,2.0,937954723076.0,0.000686943302245,0.0556451612903,0.111112744118,121,1.21719856843e-13,0.111103979461
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,569900170.739,36818.3837565,569900170.739,569926205.267,569874136.21,569876739.663,569923601.815,2.0,1355593382.44,0.00137380664495,0.111290322581,0.11110627741,213,1.21719856843e-13,0.111103979461
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,568382100.997,750337.143503,568382100.997,568912669.479,567851532.515,567904589.363,568859612.631,2.0,563005828920.0,0.00137387933544,0.111290322581,0.111112156236,142,1.21719856843e-13,0.111103979461
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,566530851.311,146616.663701,566530851.311,566634524.948,566427177.674,566437545.037,566624157.584,2.0,21496446074.9,0.000343471651123,0.0556451612903,0.111112744118,71,1.21719856843e-13,0.0555519897304
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,563300735.887,522782.785354,563300735.887,563670399.139,562931072.634,562968038.959,563633432.814,2.0,273301840662.0,0.000686943302245,0.0556451612903,0.111112744118,131,1.21719856843e-13,0.111103979461
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,531258209.912,742265.34686,531258209.912,531783070.772,530733349.052,530785835.138,531730584.686,2.0,550957845149.0,0.00137388660449,0.111290322581,0.111112744118,223,1.21719856843e-13,0.111103979461
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,528195012.57,528906.322917,528195012.57,528569005.818,527821019.322,527858418.647,528531606.493,2.0,279741898421.0,0.00137387933544,0.111290322581,0.111112156236,152,1.21719856843e-13,0.111103979461
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,527736839.446,156723.533251,527736839.446,527847659.72,527626019.173,527637101.201,527836577.692,2.0,24562265874.7,0.000343471651123,0.0556451612903,0.111112744118,81,1.21719856843e-13,0.0555519897304
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,527586617.245,526422.36695,527586617.245,527958854.07,527214380.42,527251604.102,527921630.388,2.0,277120508425.0,0.000686866977231,0.111290322581,0.0555501992922,202,1.21719856843e-13,0.111103979461
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,527440528.576,1583179.23338,527440528.576,528560005.348,526321051.804,526432999.482,528448057.671,2.0,2506456485010.0,0.00137380664495,0.111290322581,0.11110627741,212,1.21719856843e-13,0.111103979461
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,524791248.772,191899.501173,524791248.772,524926942.21,524655555.333,524669124.677,524913372.866,2.0,36825418550.5,0.000686939667721,0.0556451612903,0.111112156236,141,1.21719856843e-13,0.111103979461
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,492229519.144,893292.016881,492229519.144,492861171.987,491597866.302,491661031.586,492798006.703,2.0,797970627424.0,0.00137388660449,0.111290322581,0.111112744118,233,1.21719856843e-13,0.111103979461
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,490612640.258,263700.805156,490612640.258,490799104.885,490426175.63,490444822.093,490780458.423,2.0,69538114640.0,0.00137387933544,0.111290322581,0.111112156236,162,1.21719856843e-13,0.111103979461
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,489154033.934,61286.1562442,489154033.934,489197369.791,489110698.078,489115031.663,489193036.205,2.0,3755992947.19,0.00017173491693,0.0556451612903,0.0555560781178,91,1.21719856843e-13,0.0555519897304
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,488015601.054,1041403.03599,488015601.054,488751984.203,487279217.905,487352856.22,488678345.888,2.0,1084520283370.0,0.00137388660449,0.111290322581,0.111112744118,222,1.21719856843e-13,0.111103979461
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,487326546.35,49182.734991,487326546.35,487361323.796,487291768.905,487295246.65,487357846.051,2.0,2418941421.2,0.000686939667721,0.0556451612903,0.111112156236,151,1.21719856843e-13,0.111103979461
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,476352763.782,1474617.62805,476352763.782,477395475.906,475310051.658,475414322.87,477291204.694,2.0,2174497148950.0,0.000686903322476,0.0556451612903,0.11110627741,211,1.21719856843e-13,0.111103979461
