smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,prefix
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,96080035.6952,42195.8927485,96082116.6375,96118559.2909,96037350.2149,96039290.2024,96117867.8689,4.0,1780493364.84,0.125226860254,1.7334191682000001e-13,0.249996693157,0.00391300505149,0.124990974078,6
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,18752949.0517,153442.666539,18735348.8411,18956397.5118,18584701.0128,18605413.4849,18925124.9133,4.0,23544651914.5,0.125226860254,1.7334191682000001e-13,0.250003306843,0.00391310857042,0.124990974078,11
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-58569213.3274,142612.524251,-58571808.5885,-58414289.2488,-58718946.8839,-58709683.3278,-58425109.9615,4.0,20338332073.1,0.125226860254,1.7334191682000001e-13,0.250003306843,0.00391310857042,0.124990974078,16
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-84297036.6108,1167564.00096,-84513138.2275,-82839658.7114,-85322211.277,-85296972.3416,-82994558.6167,4.0,1363205696330.0,0.249546279492,1.7334191682000001e-13,0.249996693157,0.0155975623434,0.250018051845,32
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-136010507.811,127598.832835,-136001143.69,-135871324.333,-136168419.533,-136150332.418,-135883792.975,4.0,16281462140.9,0.125226860254,1.7334191682000001e-13,0.125001984106,0.00195655946116,0.124990974078,21
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-162032393.583,1191894.84056,-162002290.279,-160887111.261,-163237882.511,-163182237.408,-160924694.382,4.0,1420613310960.0,0.249546279492,1.7334191682000001e-13,0.250003306843,0.0155979749784,0.250018051845,37
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-164281027.959,2572013.80699,-164802336.005,-160697551.55,-166821888.274,-166526430.338,-161305794.314,4.0,6615255023330.0,0.125226860254,1.7334191682000001e-13,0.124994709051,0.00391345630072,0.250018051845,26
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-177684616.167,1397210.4645,-177536492.12,-176135107.477,-179530372.952,-179238726.419,-176337879.581,4.0,1952197082110.0,0.125226860254,1.7334191682000001e-13,0.249996693157,0.00782714037597,0.250018051845,31
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-185058311.444,2625402.67548,-185094852.498,-182050095.412,-187993445.368,-187742709.93,-182322755.482,4.0,6892739208440.0,0.249546279492,1.7334191682000001e-13,0.124994709051,0.00779855422245,0.250018051845,53
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-239606256.939,660734.300431,-239663379.77,-238853171.933,-240245096.28,-240218577.755,-238913964.158,4.0,436569815767.0,0.249546279492,1.7334191682000001e-13,0.250003306843,0.0155979749784,0.250018051845,42
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-255925972.706,968406.952881,-256026471.893,-254766096.481,-256884850.558,-256833199.909,-254878046.642,4.0,937812026387.0,0.125226860254,1.7334191682000001e-13,0.250003306843,0.00782734744372,0.250018051845,36
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-261039657.758,2282796.67225,-260787631.133,-258630417.904,-263952950.86,-263595053.519,-258837099.271,4.0,5211160646840.0,0.249546279492,1.7334191682000001e-13,0.249996693157,0.0155975623434,0.250018051845,58
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-316967286.433,787128.81569,-317184945.85,-315838295.804,-317660958.226,-317599139.76,-316030709.921,4.0,619571772490.0,0.249546279492,1.7334191682000001e-13,0.125001984106,0.00779900812097,0.250018051845,47
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-333907143.228,1777095.03338,-333808349.787,-332084724.193,-335927149.146,-335761305.41,-332191291.865,4.0,3158066757650.0,0.125226860254,1.7334191682000001e-13,0.250003306843,0.00782734744372,0.250018051845,41
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-339337951.137,3553233.61252,-339847622.723,-334657845.799,-342998713.304,-342677998.734,-335284363.321,4.0,12625469105100.0,0.249546279492,1.7334191682000001e-13,0.250003306843,0.0155979749784,0.250018051845,63
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-342444648.003,2574015.10738,-343050301.978,-338890943.405,-344787044.649,-344634041.997,-339407338.442,4.0,6625553773030.0,0.249546279492,1.7334191682000001e-13,0.124994709051,0.00779855422245,0.250018051845,52
