smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-765509778.114,342914.747174,-765442475.774,-765192451.942,-765961708.967,-765904709.829,-765209069.675,4.0,117590523829.0,0.125226860254,6,0.00391300505149,1.7334191682000001e-13,0.249996693157,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-768185059.824,776096.054514,-768219096.264,-767412058.735,-768889988.033,-768878739.91,-767443728.721,4.0,602325085832.0,0.125226860254,11,0.00391310857042,1.7334191682000001e-13,0.250003306843,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-774873758.585,469652.492823,-774791199.722,-774410643.873,-775501991.024,-775416301.825,-774446797.755,4.0,220573464015.0,0.125226860254,16,0.00391310857042,1.7334191682000001e-13,0.250003306843,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-783887603.046,754742.974017,-783814380.299,-783042669.447,-784878982.138,-784723320.19,-783154397.747,4.0,569636956827.0,0.125226860254,21,0.00195655946116,1.7334191682000001e-13,0.125001984106,0.124990974078
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1051060394.81,1200826.26783,-1050538553.41,-1050310138.42,-1052854333.98,-1052508510.82,-1050342856.75,4.0,1441983725500.0,0.249546279492,32,0.0155975623434,1.7334191682000001e-13,0.249996693157,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1054986139.81,369539.599487,-1054946281.91,-1054580249.9,-1055471745.52,-1055401101.82,-1054626978.86,4.0,136559515589.0,0.249546279492,37,0.0155979749784,1.7334191682000001e-13,0.250003306843,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1061498939.56,2384693.32862,-1062117324.84,-1058252632.68,-1063508475.87,-1063438856.6,-1058693283.13,4.0,5686762271570.0,0.249546279492,42,0.0155979749784,1.7334191682000001e-13,0.250003306843,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1074882069.4,2646187.1303,-1074896943.57,-1072314768.84,-1077419621.62,-1077340774.7,-1072402540.26,4.0,7002306328570.0,0.249546279492,47,0.00779900812097,1.7334191682000001e-13,0.125001984106,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1146981195.64,1502016.3224,-1146644300.62,-1145690889.43,-1148945291.9,-1148707191.01,-1145726853.31,4.0,2256053032760.0,0.125226860254,31,0.00782714037597,1.7334191682000001e-13,0.249996693157,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1159273800.64,2303572.36106,-1158949119.58,-1156832031.46,-1162364931.96,-1161898935.55,-1157103219.23,4.0,5306445622630.0,0.125226860254,36,0.00782734744372,1.7334191682000001e-13,0.250003306843,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1173924884.02,2698964.56384,-1172988778.72,-1171856633.66,-1177865344.99,-1177191541.9,-1171968773.58,4.0,7284409716860.0,0.125226860254,41,0.00782734744372,1.7334191682000001e-13,0.250003306843,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1188100088.13,3643034.82641,-1187416863.02,-1184635809.01,-1192930817.49,-1192303408.61,-1184853282.82,4.0,13271702746500.0,0.125226860254,46,0.00391368407525,1.7334191682000001e-13,0.125001984106,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1193139812.36,978135.071657,-1193281524.91,-1191824288.69,-1194171910.9,-1194057982.34,-1192023244.79,4.0,956748218405.0,0.125226860254,26,0.00391345630072,1.7334191682000001e-13,0.124994709051,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1331642711.98,3527174.30199,-1330466133.17,-1328973193.72,-1336665387.87,-1335892842.42,-1329039791.88,4.0,12440958556600.0,0.249546279492,58,0.0155975623434,1.7334191682000001e-13,0.249996693157,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1333745165.93,2456752.81294,-1333993988.22,-1330995631.73,-1335997055.55,-1335941975.76,-1331200004.9,4.0,6035634383880.0,0.249546279492,53,0.00779855422245,1.7334191682000001e-13,0.124994709051,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1340849058.49,1259996.1237,-1340965480.51,-1339428375.61,-1342036897.33,-1341997414.21,-1339537711.95,4.0,1587590231750.0,0.249546279492,63,0.0155979749784,1.7334191682000001e-13,0.250003306843,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1352108768.93,3812217.67145,-1352041660.52,-1348742275.98,-1355609478.69,-1355548668.49,-1348762821.14,4.0,14533003574500.0,0.249546279492,68,0.0155979749784,1.7334191682000001e-13,0.250003306843,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1366086045.86,2469472.4859,-1365796309.72,-1363678113.12,-1369073450.87,-1368777578.26,-1363800144.05,4.0,6098294358620.0,0.249546279492,73,0.00779900812097,1.7334191682000001e-13,0.125001984106,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1437214880.51,2021914.18419,-1437523387.77,-1434553784.4,-1439258962.08,-1439094341.65,-1434903509.18,4.0,4088136968240.0,0.249546279492,57,0.0155975623434,1.7334191682000001e-13,0.249996693157,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1449645747.81,3620985.61625,-1449525821.29,-1445383490.13,-1454147858.54,-1453553484.98,-1445905907.77,4.0,13111536833100.0,0.249546279492,62,0.0155979749784,1.7334191682000001e-13,0.250003306843,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1468800263.86,3577492.53389,-1469280544.58,-1464045889.82,-1472594076.45,-1472199713.58,-1464728421.12,4.0,12798452830000.0,0.249546279492,67,0.0155979749784,1.7334191682000001e-13,0.250003306843,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1478845636.58,1589758.70923,-1478824331.36,-1476965633.83,-1480768249.77,-1480539432.9,-1477181667.57,4.0,2527332753570.0,0.249546279492,52,0.00779855422245,1.7334191682000001e-13,0.124994709051,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1489554748.19,2709523.75964,-1489422645.04,-1486877030.21,-1492496672.48,-1492298914.77,-1486995526.03,4.0,7341519004080.0,0.249546279492,72,0.00779900812097,1.7334191682000001e-13,0.125001984106,0.250018051845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1552365732.91,2351248.14609,-1553362021.35,-1548858242.92,-1553880646.01,-1553808128.47,-1549528533.52,4.0,5528367844510.0,0.125226860254,56,0.00782714037597,1.7334191682000001e-13,0.249996693157,0.250018051845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1576628424.39,3414648.22885,-1576959557.27,-1572170556.9,-1580424026.11,-1579977916.58,-1572815346.17,4.0,11659822526800.0,0.125226860254,61,0.00782734744372,1.7334191682000001e-13,0.250003306843,0.250018051845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1594395984.78,2802657.33378,-1595371898.03,-1590396243.75,-1596443899.32,-1596411608.46,-1591014082.56,4.0,7854888130620.0,0.125226860254,66,0.00782734744372,1.7334191682000001e-13,0.250003306843,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1610617667.76,4366312.97933,-1611689602.34,-1604648779.02,-1614442687.35,-1614258138.0,-1605476489.11,4.0,19064689033500.0,0.250453720508,79,0.00782578236135,1.7334191682000001e-13,0.124994709051,0.249981948155
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1613356429.4,2136814.93648,-1613952472.67,-1610287621.04,-1615233151.2,-1615064221.78,-1610814176.43,4.0,4565978072780.0,0.250453720508,84,0.015652020206,1.7334191682000001e-13,0.249996693157,0.249981948155
