smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,329246117.691,41863.7886347,329245538.502,329294025.091,329199368.667,329203338.592,329289707.653,4.0,1752576798.85,0.124990974078,0.249992724848,6,0.00391294293863,3.46688419418e-13,0.125226860254
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,313611615.973,178481.474605,313631471.045,313803115.685,313380406.117,313410834.421,313784600.425,4.0,31855636777.1,0.124990974078,0.250007275152,11,0.00391317068328,3.46688419418e-13,0.125226860254
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,296872529.641,307991.645386,296912064.183,297155280.943,296510709.256,296542732.386,297146978.537,4.0,94858853627.7,0.124990974078,0.250007275152,16,0.00391317068328,3.46688419418e-13,0.125226860254
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,280256038.311,378694.892873,280109649.553,280810007.364,279994846.773,280000319.5,280716701.382,4.0,143409821888.0,0.124990974078,0.125002976198,21,0.00195657498961,3.46688419418e-13,0.125226860254
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-143421286.541,170143.879161,-143383096.105,-143280710.196,-143638243.757,-143613840.591,-143282199.101,4.0,28948939616.1,0.250018051845,0.249992724848,32,0.0155973147564,3.46688419418e-13,0.249546279492
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-159645532.904,200324.944937,-159614565.974,-159477114.605,-159875885.065,-159857101.95,-159477317.561,4.0,40130083564.1,0.250018051845,0.250007275152,37,0.0155982225654,3.46688419418e-13,0.249546279492
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-175796185.325,164564.277202,-175840483.082,-175562407.212,-175941367.925,-175930463.799,-175599889.992,4.0,27081401331.2,0.250018051845,0.250007275152,42,0.0155982225654,3.46688419418e-13,0.249546279492
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-193099567.376,680177.415235,-193321811.509,-192114330.028,-193640316.457,-193609655.458,-192278337.507,4.0,462641316196.0,0.250018051845,0.125002976198,47,0.00779907001867,3.46688419418e-13,0.249546279492
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-245568586.475,146540.626791,-245534447.38,-245431109.536,-245774341.604,-245741461.471,-245443506.212,4.0,21474155300.2,0.250018051845,0.249992724848,31,0.0078270161323,3.46688419418e-13,0.125226860254
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-251219322.918,96528.9183434,-251199811.137,-251124556.665,-251353112.732,-251331990.151,-251133972.177,4.0,9317832076.54,0.250018051845,0.12498974865,26,0.00391330099566,3.46688419418e-13,0.125226860254
