smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,336554049.878,1383043.45993,336857097.664,337769285.737,334732718.446,334958866.221,337724966.634,4.0,1912809212050.0,0.125226860254,31,0.0078270161323,3.46688419418e-13,0.250018051845,0.249992724848
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,331988538.123,684116.951954,332094714.008,332706241.863,331058482.612,331209949.457,332618480.549,4.0,468016003950.0,0.125226860254,26,0.00391330099566,3.46688419418e-13,0.250018051845,0.12498974865
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,282242228.667,339550.94088,282368865.28,282476271.104,281754913.004,281831432.391,282475733.685,4.0,115294841452.0,0.125226860254,36,0.00782747168739,3.46688419418e-13,0.250018051845,0.250007275152
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,228073327.44,62068.6959237,228067189.89,228140426.287,228018503.693,228019119.977,228136127.473,4.0,3852523013.67,0.125226860254,41,0.00782747168739,3.46688419418e-13,0.250018051845,0.250007275152
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,219605472.645,1030175.04315,219111617.549,221148661.423,219049994.06,219051016.212,220851326.213,4.0,1061260619530.0,0.249546279492,53,0.00779824473773,3.46688419418e-13,0.250018051845,0.12498974865
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,172305574.03,859886.950078,172135243.31,173359618.219,171592191.282,171595687.498,173253923.571,4.0,739405566914.0,0.125226860254,46,0.00391371513664,3.46688419418e-13,0.250018051845,0.125002976198
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,164649628.197,750986.682039,164773806.855,165397576.136,163653322.943,163786369.32,165339036.954,4.0,563980996600.0,0.249546279492,58,0.0155973147564,3.46688419418e-13,0.250018051845,0.249992724848
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,110468188.549,772276.493696,110504084.809,111232362.784,109632221.794,109687712.812,111198409.522,4.0,596410982715.0,0.249546279492,63,0.0155982225654,3.46688419418e-13,0.250018051845,0.250007275152
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,56691504.7037,497325.78926,56576126.3444,57390992.4955,56222773.6306,56267302.8648,57277236.2457,4.0,247332940663.0,0.249546279492,68,0.0155982225654,3.46688419418e-13,0.250018051845,0.250007275152
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,42038524.7648,1462242.37963,42425926.8477,43345321.3707,39956923.9932,40298515.38,43236171.2337,4.0,2138152776800.0,0.249546279492,57,0.0155973147564,3.46688419418e-13,0.250018051845,0.249992724848
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,40593587.618,1454552.47249,40790641.9818,41896272.8169,38896793.6918,39042846.0943,41868453.0325,4.0,2115722895240.0,0.249546279492,52,0.00779824473773,3.46688419418e-13,0.250018051845,0.12498974865
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,2036784.46738,1246623.19451,1988984.53834,3555139.5397,614029.253144,759526.807597,3380962.02782,4.0,1554069389080.0,0.249546279492,73,0.00779907001867,3.46688419418e-13,0.250018051845,0.125002976198
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-13503085.9431,1935859.26274,-13545009.5047,-11116635.1514,-15805689.6116,-15518765.937,-11428712.963,4.0,3747551085120.0,0.249546279492,62,0.0155982225654,3.46688419418e-13,0.250018051845,0.250007275152
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-62965859.5957,808121.475123,-63261381.9872,-61780378.3198,-63560296.0887,-63532493.5154,-61985494.328,4.0,653060318555.0,0.250453720508,79,0.00782547179608,3.46688419418e-13,0.249981948155,0.12498974865
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-68910251.4339,848090.96328,-68989079.9983,-67803533.7933,-69859311.9455,-69743704.6671,-67966438.2104,4.0,719258281997.0,0.249546279492,67,0.0155982225654,3.46688419418e-13,0.250018051845,0.250007275152
