smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-ft_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-36638804.3999,7035.47399107,-36640224.0261,-36629239.3297,-36645530.2175,-36645029.2938,-36630592.0292,4.0,49497894.279,0.249992724848,0.125226860254,0.00391294293863,6,3.46688419418e-13,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-78539187.2312,25648.7311337,-78541381.3485,-78506719.7652,-78567266.4628,-78564552.177,-78510750.5213,4.0,657857408.768,0.250007275152,0.125226860254,0.00391317068328,11,3.46688419418e-13,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-120414694.452,17967.111708,-120418414.721,-120390001.192,-120431947.176,-120430529.897,-120393650.632,4.0,322817103.128,0.250007275152,0.125226860254,0.00391317068328,16,3.46688419418e-13,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-162309692.451,28062.810658,-162300731.964,-162288662.054,-162348643.822,-162343108.735,-162288820.849,4.0,787521342.029,0.125002976198,0.125226860254,0.00195657498961,21,3.46688419418e-13,0.124990974078
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-381090200.966,125746.12971,-381094282.342,-380933921.059,-381238318.12,-381220134.68,-380954553.325,4.0,15812089137.2,0.249992724848,0.249546279492,0.0155973147564,32,3.46688419418e-13,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-422899816.917,141379.953194,-422834841.359,-422818766.336,-423110818.615,-423071622.261,-422818977.355,4.0,19988291165.3,0.250007275152,0.249546279492,0.0155982225654,37,3.46688419418e-13,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-464785939.005,155832.374472,-464748818.82,-464648284.537,-464997833.845,-464968864.964,-464654981.307,4.0,24283728933.5,0.250007275152,0.249546279492,0.0155982225654,42,3.46688419418e-13,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-495951718.231,33135.761512,-495940569.43,-495925720.032,-496000014.031,-495991742.113,-495927302.669,4.0,1097978690.98,0.12498974865,0.125226860254,0.00391330099566,26,3.46688419418e-13,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-506675860.241,126954.28593,-506658120.447,-506540486.177,-506846713.895,-506819945.967,-506556610.229,4.0,16117390716.0,0.125002976198,0.249546279492,0.00779907001867,47,3.46688419418e-13,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-512600248.797,100443.456852,-512579992.606,-512515793.003,-512725216.972,-512712112.74,-512516743.521,4.0,10088888024.4,0.249992724848,0.125226860254,0.0078270161323,31,3.46688419418e-13,0.250018051845
