cfYears,smr_smrCAPEX_CashFlow,smr_smrCAPEX_depreciation,smr_smrCAPEX_depreciation_tax_credit,smr_smrVOM_CashFlow,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,ft_ftCAPEX_CashFlow,ft_ftCAPEX_depreciation,ft_ftCAPEX_depreciation_tax_credit,ft_ftFOM_CashFlow,ft_ftVOM_CashFlow,ft_co2_shipping_CashFlow,ft_h2_ptc_CashFlow,ft_elec_consumption_ftELEC_CAP_MARKET_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-2806776000.0,0.0,0.0,0.0,-478667842.495,0.0,0.0,0.0,0.0,0.0,-200211905.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30375500.0,0.0,0.0,0.0,0.0
1,0.0,-97871823.1356,137344685.849,-104272648.704,0.0,-16691069.9042,23422775.6163,-21378632.0,-12307873.3312,-19695875.595,0.0,-6981356.62041,9797020.23634,-21732221.0,-5444268.9882,-12810811.0208,407166552.0,-416208.405,22572013.4378,32669233.1816,54170261.0157,21957203.3287,0.0,-1059188.75024,1486372.08847,0.0,0.0
2,0.0,-181989101.544,255387456.559,-104272648.704,0.0,-31036438.4595,43553800.8133,-21378632.0,-12307363.6936,-19695875.595,0.0,-12981579.1532,18217203.4146,-21732221.0,-5444268.9882,-12810811.0208,407166552.0,-416208.405,23041500.2149,32669233.1816,54170261.0157,21957203.3287,0.0,-1969523.02355,2763854.93061,0.0,0.0
3,0.0,-160295744.167,224944911.825,-104272648.704,0.0,-27336851.2562,38362126.3769,-21378632.0,-12304470.4483,-19695875.595,0.0,-11434156.6235,16045687.0945,-21732221.0,-5444268.9882,-12810811.0208,407166552.0,-416208.405,15663884.3742,34785133.3,51364180.5025,22931866.9997,0.0,-1734753.10354,2434399.52784,0.0,0.0
4,0.0,-141280005.824,198259901.522,-104272648.704,0.0,-24093905.4544,33811262.215,-21378632.0,-12297501.6729,-19695875.595,0.0,-10077733.0226,14142201.8279,-21732221.0,-5444268.9882,-12810811.0208,407166552.0,-416208.405,14479073.1959,22023883.4272,36726496.7945,23644716.0472,0.0,-1528960.92061,2145608.92593,0.0,0.0
5,0.0,-124439230.027,174627041.857,-104272648.704,0.0,-21221877.9692,29780912.1095,-21378632.0,-12307444.6575,-19695875.595,0.0,-8876453.04397,12456431.4397,-21732221.0,-5444268.9882,-12810811.0208,407166552.0,-416208.405,16468675.7976,21626986.5604,41129442.5261,24440409.3055,0.0,-1346706.62415,1889849.3182,0.0,0.0
6,0.0,-109482883.962,153638624.702,-104272648.704,0.0,-18671221.3074,26201545.4777,-21378632.0,-12297402.6827,-19695875.595,0.0,-7809592.50869,10959293.4447,-21732221.0,-5444268.9882,-12810811.0208,407166552.0,-416208.405,17295379.9856,21251050.8727,41368720.0979,23921519.0731,0.0,-1184846.00901,1662708.40445,0.0,0.0
7,0.0,-101471550.281,142396225.485,-104272648.704,0.0,-17304967.7094,24284265.6601,-21378632.0,-12298010.9484,-19695875.595,0.0,-7238131.0232,10157354.7898,-21732221.0,-5444268.9882,-12810811.0208,407166552.0,-416208.405,14480216.7798,21516232.4369,42030934.5045,23428615.8997,0.0,-1098145.7286,1541040.87651,0.0,0.0
8,0.0,-99306664.9839,139358216.368,-104272648.704,0.0,-16935767.9677,23766163.3001,-21378632.0,-12310753.2222,-19695875.595,0.0,-7083706.22744,9940648.64922,-21732221.0,-5444268.9882,-12810811.0208,407166552.0,-416208.405,12034723.9499,21830277.9453,43003256.112,23071175.3095,0.0,-1074716.90018,1508162.92475,0.0,0.0
9,0.0,-97352692.6651,136616183.925,-104272648.704,0.0,-16602537.345,23298536.8299,-21378632.0,-12291130.2249,-19695875.595,0.0,-6944326.19806,9745055.0071,-21732221.0,-5444268.9882,-12810811.0208,407166552.0,-416208.405,23127214.3184,22144726.0949,44056460.3298,23347721.9706,0.0,-1053570.61484,1478488.09268,0.0,0.0
10,0.0,-95114471.8114,133475262.155,-104272648.704,0.0,-16220830.9505,22762883.7363,-21378632.0,-12303406.1509,-19695875.595,0.0,-6784670.25752,9521007.93926,-21732221.0,-5444268.9882,-12810811.0208,407166552.0,-416208.405,22465677.4658,22367787.9538,44634934.8108,23529175.7948,0.0,-1029348.13412,1444496.39928,0.0,0.0
11,0.0,-93242985.6924,130848983.571,-104272648.704,0.0,-15901667.5321,22314997.9401,-21378632.0,-12312942.4246,-19695875.595,0.0,-6651174.10318,9333671.20851,-21732221.0,-5444268.9882,-12810811.0208,0.0,-416208.405,23096162.1678,23146405.8255,44404547.0655,23462607.4114,0.0,-1009094.5312,1416074.27898,0.0,0.0
12,0.0,-91099250.4825,127840654.62,-104272648.704,0.0,-15536074.7282,21801957.2386,-21378632.0,-12307007.1881,-19695875.595,0.0,-6498257.97757,9119082.2026,-21732221.0,-5444268.9882,-12810811.0208,0.0,-416208.405,15564042.3165,23535292.2531,45960617.086,23865222.2728,0.0,-985894.59331,1383517.53201,0.0,0.0
13,0.0,-89306768.4398,125325243.39,-104272648.704,0.0,-15230384.6724,21372978.7713,-21378632.0,-12306793.4362,-19695875.595,0.0,-6370397.31273,8939653.82084,-21732221.0,-5444268.9882,-12810811.0208,0.0,-416208.405,14625424.5753,23876496.1703,46626104.2202,24007602.0745,0.0,-966495.988545,1356295.24073,0.0,0.0
14,0.0,-87253530.1982,122443909.905,-104272648.704,0.0,-14880225.23,20881595.8882,-21378632.0,-12305627.632,-19695875.595,0.0,-6223936.48333,8734123.60837,-21732221.0,-5444268.9882,-12810811.0208,0.0,-416208.405,16477756.4235,24055741.6683,46988780.9637,24131563.7586,0.0,-944275.427229,1325112.86448,0.0,0.0
15,0.0,-85536717.1046,120034685.805,-104272648.704,0.0,-14587439.7638,20470726.5841,-21378632.0,-12304491.3408,-19695875.595,0.0,-6101473.40792,8562269.72765,-21732221.0,-5444268.9882,-12810811.0208,0.0,-416208.405,18249468.8922,24326271.4722,47623166.3483,24171887.1739,0.0,-925695.727201,1299039.7519,0.0,0.0
16,0.0,-41785077.768,58637493.3596,-104272648.704,0.0,-7126031.08467,10000043.6215,-21378632.0,-12298469.2227,-19695875.595,0.0,-2980597.68342,4182707.94755,-21732221.0,-5444268.9882,-12810811.0208,0.0,-416208.405,14238188.4181,24455993.4363,48024797.9429,24311275.5372,0.0,-452206.599224,634586.863912,0.0,0.0
17,0.0,0.0,0.0,-104272648.704,0.0,0.0,0.0,-21378632.0,-12305670.0512,-19695875.595,0.0,0.0,0.0,-21732221.0,-5444268.9882,-12810811.0208,0.0,-416208.405,12009080.1418,24693692.0948,48726209.2234,24566244.3064,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,-104272648.704,0.0,0.0,0.0,-21378632.0,-12301651.9881,-19695875.595,0.0,0.0,0.0,-21732221.0,-5444268.9882,-12810811.0208,0.0,-416208.405,23137494.5237,24908183.2606,49635500.1191,24886450.2149,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,-104272648.704,0.0,0.0,0.0,-21378632.0,-12307319.1192,-19695875.595,0.0,0.0,0.0,-21732221.0,-5444268.9882,-12810811.0208,0.0,-416208.405,22531471.9774,25271544.36,50277857.8105,25078963.2493,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,-104272648.704,0.0,0.0,0.0,-21378632.0,-12308166.6264,-19695875.595,0.0,0.0,0.0,-21732221.0,-5444268.9882,-12810811.0208,0.0,-416208.405,22961351.1651,25272315.2058,50610599.5715,25180508.4503,0.0,0.0,0.0,0.0,0.0
