smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,prefix,PointProbability
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,925547901.507,5820.16786628,925549637.107,925552607.05,925539724.762,925540939.184,925552433.989,4.0,33874353.9916,0.125226860254,0.00391294293863,0.249992724848,0.124990974078,6,3.46688419418e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,884062987.292,10573.0193966,884063073.563,884073919.662,884051882.378,884052540.86,884073312.943,4.0,111788739.161,0.125226860254,0.00391317068328,0.250007275152,0.124990974078,11,3.46688419418e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,842592385.781,18145.8126261,842594321.888,842608752.034,842572147.312,842573627.631,842608433.38,4.0,329270515.863,0.125226860254,0.00391317068328,0.250007275152,0.124990974078,16,3.46688419418e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,801074468.947,53807.85185,801054981.72,801153695.919,801034216.431,801036758.344,801139461.669,4.0,2895284920.72,0.125226860254,0.00195657498961,0.125002976198,0.124990974078,21,3.46688419418e-13
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,489627930.606,184347.103088,489669448.187,489787404.643,489385421.408,489415358.875,489782377.724,4.0,33983854417.0,0.249546279492,0.0155973147564,0.249992724848,0.250018051845,32,3.46688419418e-13
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,448167280.19,156241.246148,448189454.523,448333874.197,447956337.516,447991257.187,448312259.127,4.0,24411326998.0,0.249546279492,0.0155982225654,0.250007275152,0.250018051845,37,3.46688419418e-13
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,406590154.785,118875.290275,406599344.623,406722647.183,406439282.712,406458658.383,406708785.415,4.0,14131334638.0,0.249546279492,0.0155982225654,0.250007275152,0.250018051845,42,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,373331162.157,118167.860302,373349488.57,373435339.58,373190331.91,373203319.748,373433347.589,4.0,13963643208.3,0.125226860254,0.00391330099566,0.12498974865,0.250018051845,26,3.46688419418e-13
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,364967922.505,52157.8848584,364981111.903,365011540.518,364897925.694,364907030.576,365010349.275,4.0,2720444952.9,0.249546279492,0.00779907001867,0.125002976198,0.250018051845,47,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,363031551.694,484618.022764,362839334.002,363750108.473,362697430.299,362713196.7,363619011.457,4.0,234854627987.0,0.125226860254,0.0078270161323,0.249992724848,0.250018051845,31,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,322118148.326,463505.307633,322274380.953,322474367.624,321449463.772,321557590.168,322459980.805,4.0,214837170204.0,0.125226860254,0.00782747168739,0.250007275152,0.250018051845,36,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,279620440.207,531224.035954,279516317.934,280346518.155,279102606.806,279146423.384,280240228.213,4.0,282198976375.0,0.125226860254,0.00782747168739,0.250007275152,0.250018051845,41,3.46688419418e-13
