smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,1031478171.85,9771.36555659,1031477754.18,1031490143.67,1031467035.35,1031468183.97,1031488744.45,4.0,95479584.8405,6,3.46688419418e-13,0.125226860254,0.249992724848,0.00391294293863,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,991824655.965,20448.204695,991816433.219,991854511.868,991811245.554,991811289.27,991849534.505,4.0,418129075.248,11,3.46688419418e-13,0.125226860254,0.250007275152,0.00391317068328,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,952180307.66,71639.872644,952203072.748,952238818.007,952076267.135,952094163.357,952234580.838,4.0,5132271352.44,16,3.46688419418e-13,0.125226860254,0.250007275152,0.00391317068328,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,912585853.321,75081.6964877,912578505.807,912683993.027,912502408.642,912512288.389,912669704.771,4.0,5637261147.46,21,3.46688419418e-13,0.125226860254,0.125002976198,0.00195657498961,0.124990974078
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,726573230.872,469718.309507,726735629.165,726923058.098,725898607.06,726005286.857,726913817.276,4.0,220635290286.0,32,3.46688419418e-13,0.249546279492,0.249992724848,0.0155973147564,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,686911578.864,234567.758652,686918387.997,687117804.838,686691734.622,686696857.584,687116767.356,4.0,55022033399.2,37,3.46688419418e-13,0.249546279492,0.250007275152,0.0155982225654,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,647336106.54,521381.356734,647407794.307,647810158.48,646718679.067,646774695.822,647797154.385,4.0,271838519150.0,42,3.46688419418e-13,0.249546279492,0.250007275152,0.0155982225654,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,616042387.578,974868.917935,616081165.994,617180266.861,614826951.461,614985834.32,617044651.053,4.0,950369407156.0,31,3.46688419418e-13,0.125226860254,0.249992724848,0.0078270161323,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,607780138.866,195712.847778,607797804.58,607998453.25,607526493.055,607562115.177,607973430.556,4.0,38303518785.4,47,3.46688419418e-13,0.249546279492,0.125002976198,0.00779907001867,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,597337317.872,277185.42487,597438366.899,597538155.494,596934382.196,597000867.751,597532299.354,4.0,76831759760.5,26,3.46688419418e-13,0.125226860254,0.12498974865,0.00391330099566,0.250018051845
