smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1447724877.5,701055.681364,-1447752626.54,-1446890821.16,-1448503435.74,-1448434687.03,-1446976219.3,4.0,491479068372.0,0.124990974078,3.46688419418e-13,0.00195636794902,0.12498974865,0.125226860254,105
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1490000147.75,77103.5909109,-1489966870.14,-1489951555.89,-1490115294.83,-1490093059.94,-1489953824.21,4.0,5944963731.36,0.124990974078,3.46688419418e-13,0.00391294293863,0.249992724848,0.125226860254,110
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1532246647.41,422094.420195,-1532322819.21,-1531691947.57,-1532649003.65,-1532624564.22,-1531762090.07,4.0,178163699560.0,0.124990974078,3.46688419418e-13,0.00391317068328,0.250007275152,0.125226860254,115
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1571902316.31,410729.426604,-1571853198.5,-1571463778.04,-1572439090.19,-1572366514.1,-1571506883.44,4.0,168698661878.0,0.249981948155,3.46688419418e-13,0.00782547179608,0.12498974865,0.250453720508,79
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1574006536.97,485313.428842,-1574202419.85,-1573292502.35,-1574328805.84,-1574323324.8,-1573415513.11,4.0,235529124214.0,0.124990974078,3.46688419418e-13,0.00391317068328,0.250007275152,0.125226860254,120
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1613130125.42,223826.129965,-1613173364.96,-1612839186.21,-1613334585.54,-1613325441.97,-1612874273.5,4.0,50098136455.0,0.249981948155,3.46688419418e-13,0.0156517717545,0.249992724848,0.250453720508,84
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1614585861.36,572977.989682,-1614737940.89,-1613765801.26,-1615101762.4,-1615047356.87,-1613911454.5,4.0,328303776660.0,0.124990974078,3.46688419418e-13,0.00391273589804,0.12498974865,0.250453720508,104
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1615459247.56,341013.63177,-1615471775.86,-1615031470.69,-1615861967.81,-1615809605.76,-1615091349.73,4.0,116290297053.0,0.124990974078,3.46688419418e-13,0.00195657498961,0.125002976198,0.125226860254,125
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1639620499.68,692487.722528,-1639730028.45,-1638701600.08,-1640320341.73,-1640261882.6,-1638825776.48,4.0,479539245852.0,0.124990974078,3.46688419418e-13,0.00782588587727,0.249992724848,0.250453720508,109
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1655475809.92,251725.487642,-1655492769.89,-1655182484.92,-1655735214.99,-1655719026.24,-1655208849.64,4.0,63365721128.4,0.249981948155,3.46688419418e-13,0.0156526827331,0.250007275152,0.250453720508,89
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1682114055.58,292876.225251,-1682131321.72,-1681750056.03,-1682443522.84,-1682409977.99,-1681793960.56,4.0,85776483317.4,0.124990974078,3.46688419418e-13,0.00782634136657,0.250007275152,0.250453720508,114
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1685128043.26,157216.312529,-1685160240.29,-1684908993.18,-1685282699.28,-1685265738.31,-1684945272.37,4.0,24716968925.3,0.250018051845,3.46688419418e-13,0.00779824473773,0.12498974865,0.249546279492,53
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1697148680.21,106293.268696,-1697174229.27,-1696998492.61,-1697247769.68,-1697238291.06,-1697023300.66,4.0,11298258970.0,0.249981948155,3.46688419418e-13,0.0156526827331,0.250007275152,0.250453720508,94
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1724322720.24,441718.99522,-1724413315.77,-1723711189.8,-1724753059.61,-1724712582.2,-1723806024.53,4.0,195115670738.0,0.124990974078,3.46688419418e-13,0.00782634136657,0.250007275152,0.250453720508,119
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1726837295.5,161922.069103,-1726792264.84,-1726699173.22,-1727065479.09,-1727030731.64,-1726706902.27,4.0,26218756462.6,0.250018051845,3.46688419418e-13,0.0155973147564,0.249992724848,0.249546279492,58
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1734330955.13,288913.066914,-1734436754.34,-1734004056.15,-1734552054.9,-1734540524.84,-1734047325.97,3.0,83470760233.8,0.249981948155,3.46688419418e-13,0.0077971186374,0.12498974865,0.249546279492,78
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1738902604.87,268402.151332,-1738925266.99,-1738563745.25,-1739196140.24,-1739168105.3,-1738605377.46,4.0,72039714839.8,0.249981948155,3.46688419418e-13,0.00782629995845,0.125002976198,0.250453720508,99
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1754721194.11,745003.031523,-1754612586.98,-1753931535.37,-1755728067.13,-1755567572.44,-1754026865.78,4.0,555029516979.0,0.249981948155,3.46688419418e-13,0.0155950624366,0.249992724848,0.249546279492,83
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1766410063.64,241186.301648,-1766469019.65,-1766068107.05,-1766634108.22,-1766611545.87,-1766126043.0,4.0,58170832102.6,0.124990974078,3.46688419418e-13,0.00391314997922,0.125002976198,0.250453720508,124
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1768617293.66,191542.348706,-1768589908.18,-1768450379.11,-1768838979.18,-1768820461.47,-1768452465.54,4.0,36688471347.8,0.250018051845,3.46688419418e-13,0.0155982225654,0.250007275152,0.249546279492,63
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1777335100.88,262757.993481,-1777293003.52,-1777071319.64,-1777683076.85,-1777636618.74,-1777092519.32,4.0,69041763138.3,0.124990974078,3.46688419418e-13,0.0038985593187,0.12498974865,0.249546279492,103
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1795778597.34,700682.284612,-1795570874.98,-1795198495.89,-1796774143.53,-1796619403.47,-1795228602.53,4.0,490955663969.0,0.124990974078,3.46688419418e-13,0.00779753121829,0.249992724848,0.249546279492,108
