smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-982302627.259,6269.67853788,-982303484.812,-982295487.834,-982308051.577,-982308003.499,-982296050.444,4.0,39308868.9683,6,0.124990974078,0.249992724848,0.00391294293863,0.125226860254,3.46688419418e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1024147105.88,14065.9268703,-1024141515.27,-1024137399.11,-1024167993.88,-1024164097.91,-1024137940.71,4.0,197850298.722,11,0.124990974078,0.250007275152,0.00391317068328,0.125226860254,3.46688419418e-13
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1065703147.91,118365.974144,-1065683155.23,-1065595563.67,-1065850717.52,-1065834999.15,-1065599286.43,4.0,14010503835.2,32,0.250018051845,0.249992724848,0.0155973147564,0.249546279492,3.46688419418e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1065992548.98,20008.5893084,-1065988750.98,-1065972907.31,-1066019786.65,-1066015838.81,-1065974576.35,4.0,400343646.114,16,0.124990974078,0.250007275152,0.00391317068328,0.125226860254,3.46688419418e-13
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1103761313.13,171399.180383,-1103805445.91,-1103527523.06,-1103906837.63,-1103901351.4,-1103559488.95,4.0,29377679036.1,53,0.250018051845,0.12498974865,0.00779824473773,0.249546279492,3.46688419418e-13
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1107713695.86,94314.735171,-1107717946.36,-1107608167.42,-1107810723.3,-1107805090.17,-1107616350.85,4.0,8895269270.38,37,0.250018051845,0.250007275152,0.0155982225654,0.249546279492,3.46688419418e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1107873308.29,9452.22443558,-1107873167.82,-1107861884.08,-1107885013.46,-1107883309.37,-1107863503.88,4.0,89344546.7805,21,0.124990974078,0.125002976198,0.00195657498961,0.125226860254,3.46688419418e-13
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1145797502.13,172345.017252,-1145815916.12,-1145586148.78,-1145972027.5,-1145960843.34,-1145608381.32,4.0,29702804971.6,58,0.250018051845,0.249992724848,0.0155973147564,0.249546279492,3.46688419418e-13
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1149400619.3,138820.535656,-1149408406.58,-1149253783.03,-1149531881.0,-1149527942.13,-1149262394.27,4.0,19271141119.9,42,0.250018051845,0.250007275152,0.0155982225654,0.249546279492,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1177094628.01,436393.777526,-1177214116.33,-1176496289.04,-1177453990.34,-1177443022.13,-1176578950.24,4.0,190439529064.0,79,0.249981948155,0.12498974865,0.00782547179608,0.250453720508,3.46688419418e-13
