smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,272352159.996,1177694.6965,272155781.11,273963403.505,271133674.258,271281227.549,273698022.882,4.0,1386964798170.0,0.0078270161323,0.249992724848,31,0.125226860254,0.250018051845,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,256003492.589,582803.310134,256172228.688,256475298.119,255194214.858,255310083.914,256460670.723,4.0,339659698303.0,0.00391330099566,0.12498974865,26,0.125226860254,0.250018051845,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,227380043.744,950114.978075,227288457.948,228504487.764,226438771.314,226488209.069,228400098.532,4.0,902718471562.0,0.00782747168739,0.250007275152,36,0.125226860254,0.250018051845,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,184116573.29,724766.623225,184032588.102,184974825.325,183426291.634,183454606.152,184896119.693,4.0,525286658142.0,0.00782747168739,0.250007275152,41,0.125226860254,0.250018051845,3.46688419418e-13
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,152363194.018,1189331.36521,152709131.859,153366550.561,150667961.793,150936841.158,153305233.9,4.0,1414509096280.0,0.00779824473773,0.12498974865,53,0.249546279492,0.250018051845,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,141633554.532,1919026.9555,141097712.158,144310074.894,140028718.915,140098167.366,143919121.02,4.0,3682664455920.0,0.00391371513664,0.125002976198,46,0.125226860254,0.250018051845,3.46688419418e-13
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,108217250.712,914100.220308,108270930.968,109179503.307,107147637.605,107246500.885,109112848.18,4.0,835579212767.0,0.0155973147564,0.249992724848,58,0.249546279492,0.250018051845,3.46688419418e-13
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,65660022.7975,266881.08007,65629676.6247,66012834.5803,65367903.3603,65402396.5764,65960133.6604,4.0,71225510899.3,0.0155982225654,0.250007275152,63,0.249546279492,0.250018051845,3.46688419418e-13
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,21949327.9013,852513.596025,21857141.1646,23057768.5755,21025260.7007,21119893.0341,22907824.2001,4.0,726779431408.0,0.0155982225654,0.250007275152,68,0.249546279492,0.250018051845,3.46688419418e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,3611246.34781,906401.373185,3767059.94993,4418452.49851,2492412.9929,2607658.71401,4396694.93866,4.0,821563449312.0,0.0155973147564,0.249992724848,57,0.249546279492,0.250018051845,3.46688419418e-13
