smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,922320787.433,4653.28055769,922320787.433,922324077.799,922317497.067,922317826.104,922323748.763,2.0,21653019.9485,0.00390620828358,0.12500160456,0.249994121105,6,0.125,2.43433201164e-13
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,877655053.913,23466.6272977,877655053.913,877671647.324,877638460.501,877640119.843,877669987.983,2.0,550682596.731,0.00390639200139,0.12500160456,0.250005878895,11,0.125,2.43433201164e-13
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,833041255.85,2702.29901018,833041255.85,833043166.664,833039345.036,833039536.118,833042975.583,2.0,7302419.9404,0.00390639200139,0.12500160456,0.250005878895,16,0.125,2.43433201164e-13
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,788303832.571,13607.5071044,788303832.571,788313454.532,788294210.61,788295172.806,788312492.335,2.0,185164249.597,0.0019531960007,0.12500160456,0.125002939447,21,0.125,2.43433201164e-13
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,605543727.11,667457.282593,605543727.11,606015690.681,605071763.539,605118959.896,605968494.323,2.0,445499224086.0,0.00781194885362,0.25,0.124991181658,27,0.25,2.43433201164e-13
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,559894440.838,278586.966031,559894440.838,560091431.571,559697450.105,559717149.178,560071732.498,2.0,77610697642.1,0.0156246325691,0.25,0.249994121105,32,0.25,2.43433201164e-13
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,514776378.12,325165.519347,514776378.12,515006304.863,514546451.376,514569444.05,514983312.189,2.0,105732614972.0,0.0156253674309,0.25,0.250005878895,37,0.25,2.43433201164e-13
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,470443197.736,571165.563267,470443197.736,470847072.779,470039322.693,470079710.197,470806685.275,2.0,326230100662.0,0.0156253674309,0.25,0.250005878895,42,0.25,2.43433201164e-13
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,444306497.772,221155.699512,444306497.772,444462878.466,444150117.077,444165755.146,444447240.397,2.0,48909843426.8,0.00781231628454,0.25,0.249994121105,31,0.125,2.43433201164e-13
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,426566414.339,162393.524074,426566414.339,426681243.901,426451584.777,426463067.733,426669760.945,2.0,26371656661.2,0.00781268371546,0.25,0.125002939447,47,0.25,2.43433201164e-13
