smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70877.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,937228455.606,19053.1748322,937228455.606,937241928.235,937214982.977,937216330.24,937240580.972,2.0,363023471.186,2.43433201164e-13,0.0833344030397,0.0011569917642,0.0833064516129,8,0.166658436214
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,907458176.314,21973.5001706,907458176.314,907473713.925,907442638.703,907444192.464,907472160.163,2.0,482834709.749,2.43433201164e-13,0.0833344030397,0.00115707339023,0.0833064516129,15,0.166670194004
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,877662545.725,1398.09059315,877662545.725,877663534.325,877661557.126,877661655.986,877663435.465,2.0,1954657.30665,2.43433201164e-13,0.0833344030397,0.00115708155283,0.0833064516129,22,0.166671369782
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,847878079.004,42372.9157416,847878079.004,847908041.18,847848116.828,847851113.046,847905044.963,2.0,1795463988.45,2.43433201164e-13,0.0833344030397,0.00115707339023,0.0833064516129,29,0.166670194004
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,354383.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,818043966.963,1526.43720335,818043966.963,818045046.317,818042887.609,818042995.545,818044938.382,2.0,2330010.53577,2.43433201164e-13,0.0833344030397,0.00115707339023,0.0833064516129,36,0.166670194004
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,788269185.92,13113.6252369,788269185.92,788278458.654,788259913.187,788260840.46,788277531.38,2.0,171967166.854,2.43433201164e-13,0.0833344030397,0.000578540776415,0.0833064516129,43,0.0833356848912
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,724743501.695,508797.877202,724743501.695,725103276.124,724383727.266,724419704.709,725067298.681,2.0,258875279845.0,2.43433201164e-13,0.166668806079,0.00231495656119,0.166693548387,51,0.0833239271017
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70877.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,695471419.819,104218.168195,695471419.819,695545113.192,695397726.445,695405095.783,695537743.855,2.0,10861426581.9,2.43433201164e-13,0.166668806079,0.00463020711831,0.166693548387,58,0.166658436214
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,665265008.179,5045.81131931,665265008.179,665268576.107,665261440.252,665261797.044,665268219.314,2.0,25460211.87,2.43433201164e-13,0.166668806079,0.00463053378044,0.166693548387,65,0.166670194004
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,635711392.013,459170.625288,635711392.013,636036074.676,635386709.35,635419177.616,636003606.409,2.0,210837663127.0,2.43433201164e-13,0.166668806079,0.00463056644666,0.166693548387,72,0.166671369782
