smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1407183392.6,730935.950294,-1407183392.6,-1406666542.84,-1407700242.37,-1407648557.39,-1406718227.81,2.0,534267363432.0,0.142857142857,0.0714516129032,0.142848912404,2.43433201164e-13,73,0.0014581121704
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1421036259.32,197355.467304,-1421036259.32,-1420896707.93,-1421175810.7,-1421161855.57,-1420910663.07,2.0,38949180474.8,0.142857142857,0.0714516129032,0.071417989418,2.43433201164e-13,65,0.000728990076317
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1436160757.42,748048.302374,-1436160757.42,-1435631807.39,-1436689707.45,-1436636812.44,-1435684702.4,2.0,559576262685.0,0.142857142857,0.0714516129032,0.142860670194,2.43433201164e-13,81,0.00145823218654
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1463488484.81,62014.2584474,-1463488484.81,-1463444634.1,-1463532335.51,-1463527950.44,-1463449019.17,2.0,3845768250.79,0.142857142857,0.0714516129032,0.142860670194,2.43433201164e-13,89,0.00145823218654
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1491067597.92,1056460.7441,-1491067597.92,-1490320567.37,-1491814628.48,-1491739925.42,-1490395270.42,2.0,1116109303820.0,0.142857142857,0.0714516129032,0.142860670194,2.43433201164e-13,97,0.00145823218654
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1520134441.82,1206819.95939,-1520134441.82,-1519281091.24,-1520987792.4,-1520902457.34,-1519366426.3,2.0,1456414414390.0,0.142857142857,0.0714516129032,0.142859494415,2.43433201164e-13,105,0.00145822018493
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1525371451.28,639311.561736,-1525371451.28,-1524919389.74,-1525823512.83,-1525778306.67,-1524964595.9,2.0,408719272969.0,0.142857142857,0.142822580645,0.071417989418,2.43433201164e-13,131,0.00145715736474
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1547929278.94,1821229.66582,-1547929278.94,-1546641475.1,-1549217082.79,-1549088302.4,-1546770255.48,2.0,3316877495660.0,0.142857142857,0.0714516129032,0.142860670194,2.43433201164e-13,113,0.00145823218654
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1553141901.57,86491.3161319,-1553141901.57,-1553080742.97,-1553203060.17,-1553196944.31,-1553086858.83,2.0,7480747766.23,0.142857142857,0.142822580645,0.142848912404,2.43433201164e-13,139,0.00291457861599
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1576645973.44,816776.034849,-1576645973.44,-1576068425.56,-1577223521.31,-1577165766.52,-1576126180.35,2.0,667123091103.0,0.142857142857,0.0714516129032,0.0714309229865,2.43433201164e-13,121,0.000729122094079
