smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,prefix
1200.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1765010555.46,172681.041675,-1764977499.28,-1764840136.92,-1765247086.33,-1765211714.49,-1764855675.06,4.0,29818742153.9,9.302483829449999e-14,0.000771588866487,0.0555555555556,0.249994792742,0.0555555555556,11
1200.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1801337193.51,296075.091093,-1801346996.18,-1800973922.12,-1801680859.55,-1801642740.95,-1801017922.32,4.0,87660459565.7,9.302483829449999e-14,0.000771618087914,0.0555555555556,0.250004260484,0.0555555555556,21
1200.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1838865598.06,350081.132293,-1838992846.5,-1838349333.17,-1839127366.07,-1839108811.11,-1838444237.19,4.0,122556799187.0,9.302483829449999e-14,0.000771621010057,0.0555555555556,0.250005207258,0.0555555555556,31
1200.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1876449457.72,458701.639944,-1876306326.41,-1876091300.38,-1877093877.7,-1876998664.75,-1876100634.54,4.0,210407194487.0,9.302483829449999e-14,0.000385810505028,0.0555555555556,0.125002603629,0.0555555555556,41
1200.0,-885.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2094575406.39,354677.033087,-2094458753.61,-2094313208.8,-2095070909.53,-2094999182.98,-2094314943.68,4.0,125795797799.0,9.302483829449999e-14,0.00308635546595,0.111111111111,0.249994792742,0.111111111111,62
1200.0,-885.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2131103928.47,225401.219544,-2131161811.18,-2130782888.32,-2131309203.22,-2131289493.97,-2130837327.2,4.0,50805709772.0,9.302483829449999e-14,0.00308647235166,0.111111111111,0.250004260484,0.111111111111,72
1200.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2159429290.46,476714.809592,-2159427681.97,-2158882494.15,-2159979303.75,-2159926610.13,-2158934222.67,4.0,227257009685.0,9.302483829449999e-14,0.000771562567202,0.0555555555556,0.124993135887,0.111111111111,51
1200.0,-885.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2168511767.41,625778.732097,-2168703468.16,-2167608470.57,-2169031662.77,-2168995450.92,-2167759702.86,4.0,391599021545.0,9.302483829449999e-14,0.00308648404023,0.111111111111,0.250005207258,0.111111111111,82
1200.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2178436586.97,376640.71105,-2178433317.01,-2178028252.13,-2178851461.74,-2178819970.1,-2178057781.79,4.0,141858225220.0,9.302483829449999e-14,0.00154317773297,0.0555555555556,0.249994792742,0.111111111111,61
1200.0,-885.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2207116069.2,887758.124553,-2207357352.03,-2205864240.62,-2207885332.13,-2207837789.81,-2206056552.64,4.0,788114487710.0,9.302483829449999e-14,0.00154324202011,0.111111111111,0.125002603629,0.111111111111,92
1200.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2216907282.64,528418.563864,-2216783791.78,-2216409094.45,-2217652452.57,-2217528612.91,-2216458839.59,4.0,279226178637.0,9.302483829449999e-14,0.00154323617583,0.0555555555556,0.250004260484,0.111111111111,71
1200.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2254591289.05,448470.171446,-2254589281.96,-2254093270.05,-2255093322.24,-2255051807.51,-2254133580.53,4.0,201125494677.0,9.302483829449999e-14,0.00154324202011,0.0555555555556,0.250005207258,0.111111111111,81
1200.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2294292990.82,364144.189681,-2294167779.62,-2294031723.33,-2294804680.72,-2294729370.55,-2294031906.78,4.0,132600990878.0,9.302483829449999e-14,0.000771621010057,0.0555555555556,0.125002603629,0.111111111111,91
1200.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2422725975.64,724222.939913,-2422722090.01,-2421873582.57,-2423586139.98,-2423491229.17,-2421966162.0,4.0,524498866696.0,9.302483829449999e-14,0.00308635546595,0.111111111111,0.249994792742,0.111111111111,113
1200.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2459854773.14,353861.399605,-2459903436.69,-2459429495.62,-2460182723.53,-2460171296.57,-2459470120.72,4.0,125217890130.0,9.302483829449999e-14,0.00308647235166,0.111111111111,0.250004260484,0.111111111111,123
1200.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2488348156.81,453828.032652,-2488369385.19,-2487773489.23,-2488880367.62,-2488809983.71,-2487856610.17,4.0,205959883221.0,9.302483829449999e-14,0.0015431251344,0.111111111111,0.124993135887,0.111111111111,102
1200.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2497131433.51,199159.396163,-2497165858.12,-2496859751.41,-2497334266.41,-2497313340.84,-2496901331.74,4.0,39664465080.0,9.302483829449999e-14,0.00308648404023,0.111111111111,0.250005207258,0.111111111111,133
1200.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2507588692.55,584805.24345,-2507667765.33,-2506802276.96,-2508216962.57,-2508136461.92,-2506930221.29,4.0,341997172766.0,9.302483829449999e-14,0.00308635546595,0.111111111111,0.249994792742,0.111111111111,112
1200.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2535307525.67,536902.929745,-2535282558.04,-2534831150.19,-2535833836.42,-2535814749.87,-2534835256.15,4.0,288264755969.0,9.302483829449999e-14,0.00154324202011,0.111111111111,0.125002603629,0.111111111111,143
1200.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2546717643.4,374728.133203,-2546687851.18,-2546290856.49,-2547204014.76,-2547129560.45,-2546347435.46,4.0,140421173814.0,9.302483829449999e-14,0.00308647235166,0.111111111111,0.250004260484,0.111111111111,122
1200.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2584771186.74,493226.803034,-2584955459.34,-2584046959.37,-2585126868.9,-2585112226.09,-2584172165.74,4.0,243272679231.0,9.302483829449999e-14,0.00308648404023,0.111111111111,0.250005207258,0.111111111111,132
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2589662139.17,289401.035544,-2589584499.48,-2589423153.74,-2590056403.99,-2590002931.54,-2589430042.37,4.0,83752959373.8,9.302483829449999e-14,0.000771562567202,0.0555555555556,0.124993135887,0.111111111111,101
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2595198643.53,477680.538997,-2594986485.12,-2594908598.83,-2595913005.04,-2595774948.13,-2594919360.71,4.0,228178697336.0,9.302483829449999e-14,0.00154317773297,0.0555555555556,0.249994792742,0.111111111111,111
1200.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2623983468.49,561915.613203,-2623816052.3,-2623511693.85,-2624790075.53,-2624658204.22,-2623543115.44,4.0,315749156362.0,9.302483829449999e-14,0.00154324202011,0.111111111111,0.125002603629,0.111111111111,142
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2634444962.97,964880.774774,-2634707163.62,-2633070616.5,-2635294908.15,-2635229058.52,-2633293786.52,4.0,930994909529.0,9.302483829449999e-14,0.00154323617583,0.0555555555556,0.250004260484,0.111111111111,121
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2673994981.29,769122.438093,-2673910017.82,-2673208138.18,-2674951751.37,-2674845878.76,-2673263032.7,4.0,591549324778.0,9.302483829449999e-14,0.00154324202011,0.0555555555556,0.250005207258,0.111111111111,131
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2713269870.68,980194.518479,-2713060552.52,-2712414841.89,-2714543535.81,-2714391557.88,-2712441228.92,4.0,960781294055.0,9.302483829449999e-14,0.000771621010057,0.0555555555556,0.125002603629,0.111111111111,141
1200.0,-685.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2749858593.91,544544.482061,-2749994969.9,-2749097841.72,-2750346594.12,-2750313835.18,-2749212426.25,4.0,296528692943.0,9.302483829449999e-14,0.00308635546595,0.111111111111,0.249994792742,0.111111111111,164
1200.0,-685.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2786912204.96,639974.211917,-2787092112.73,-2786048835.53,-2787415758.85,-2787410295.37,-2786162243.66,4.0,409566991919.0,9.302483829449999e-14,0.00308647235166,0.111111111111,0.250004260484,0.111111111111,174
1200.0,-785.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2816002788.29,413909.166821,-2815990952.56,-2815508006.77,-2816521241.28,-2816442646.5,-2815579500.11,4.0,171320798378.0,9.302483829449999e-14,0.0015431251344,0.111111111111,0.124993135887,0.111111111111,153
1200.0,-685.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2824607468.2,273611.659308,-2824600739.14,-2824328871.12,-2824899523.42,-2824881027.87,-2824343329.23,4.0,74863340109.5,9.302483829449999e-14,0.00308648404023,0.111111111111,0.250005207258,0.111111111111,184
