smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
240.0,-225.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30169.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-517167242.082,34129.8147908,-517169148.485,-517124967.771,-517205703.586,-517201796.604,-517130018.595,4.0,1164844257.66,0.125,0.125,6,2.13658146151e-11,0.249979281997,0.0039059262812
240.0,-225.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-525446150.555,67345.9533033,-525424961.688,-525390936.096,-525543742.749,-525527160.807,-525394804.717,4.0,4535477426.33,0.125,0.125,11,2.13658146151e-11,0.250020718003,0.0039065737188
240.0,-225.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,90508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-534033969.427,59160.4838729,-534033427.431,-533975555.439,-534093467.406,-534090778.438,-533977919.209,4.0,3499962852.08,0.125,0.125,16,2.13658146151e-11,0.250020718003,0.0039065737188
240.0,-225.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-542644413.04,84478.7334109,-542607164.094,-542592730.92,-542770593.051,-542746770.697,-542594203.907,4.0,7136656398.7,0.125,0.125,21,2.13658146151e-11,0.125012430802,0.00195331923128
240.0,-194.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-605620311.525,17086.4830758,-605621944.541,-605598081.155,-605639275.864,-605637109.283,-605601227.546,4.0,291947903.9,0.25,0.25,27,2.13658146151e-11,0.124966851195,0.00781042819969
240.0,-194.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30169.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-613872469.259,43579.3695854,-613891184.342,-613807563.946,-613899944.406,-613899205.43,-613819531.972,4.0,1899161453.46,0.25,0.25,32,2.13658146151e-11,0.249979281997,0.0156237051248
240.0,-194.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-622246939.829,43728.2057807,-622260160.707,-622185945.064,-622281492.837,-622280598.857,-622194771.571,4.0,1912155980.8,0.25,0.25,37,2.13658146151e-11,0.250020718003,0.0156262948752
240.0,-194.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,90508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-630821990.978,27495.8499273,-630830078.241,-630783503.443,-630844303.984,-630843503.761,-630789156.024,4.0,756021763.226,0.25,0.25,42,2.13658146151e-11,0.250020718003,0.0156262948752
240.0,-225.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-639306600.657,2728.58107873,-639307016.559,-639302905.287,-639309464.224,-639309135.863,-639303483.189,4.0,7445154.70322,0.125,0.25,26,2.13658146151e-11,0.124966851195,0.00390521409984
240.0,-194.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-639471978.035,61954.8850459,-639472293.897,-639396458.361,-639546865.985,-639537193.602,-639406320.261,4.0,3838407781.05,0.25,0.25,47,2.13658146151e-11,0.125012430802,0.00781327692512
240.0,-225.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30169.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-642579101.317,75141.2625554,-642566558.5,-642515443.689,-642667844.58,-642659920.343,-642515842.235,4.0,5646209338.41,0.125,0.25,31,2.13658146151e-11,0.249979281997,0.0078118525624
240.0,-225.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-651236152.722,194849.43437,-651220943.861,-651013954.285,-651488768.883,-651450269.553,-651043328.299,4.0,37966302074.4,0.125,0.25,36,2.13658146151e-11,0.250020718003,0.0078131474376
240.0,-225.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,90508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-660158276.891,165799.63304,-660182648.363,-659934500.801,-660333310.038,-660313239.247,-659969194.475,4.0,27489518316.2,0.125,0.25,41,2.13658146151e-11,0.250020718003,0.0078131474376
240.0,-225.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-669203365.223,142082.823295,-669197227.006,-669061784.775,-669357222.104,-669346958.396,-669068365.553,4.0,20187528675.5,0.125,0.25,46,2.13658146151e-11,0.125012430802,0.00390663846256
240.0,-163.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-701556128.409,52388.1482353,-701545964.689,-701506130.334,-701626453.924,-701616938.174,-701509547.853,4.0,2744518075.52,0.25,0.25,53,2.13658146151e-11,0.124966851195,0.00781042819969
240.0,-163.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30169.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-709775782.003,55251.3269519,-709754987.494,-709735640.713,-709857512.311,-709842288.67,-709738387.648,4.0,3052709129.95,0.25,0.25,58,2.13658146151e-11,0.249979281997,0.0156237051248
240.0,-163.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-718327821.024,141394.648957,-718367622.008,-718128779.626,-718447260.453,-718441051.915,-718158868.755,4.0,19992446753.6,0.25,0.25,63,2.13658146151e-11,0.250020718003,0.0156262948752
240.0,-163.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,90508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-726907514.314,105761.848018,-726873904.072,-726820646.128,-727061602.986,-727033748.302,-726828334.667,4.0,11185568496.1,0.25,0.25,68,2.13658146151e-11,0.250020718003,0.0156262948752
240.0,-194.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-735582053.321,52181.8145213,-735579831.524,-735524315.817,-735644234.42,-735637858.342,-735529358.817,4.0,2722941766.73,0.25,0.25,52,2.13658146151e-11,0.124966851195,0.00781042819969
240.0,-163.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-735678125.946,135510.243817,-735754790.315,-735521662.661,-735757924.864,-735757611.409,-735544975.426,3.0,18363026179.4,0.25,0.25,73,2.13658146151e-11,0.125012430802,0.00781327692512
240.0,-194.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30169.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-738919976.688,122135.58991,-738926759.829,-738773534.077,-739052853.017,-739041846.278,-738788610.7,4.0,14917102322.7,0.25,0.25,57,2.13658146151e-11,0.249979281997,0.0156237051248
240.0,-194.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-747759444.98,98824.5135545,-747725839.378,-747684172.853,-747901928.309,-747878988.997,-747686948.804,4.0,9766284479.28,0.25,0.25,62,2.13658146151e-11,0.250020718003,0.0156262948752
240.0,-194.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,90508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-756797729.397,154724.974763,-756768723.031,-756642775.531,-757010695.996,-756977345.637,-756658722.071,4.0,23939817815.3,0.25,0.25,67,2.13658146151e-11,0.250020718003,0.0156262948752
240.0,-194.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-765799710.08,90372.7545801,-765795714.645,-765708175.983,-765899235.046,-765892049.243,-765712964.524,4.0,8167234770.39,0.25,0.25,72,2.13658146151e-11,0.125012430802,0.00781327692512
