smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,255623816.888,4189.48902923,255625070.748,255627193.277,255617932.779,255618805.373,255627073.0,4.0,17551818.326,3.46688419418e-13,0.124990974078,0.00391294293863,0.249992724848,0.125226860254,6
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,213726621.967,8068.46112646,213726475.82,213735789.545,213717746.684,213718451.922,213734996.619,4.0,65100064.9493,3.46688419418e-13,0.124990974078,0.00391317068328,0.250007275152,0.125226860254,11
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,171809687.925,14322.4159566,171805164.49,171830323.321,171798099.398,171798757.252,171826951.406,4.0,205131598.834,3.46688419418e-13,0.124990974078,0.00391317068328,0.250007275152,0.125226860254,16
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,129943764.29,26574.8496724,129937137.04,129981529.742,129919253.339,129921728.836,129975077.895,4.0,706222635.11,3.46688419418e-13,0.124990974078,0.00195657498961,0.125002976198,0.125226860254,21
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-145945405.738,24315.8897865,-145949546.188,-145915505.649,-145967024.928,-145966465.539,-145918549.308,4.0,591262496.108,3.46688419418e-13,0.250018051845,0.0155973147564,0.249992724848,0.249546279492,32
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-187671690.737,87901.6036075,-187648529.774,-187596078.628,-187793624.771,-187775998.613,-187599808.208,4.0,7726691916.77,3.46688419418e-13,0.250018051845,0.0155982225654,0.250007275152,0.249546279492,37
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-229699327.518,113698.708487,-229696718.56,-229577982.47,-229825890.482,-229816016.795,-229586290.783,4.0,12927396311.7,3.46688419418e-13,0.250018051845,0.0155982225654,0.250007275152,0.249546279492,42
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-260797553.126,193132.267449,-260810604.793,-260549259.46,-261019743.461,-260990840.232,-260585993.688,4.0,37300072730.2,3.46688419418e-13,0.250018051845,0.00391330099566,0.12498974865,0.125226860254,26
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-271562145.569,76533.8453263,-271569248.527,-271478759.691,-271631325.531,-271630044.455,-271484302.542,4.0,5857429480.43,3.46688419418e-13,0.250018051845,0.00779907001867,0.125002976198,0.249546279492,47
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-277867477.009,406957.073807,-277995441.485,-277282956.843,-278196068.225,-278178727.017,-277377076.736,4.0,165614059922.0,3.46688419418e-13,0.250018051845,0.0078270161323,0.249992724848,0.125226860254,31
