smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-613382189.676,85623.1252848,-613384445.202,-613283033.036,-613476835.264,-613468971.087,-613292250.528,4.0,7331319583.54,3.46688419418e-13,0.00391294293863,0.125226860254,0.124990974078,6,0.249992724848
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-639293142.972,415670.269781,-639431437.654,-638686470.287,-639623226.294,-639600351.81,-638792321.58,4.0,172781773180.0,3.46688419418e-13,0.00391317068328,0.125226860254,0.124990974078,11,0.250007275152
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-666290731.996,241110.755055,-666233367.201,-666079078.375,-666617115.207,-666573176.81,-666088597.894,4.0,58134396203.3,3.46688419418e-13,0.00391317068328,0.125226860254,0.124990974078,16,0.250007275152
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-693012786.36,299790.562286,-692986039.265,-692707113.933,-693371952.978,-693336754.143,-692726264.511,4.0,89874381235.7,3.46688419418e-13,0.00195657498961,0.125226860254,0.124990974078,21,0.125002976198
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1104830905.12,74093.3689601,-1104814154.61,-1104760206.17,-1104935105.08,-1104917729.93,-1104767531.02,4.0,5489827323.85,3.46688419418e-13,0.0155973147564,0.249546279492,0.250018051845,32,0.249992724848
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1131009307.88,180325.759772,-1131009232.51,-1130805814.79,-1131212951.71,-1131195241.35,-1130823479.93,4.0,32517379637.4,3.46688419418e-13,0.0155982225654,0.249546279492,0.250018051845,37,0.250007275152
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1157665246.81,41655.0305273,-1157656101.42,-1157628006.65,-1157720777.76,-1157713603.34,-1157629693.84,4.0,1735141568.23,3.46688419418e-13,0.0155982225654,0.249546279492,0.250018051845,42,0.250007275152
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1185314777.55,347407.328442,-1185329090.54,-1184879034.61,-1185721894.51,-1185671223.71,-1184938293.2,4.0,120691851855.0,3.46688419418e-13,0.00779907001867,0.249546279492,0.250018051845,47,0.125002976198
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1220974123.31,183373.896015,-1220975576.49,-1220756017.56,-1221189322.72,-1221166130.36,-1220780081.83,4.0,33625985739.8,3.46688419418e-13,0.00391330099566,0.125226860254,0.250018051845,26,0.12498974865
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1225327283.87,435732.713178,-1225320498.71,-1224800511.71,-1225867626.36,-1225786211.02,-1224877855.96,4.0,189862997334.0,3.46688419418e-13,0.0078270161323,0.125226860254,0.250018051845,31,0.249992724848
