smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
720.0,-292.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,472670671.456,17299084.3583,479415590.984,484545488.291,447306015.567,451620343.411,484278112.163,4.0,299258319635000.0,0.125000566882,4.95258127397e-14,24,0.124990974078,0.250453720508,0.0039130745569
720.0,-430.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,428439537.3,18402298.0837,430780482.213,447447764.011,404749420.762,407691041.582,445910710.139,4.0,338644574763000.0,0.250000944804,4.95258127397e-14,18,0.124990974078,0.249546279492,0.00779778760718
720.0,-430.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,423886285.015,13409282.7103,423421956.808,439333360.486,409367865.958,410471994.531,437950634.988,4.0,179808862806000.0,0.125000566882,4.95258127397e-14,23,0.124990974078,0.249546279492,0.00389889675053
720.0,-567.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,385601993.192,10332943.6377,389129562.635,393297721.187,370851126.313,373135337.946,393130051.22,4.0,106769724219000.0,0.250000944804,4.95258127397e-14,12,0.124990974078,0.249546279492,0.00779778760718
720.0,-567.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,375046030.157,9751823.79941,378821839.983,381728977.021,360811463.641,363186170.473,381619756.085,4.0,95098067414700.0,0.250000944804,4.95258127397e-14,17,0.124990974078,0.249546279492,0.00779778760718
720.0,-567.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,342805085.299,9637892.9341,344584821.394,352498530.05,329552168.359,331631837.648,351486702.418,4.0,92888980209200.0,0.125000566882,4.95258127397e-14,22,0.124990974078,0.249546279492,0.00389889675053
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,334566049.992,6973864.97911,332842621.411,344468945.28,328110011.866,328770585.142,342774314.856,4.0,48634792746900.0,0.249999055196,4.95258127397e-14,6,0.124990974078,0.125226860254,0.00391304202267
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,321441121.776,14928864.6,323265038.159,336305310.068,302929100.718,304927775.047,335400985.57,4.0,222870998244000.0,0.250000944804,4.95258127397e-14,11,0.124990974078,0.125226860254,0.00391307159924
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,283342770.641,15674184.0068,287952610.961,296787196.969,260678663.672,264732325.839,295499438.994,4.0,245680044279000.0,0.250000944804,4.95258127397e-14,16,0.124990974078,0.125226860254,0.00391307159924
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,217798348.366,29735422.1685,221757981.769,243216556.065,184460873.863,186938188.653,243115021.316,4.0,884195331539000.0,0.125000566882,4.95258127397e-14,21,0.124990974078,0.125226860254,0.00195653727845
720.0,-154.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,142092822.048,26527780.5423,141240643.915,169171516.497,116718483.863,117525954.671,167852738.81,4.0,703723140500000.0,0.125000566882,4.95258127397e-14,50,0.250018051845,0.125226860254,0.00391363970343
720.0,-292.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,99192954.6585,20372622.1102,106839662.405,113852214.277,69240279.5478,74454199.159,113226319.314,4.0,415043731647000.0,0.250000944804,4.95258127397e-14,44,0.250018051845,0.250453720508,0.0156545469814
720.0,-292.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,67121646.9768,33195681.9515,79507052.0909,90470793.3908,19001690.3345,26829919.6306,90073807.1632,4.0,1101953300230000.0,0.125000566882,4.95258127397e-14,49,0.250018051845,0.250453720508,0.00782727940685
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,38964720.8232,14088455.6196,39889989.0973,53294668.7032,22784236.3947,24156745.7382,52477320.3243,4.0,198484581747000.0,0.250000944804,4.95258127397e-14,38,0.250018051845,0.249546279492,0.0155978276082
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,19320399.512,14187341.4429,19958960.6899,31781521.8819,5582154.78619,6031679.91595,31715133.4589,4.0,201280657216000.0,0.250000944804,4.95258127397e-14,43,0.250018051845,0.249546279492,0.0155978276082
