smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,399728024.069,584934.727335,399661713.018,400497126.264,399091543.975,399161689.211,400387194.398,4.0,342148635242.0,0.00391304202267,4.95258127397e-14,6,0.125226860254,0.249999055196,0.124990974078
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,297898921.672,9618960.67226,299470454.42,307742179.177,284912598.672,286813665.738,306784031.759,4.0,92524404414400.0,0.00391357462558,4.95258127397e-14,26,0.125226860254,0.124998488314,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,205409646.116,11360382.3595,206902692.629,217666737.636,190166461.571,192639318.51,216089708.605,4.0,129058287353000.0,0.00779879001474,4.95258127397e-14,53,0.249546279492,0.124998488314,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,126647347.501,4038035.74121,127676043.782,130205693.729,121031608.71,121857168.22,129997351.987,4.0,16305732647300.0,0.0155977097136,4.95258127397e-14,32,0.249546279492,0.249999055196,0.250018051845
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,44283803.7471,1562550.91277,44635560.7912,45779621.7559,42084471.6503,42461626.8942,45613520.7384,4.0,2441565355010.0,0.00391307159924,4.95258127397e-14,11,0.125226860254,0.250000944804,0.124990974078
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,25420550.6041,4843498.05012,25582831.6884,30698849.5227,19817689.5168,20329510.2059,30284397.4842,4.0,23459473361500.0,0.00779879001474,4.95258127397e-14,52,0.249546279492,0.124998488314,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,13998129.6585,5333597.44197,13467124.6628,20989899.0391,8068370.26925,8787500.58607,19952165.7249,4.0,28447261673000.0,0.00782721432901,4.95258127397e-14,31,0.125226860254,0.249999055196,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-31858594.9397,5862182.07447,-30599235.3519,-26349880.6209,-39886028.4342,-38733429.5946,-26746863.7079,4.0,34365178674200.0,0.0078260189769,4.95258127397e-14,79,0.250453720508,0.124998488314,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-140158971.385,7598465.71302,-138807647.492,-132945692.603,-150074897.955,-148849579.286,-133360216.936,4.0,57736681191900.0,0.00391357462558,4.95258127397e-14,51,0.125226860254,0.124998488314,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-151969005.46,13018443.9436,-156656084.126,-132916503.406,-161647350.181,-161195532.295,-136180568.492,4.0,169479882713000.0,0.0155977097136,4.95258127397e-14,58,0.249546279492,0.249999055196,0.250018051845
