smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight-htse_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,351331593.06,346225.943793,351169233.975,351850375.915,351137528.375,351141226.133,351749262.706,4.0,119872404155.0,0.00391304202267,0.249999055196,0.124990974078,4.95258127397e-14,6,0.125226860254
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,226677194.595,8127830.62085,229059006.711,233078447.349,215512317.611,217055860.549,232963991.68,4.0,66061630601300.0,0.00391357462558,0.124998488314,0.250018051845,4.95258127397e-14,26,0.125226860254
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,148549514.486,8446430.61485,147257869.239,159836440.442,139845879.023,140666393.396,158240938.921,4.0,71342190131400.0,0.00779879001474,0.124998488314,0.250018051845,4.95258127397e-14,53,0.249546279492
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,106710716.934,5189850.05369,104619759.928,114312387.003,103290960.877,103319936.3,113028837.376,4.0,26934543579800.0,0.0155977097136,0.249999055196,0.250018051845,4.95258127397e-14,32,0.249546279492
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,72941787.0533,1397826.98829,72973607.8723,74578687.903,71241244.5656,71444133.9478,74394891.0121,4.0,1953920289190.0,0.00391307159924,0.250000944804,0.124990974078,4.95258127397e-14,11,0.125226860254
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,8626075.44364,7994467.78055,11099454.1263,14968235.1793,-2662841.65742,-963412.202462,14752832.934,4.0,63911515094200.0,0.00782721432901,0.249999055196,0.250018051845,4.95258127397e-14,31,0.125226860254
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-12460162.4712,18127942.5927,-5950313.41677,1151141.71231,-39091164.7637,-34393200.8964,359087.27765,4.0,328622302645000.0,0.00779879001474,0.124998488314,0.250018051845,4.95258127397e-14,52,0.249546279492
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-81560342.022,5079132.5435,-83146410.552,-74347448.4455,-85601098.5385,-85445239.0949,-75454949.0071,4.0,25797587394400.0,0.0078260189769,0.124998488314,0.249981948155,4.95258127397e-14,79,0.250453720508
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-125898722.837,3641392.4909,-125755351.92,-121843535.856,-130240651.653,-129791382.365,-122206782.594,4.0,13259739272800.0,0.0155977097136,0.249999055196,0.250018051845,4.95258127397e-14,58,0.249546279492
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-168500308.096,7232622.21617,-167344555.898,-161885714.646,-177426405.943,-176503085.025,-162115584.245,4.0,52310824121800.0,0.00391357462558,0.124998488314,0.250018051845,4.95258127397e-14,51,0.125226860254
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-171293755.482,18392417.1453,-163262968.486,-159970242.846,-198678842.11,-193660610.985,-160170001.774,4.0,338281008445000.0,0.0155978276082,0.250000944804,0.250018051845,4.95258127397e-14,37,0.249546279492
