smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,254695530.964,317663.951698,254760050.514,255006612.495,254255410.332,254324459.037,254976275.521,4.0,100910386209.0,0.125226860254,0.124990974078,4.95258127397e-14,6,0.00391304202267,0.249999055196
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,29405301.5605,1485428.05303,29541384.2327,31039484.6419,27498953.1347,27749420.5202,30870666.8597,4.0,2206496500730.0,0.125226860254,0.250018051845,4.95258127397e-14,26,0.00391357462558,0.124998488314
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-30189545.1928,861145.510285,-30116614.5257,-29429852.9517,-31095098.7684,-31044192.2941,-29437001.0257,4.0,741571589884.0,0.125226860254,0.124990974078,4.95258127397e-14,11,0.00391307159924,0.250000944804
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-100118581.863,3110854.98413,-100567677.865,-96253328.4559,-103085643.264,-102942381.815,-96666047.5065,4.0,9677418732280.0,0.249546279492,0.250018051845,4.95258127397e-14,32,0.0155977097136,0.249999055196
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-179969208.457,16402746.3816,-180352093.308,-164100446.924,-195072200.289,-194782012.438,-164620365.686,4.0,269050088858000.0,0.249546279492,0.250018051845,4.95258127397e-14,53,0.00779879001474,0.124998488314
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-215644035.19,6874600.61031,-215523181.721,-208679880.207,-222849897.109,-222432749.024,-209024516.211,4.0,47260133551200.0,0.125226860254,0.250018051845,4.95258127397e-14,31,0.00782721432901,0.249999055196
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-316374609.329,1283726.64171,-316109688.548,-315132117.851,-318146942.37,-317877873.483,-315242234.27,4.0,1647954090630.0,0.125226860254,0.124990974078,4.95258127397e-14,16,0.00391307159924,0.250000944804
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-328479946.898,8889331.24474,-325127747.401,-322137263.784,-341527029.008,-339282692.725,-322370280.368,4.0,79020209978600.0,0.249546279492,0.250018051845,4.95258127397e-14,52,0.00779879001474,0.124998488314
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-387021763.98,5447636.98776,-386782559.129,-381711804.858,-392810132.805,-392459321.205,-381919093.547,4.0,29676748750400.0,0.249546279492,0.250018051845,4.95258127397e-14,37,0.0155978276082,0.250000944804
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-462341993.994,16740030.6985,-464014545.39,-442583824.994,-478755060.204,-477948374.924,-444394041.112,4.0,280228627785000.0,0.249546279492,0.250018051845,4.95258127397e-14,58,0.0155977097136,0.249999055196
