smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,268082010.47,948614.272158,268429027.382,268750657.933,266719329.183,266934055.875,268744141.387,4.0,899869037342.0,0.00391304202267,6,0.249999055196,0.125226860254,0.124990974078,4.95258127397e-14
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,140242271.164,9742836.53311,144136126.419,146914355.376,125782476.441,128438197.025,146594947.945,4.0,94922863710900.0,0.00391357462558,26,0.124998488314,0.125226860254,0.250018051845,4.95258127397e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,61035997.8658,12145541.7089,63773538.4948,72557336.3285,44039578.1451,46741280.7171,71498158.1338,4.0,147514183403000.0,0.00779879001474,53,0.124998488314,0.249546279492,0.250018051845,4.95258127397e-14
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,16530515.7732,8549862.40512,17779707.6953,23807730.1231,6754917.57905,7536187.09657,23775975.7589,4.0,73100147146400.0,0.0155977097136,32,0.249999055196,0.249546279492,0.250018051845,4.95258127397e-14
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-4181648.30665,1527383.14567,-4159793.51325,-2847439.63722,-5559566.56287,-5542832.13612,-2851061.18793,4.0,2332899273690.0,0.00391307159924,11,0.250000944804,0.125226860254,0.124990974078,4.95258127397e-14
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-49225442.5783,4453720.58562,-49559234.9136,-43708050.6907,-54075249.7952,-53642531.6172,-44341044.2699,4.0,19835627054800.0,0.00782721432901,31,0.249999055196,0.125226860254,0.250018051845,4.95258127397e-14
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-139647233.87,20009599.9113,-144503025.029,-111314755.186,-158268130.236,-156429056.402,-116067303.716,4.0,400384088611000.0,0.00779879001474,52,0.124998488314,0.249546279492,0.250018051845,4.95258127397e-14
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-210039493.547,33535972.0341,-216851177.277,-166269093.161,-240186526.475,-238952402.546,-171590227.328,4.0,1124661420270000.0,0.0078260189769,79,0.124998488314,0.250453720508,0.249981948155,4.95258127397e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-213739712.501,9290213.66891,-216497080.844,-200939479.146,-221025209.171,-220895014.655,-202724094.667,4.0,86308070014100.0,0.0155977097136,58,0.249999055196,0.249546279492,0.250018051845,4.95258127397e-14
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-248704664.99,4946959.55584,-248734777.013,-243203596.356,-254145509.579,-253724344.639,-243642828.509,4.0,24472408847100.0,0.00391357462558,51,0.124998488314,0.125226860254,0.250018051845,4.95258127397e-14
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-250405036.249,7084013.62758,-251072694.947,-241495209.826,-257979545.278,-257324470.733,-242550879.59,4.0,50183249075800.0,0.0155978276082,37,0.250000944804,0.249546279492,0.250018051845,4.95258127397e-14
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-276568080.532,1395624.29043,-277187322.726,-274484646.346,-277413030.33,-277394813.63,-274874408.362,4.0,1947767160050.0,0.00391307159924,16,0.250000944804,0.125226860254,0.124990974078,4.95258127397e-14
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-293170873.542,4564194.20872,-294158092.989,-287315275.945,-297052032.247,-296972826.677,-287986813.182,4.0,20831868774900.0,0.0155977097136,57,0.249999055196,0.249546279492,0.250018051845,4.95258127397e-14
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-331466421.715,7539690.49163,-331452018.859,-322657830.206,-340303818.936,-339384774.968,-323568232.46,4.0,56846932709500.0,0.00782727349068,36,0.250000944804,0.125226860254,0.250018051845,4.95258127397e-14
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-331864771.137,19284325.1595,-325713127.522,-316084672.486,-359948157.018,-354973131.674,-317368711.661,4.0,371885196858000.0,0.00779766383568,78,0.124998488314,0.249546279492,0.249981948155,4.95258127397e-14
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-403490980.114,11746834.5886,-400028711.092,-393568296.42,-420338201.851,-417586122.864,-394243013.994,4.0,137988122852000.0,0.00782721432901,56,0.249999055196,0.125226860254,0.250018051845,4.95258127397e-14
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-408627922.076,35185646.6784,-406480239.512,-373705931.372,-447845277.908,-444905077.85,-375357521.892,4.0,1238029732170000.0,0.00195650474422,105,0.124998488314,0.125226860254,0.124990974078,4.95258127397e-14
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-452952886.552,34906239.5005,-449733394.264,-422519036.964,-489825720.718,-487707226.637,-422705835.671,4.0,1218445556060000.0,0.0156521680907,84,0.249999055196,0.250453720508,0.249981948155,4.95258127397e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-481496376.635,16829117.0192,-473453684.262,-472379943.206,-506698194.809,-501863260.854,-472389261.739,4.0,283219179647000.0,0.0155978276082,63,0.250000944804,0.249546279492,0.250018051845,4.95258127397e-14
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-507292724.793,17364861.3799,-504914755.192,-489024575.54,-530316813.248,-527082315.32,-490832291.708,4.0,301538410745000.0,0.00779766383568,77,0.124998488314,0.249546279492,0.249981948155,4.95258127397e-14
