smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,153874302.949,836288.111833,153867272.545,154709777.317,153052889.387,153084716.411,154673732.051,4.0,699377805993.0,6,0.124990974078,0.125226860254,4.95258127397e-14,0.249999055196,0.00391304202267
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-34228444.3816,6949393.66389,-33509800.4549,-26657232.9672,-43236943.6493,-42023730.7582,-27439259.5023,4.0,48294072295700.0,26,0.250018051845,0.125226860254,4.95258127397e-14,0.124998488314,0.00391357462558
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-124568019.844,1462020.43985,-123949178.082,-123624733.955,-126748989.259,-126330380.802,-123672037.354,4.0,2137503766530.0,11,0.124990974078,0.125226860254,4.95258127397e-14,0.250000944804,0.00391307159924
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-165604478.516,7974539.02999,-163796298.644,-158079663.683,-176745653.092,-175001459.477,-158738949.376,4.0,63593272740800.0,32,0.250018051845,0.249546279492,4.95258127397e-14,0.249999055196,0.0155977097136
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-201721157.002,13429348.5581,-201044336.397,-187301841.695,-217494113.521,-215995414.869,-188394447.984,4.0,180347402694000.0,53,0.250018051845,0.249546279492,4.95258127397e-14,0.124998488314,0.00779879001474
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-250001262.2,7330707.37381,-252112477.91,-239462603.596,-256317489.384,-255809760.401,-241237062.005,4.0,53739270600500.0,31,0.250018051845,0.125226860254,4.95258127397e-14,0.249999055196,0.00782721432901
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-354742470.194,10159089.0143,-354033976.347,-345000131.641,-365901796.44,-365123223.753,-345353608.021,4.0,103207089601000.0,52,0.250018051845,0.249546279492,4.95258127397e-14,0.124998488314,0.00779879001474
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-403405387.691,494064.423252,-403423091.658,-402808728.124,-403966639.323,-403911231.745,-402874758.082,4.0,244099654324.0,16,0.124990974078,0.125226860254,4.95258127397e-14,0.250000944804,0.00391307159924
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-437809216.736,1541450.39857,-438172641.996,-435707278.409,-439184304.543,-439111575.479,-435998062.629,4.0,2376069331240.0,37,0.250018051845,0.249546279492,4.95258127397e-14,0.250000944804,0.0155978276082
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-482891601.701,13668431.3485,-487207336.084,-463665246.886,-493486487.75,-493226435.46,-466514739.806,4.0,186826015529000.0,58,0.250018051845,0.249546279492,4.95258127397e-14,0.249999055196,0.0155977097136
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-488429156.065,8150398.91034,-488549145.667,-478330366.365,-498287966.562,-496856482.591,-479833844.097,4.0,66429002397600.0,51,0.250018051845,0.125226860254,4.95258127397e-14,0.124998488314,0.00391357462558
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-492886298.696,8394551.20138,-493836212.48,-482172941.786,-501699828.039,-500959487.158,-483483230.936,4.0,70468489872600.0,79,0.249981948155,0.250453720508,4.95258127397e-14,0.124998488314,0.0078260189769
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-527061359.319,3914622.65365,-528674364.645,-521243334.178,-529653373.807,-529554108.564,-522310402.616,4.0,15324270520500.0,36,0.250018051845,0.125226860254,4.95258127397e-14,0.250000944804,0.00782727349068
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-578195921.488,7639188.76085,-577696503.865,-570428142.89,-586962535.333,-586221117.203,-570869910.447,4.0,58357204923900.0,57,0.250018051845,0.249546279492,4.95258127397e-14,0.249999055196,0.0155977097136
