smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,747688666.076,306314.737669,747637731.993,748105361.493,747373838.823,747407106.459,748041533.408,4.0,93828718513.3,4.95258127397e-14,0.124990974078,0.125226860254,6,0.249999055196,0.00391304202267
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,575710619.375,6464963.81954,578268778.907,580186716.057,566118203.629,567887859.916,579951955.49,4.0,41795757188000.0,4.95258127397e-14,0.250018051845,0.125226860254,26,0.124998488314,0.00391357462558
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,470480373.33,1626595.59562,470825667.647,471845301.967,468424856.058,468650361.595,471826973.021,4.0,2645813231680.0,4.95258127397e-14,0.124990974078,0.125226860254,11,0.250000944804,0.00391307159924
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,467441931.805,5228583.7651,467357510.75,473724476.825,461328228.896,461991865.904,473010187.183,4.0,27338088188700.0,4.95258127397e-14,0.250018051845,0.249546279492,32,0.249999055196,0.0155977097136
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,461755211.95,10193812.3832,461209931.401,473672374.451,450928610.549,451706597.974,472567218.696,4.0,103913810903000.0,4.95258127397e-14,0.250018051845,0.249546279492,53,0.124998488314,0.00779879001474
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,356283296.81,6256833.33186,356902759.734,363273805.619,348053862.152,349350162.157,362349183.369,4.0,39147963342700.0,4.95258127397e-14,0.250018051845,0.125226860254,31,0.249999055196,0.00782721432901
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,289129956.955,13760072.0377,290630890.901,300863444.93,274394601.087,275297738.615,300860867.77,4.0,189339582484000.0,4.95258127397e-14,0.250018051845,0.249546279492,52,0.124998488314,0.00779879001474
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,194059659.507,1315405.34237,194377594.258,195213249.637,192270199.876,192514702.87,195159507.493,4.0,1730291214720.0,4.95258127397e-14,0.124990974078,0.125226860254,16,0.250000944804,0.00391307159924
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,192631236.944,29704674.0162,201209853.261,217896731.069,150208510.184,157024323.784,216228087.259,4.0,882367658410000.0,4.95258127397e-14,0.249981948155,0.250453720508,79,0.124998488314,0.0078260189769
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,189115937.024,5757168.74287,189823703.66,195387133.203,181429207.574,182673609.681,194567391.077,4.0,33144991933900.0,4.95258127397e-14,0.250018051845,0.249546279492,37,0.250000944804,0.0155978276082
