smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2688391726.63,10699827.6013,-2693370493.97,-2672396003.18,-2694429915.37,-2694403469.73,-2675409709.24,4.0,114486310698000.0,4.95258127397e-14,0.124998488314,105,0.125226860254,0.124990974078,0.00195650474422
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2793821198.7,17550377.368,-2791560279.05,-2775451349.46,-2816712887.24,-2813707367.02,-2777100317.89,4.0,308015745760000.0,4.95258127397e-14,0.249999055196,110,0.125226860254,0.124990974078,0.00391304202267
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2828798400.24,11445606.5244,-2829245110.35,-2815388116.93,-2841315263.33,-2840299167.53,-2816672238.79,4.0,131001908711000.0,4.95258127397e-14,0.124998488314,104,0.250453720508,0.124990974078,0.00391300948845
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2937911799.07,9971587.9447,-2937593998.72,-2926592063.93,-2949867134.89,-2948577598.07,-2927690920.54,4.0,99432566138900.0,4.95258127397e-14,0.249999055196,109,0.250453720508,0.124990974078,0.00782608404535
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2951915658.59,7671158.09556,-2953543436.78,-2941251065.49,-2959324695.3,-2958628969.87,-2942923457.83,4.0,58846666527100.0,4.95258127397e-14,0.124998488314,79,0.250453720508,0.249981948155,0.0078260189769
720.0,-154.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3010617282.39,11056501.255,-3006428927.74,-3002884347.18,-3026726926.9,-3024054745.28,-3003043516.01,4.0,122246220002000.0,4.95258127397e-14,0.250000944804,90,0.125226860254,0.249981948155,0.00782614319848
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3021933440.66,18949591.3174,-3020392620.04,-3002787512.25,-3044161010.31,-3042139664.07,-3003884366.12,4.0,359087011098000.0,4.95258127397e-14,0.250000944804,115,0.125226860254,0.124990974078,0.00391307159924
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3022131241.48,16574995.2652,-3020688232.67,-3005102711.8,-3042045788.79,-3040067513.25,-3006215182.05,4.0,274730468040000.0,4.95258127397e-14,0.124998488314,103,0.249546279492,0.124990974078,0.00389883191784
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3022373667.44,13015266.9691,-3022090432.67,-3006918489.07,-3038395315.34,-3036324212.85,-3008819650.71,4.0,169397174277000.0,4.95258127397e-14,0.249999055196,84,0.250453720508,0.249981948155,0.0156521680907
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3083752450.24,18775617.3997,-3082665256.62,-3066456655.15,-3103222632.57,-3102198387.2,-3066828584.34,4.0,352523808741000.0,4.95258127397e-14,0.249999055196,108,0.249546279492,0.124990974078,0.00779772866837
