smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-648854681.289,21655749.0114,-639999348.853,-634331288.97,-681088738.479,-674961641.697,-635145186.29,4.0,468971465246000.0,0.00195650474422,105,4.95258127397e-14,0.124990974078,0.125226860254,0.124998488314
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-751426611.988,16496765.626,-748247171.11,-737789311.8,-771422793.932,-769484915.66,-737819525.544,4.0,272143276121000.0,0.0078260189769,79,4.95258127397e-14,0.249981948155,0.250453720508,0.124998488314
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-835640426.593,3036977.56498,-834927823.872,-833181967.125,-839524091.505,-839084012.923,-833194484.074,4.0,9223232730210.0,0.00779879001474,53,4.95258127397e-14,0.250018051845,0.249546279492,0.124998488314
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-842374173.26,13070924.9784,-844885203.285,-824511255.095,-855215031.374,-854089359.768,-827143544.716,4.0,170849079791000.0,0.00391300948845,104,4.95258127397e-14,0.124990974078,0.250453720508,0.124998488314
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-911112175.321,8112882.12556,-911588674.463,-900723295.642,-920548056.714,-919224767.596,-902332484.245,4.0,65818856383200.0,0.00779766383568,78,4.95258127397e-14,0.249981948155,0.249546279492,0.124998488314
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-936240891.876,17111588.9233,-928375077.422,-926352890.5,-961860522.163,-956915599.019,-926578324.971,4.0,292806475479000.0,0.00391304202267,110,4.95258127397e-14,0.124990974078,0.125226860254,0.249999055196
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-995979987.048,21622262.7645,-994845088.207,-974051966.654,-1020177805.13,-1018315216.76,-975233615.718,4.0,467522247058000.0,0.00389883191784,103,4.95258127397e-14,0.124990974078,0.249546279492,0.124998488314
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1000957159.23,3950211.37497,-1000846939.09,-996298850.741,-1005835907.99,-1005207852.24,-996860774.407,4.0,15604169906900.0,0.00779879001474,52,4.95258127397e-14,0.250018051845,0.249546279492,0.124998488314
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1047566261.63,26425917.7407,-1046444691.24,-1017282034.87,-1080093629.16,-1076195074.6,-1020507647.2,4.0,698329128436000.0,0.0156521680907,84,4.95258127397e-14,0.249981948155,0.250453720508,0.249999055196
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1066052492.22,13670983.2155,-1062841752.97,-1054538188.75,-1083988274.18,-1081798757.03,-1054801262.35,4.0,186895782078000.0,0.00782608404535,109,4.95258127397e-14,0.124990974078,0.250453720508,0.249999055196
