smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-24760845.211,461457.472059,-24551217.9883,-24489351.3695,-25451593.4978,-25317596.4987,-24497572.035,4.0,212942998519.0,6,0.124990974078,0.249999055196,4.95258127397e-14,0.00391304202267,0.125226860254
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-152243892.694,2356744.0297,-151298727.912,-150698579.94,-155679535.013,-155110162.325,-150700853.759,4.0,5554242421550.0,26,0.250018051845,0.124998488314,4.95258127397e-14,0.00391357462558,0.125226860254
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-230457868.226,13139262.816,-229244909.638,-218757849.701,-244583803.928,-243700234.257,-218913644.219,4.0,172640227347000.0,53,0.250018051845,0.124998488314,4.95258127397e-14,0.00779879001474,0.249546279492
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-268699682.844,5336721.66863,-269262539.202,-261696392.289,-274577260.682,-273897022.654,-262714344.133,4.0,28480598168400.0,32,0.250018051845,0.249999055196,4.95258127397e-14,0.0155977097136,0.249546279492
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-303367590.963,1670450.45122,-302881787.759,-302062332.343,-305644455.99,-305336724.119,-302078582.292,4.0,2790404709990.0,11,0.124990974078,0.250000944804,4.95258127397e-14,0.00391307159924,0.125226860254
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-359706034.344,2445654.40958,-359805293.573,-356737890.042,-362475660.188,-362202528.574,-357070577.193,4.0,5981225491080.0,31,0.250018051845,0.249999055196,4.95258127397e-14,0.00782721432901,0.125226860254
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-385719154.69,8409873.85658,-386341138.633,-376271697.488,-393922644.007,-393570969.52,-376996562.341,4.0,70725978283500.0,52,0.250018051845,0.124998488314,4.95258127397e-14,0.00779879001474,0.249546279492
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-464000852.716,11196290.8332,-466616317.546,-448236892.671,-474533883.101,-473528184.953,-450811869.717,4.0,125356928421000.0,79,0.249981948155,0.124998488314,4.95258127397e-14,0.0078260189769,0.250453720508
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-504612410.228,8302063.88038,-502534725.92,-497538193.195,-515841995.876,-514343298.568,-497790279.918,4.0,68924264674000.0,58,0.250018051845,0.249999055196,4.95258127397e-14,0.0155977097136,0.249546279492
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-538210846.453,5483199.82821,-537065393.443,-533194775.174,-545517823.752,-544568500.506,-533456826.615,4.0,30065480356100.0,51,0.250018051845,0.124998488314,4.95258127397e-14,0.00391357462558,0.125226860254
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-548755728.945,7950810.07534,-546190913.828,-542286723.536,-560354364.587,-558265534.628,-542836664.425,4.0,63215380854200.0,37,0.250018051845,0.250000944804,4.95258127397e-14,0.0155978276082,0.249546279492
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-580983737.551,528435.798637,-581033743.094,-580375720.536,-581491743.48,-581471064.202,-580426403.14,4.0,279244393281.0,16,0.124990974078,0.250000944804,4.95258127397e-14,0.00391307159924,0.125226860254
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-626505796.001,15374472.3955,-626736822.652,-610833930.987,-641715607.712,-641084585.652,-611603569.038,4.0,236374401440000.0,57,0.250018051845,0.249999055196,4.95258127397e-14,0.0155977097136,0.249546279492
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-640471867.031,4730468.68213,-639837249.786,-635953029.885,-646259938.665,-645670105.528,-636162092.676,4.0,22377333952600.0,36,0.250018051845,0.250000944804,4.95258127397e-14,0.00782727349068,0.125226860254
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-649741781.943,39554154.4006,-638134366.831,-617697302.056,-705001092.054,-696937425.869,-618796519.173,4.0,1564531130350000.0,78,0.249981948155,0.124998488314,4.95258127397e-14,0.00779766383568,0.249546279492
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-680200474.314,20699995.3843,-673272232.358,-664449484.404,-709807948.137,-705181222.334,-664919265.033,4.0,428489808910000.0,105,0.124990974078,0.124998488314,4.95258127397e-14,0.00195650474422,0.125226860254
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-736087768.269,23254457.9363,-725276150.114,-722963324.371,-770835448.48,-764317533.626,-722994268.331,4.0,540769813912000.0,56,0.250018051845,0.249999055196,4.95258127397e-14,0.00782721432901,0.125226860254
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-740174753.065,19930613.3805,-739050661.93,-721675466.097,-760922222.305,-759806066.182,-722117167.539,4.0,397229349724000.0,84,0.249981948155,0.249999055196,4.95258127397e-14,0.0156521680907,0.250453720508
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-786962388.076,4038884.1035,-787927105.801,-781739314.846,-790256025.855,-790223962.67,-782350208.667,4.0,16312584801500.0,77,0.249981948155,0.124998488314,4.95258127397e-14,0.00779766383568,0.249546279492
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-794219646.102,6132203.63556,-795949159.618,-785635017.394,-799345247.776,-799113672.611,-786904300.669,4.0,37603921428000.0,63,0.250018051845,0.250000944804,4.95258127397e-14,0.0155978276082,0.249546279492
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-826955953.716,14700501.9038,-820047452.448,-818742136.605,-848986773.363,-844665911.117,-818917898.09,4.0,216104756223000.0,42,0.250018051845,0.250000944804,4.95258127397e-14,0.0155978276082,0.249546279492
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-852097667.333,10583813.3863,-850944877.524,-840854213.866,-865646700.417,-863954527.032,-841854713.366,4.0,112017105795000.0,83,0.249981948155,0.249999055196,4.95258127397e-14,0.0155954573367,0.249546279492
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-861429534.447,1697771.14755,-860765993.015,-860245239.107,-863940912.65,-863490026.528,-860298000.371,4.0,2882426869450.0,21,0.124990974078,0.125000566882,4.95258127397e-14,0.00195653727845,0.125226860254
