smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1482790672.56,2283207.63796,-1482790672.56,-1481176200.95,-1484405144.16,-1484243697.0,-1481337648.11,2.0,5213037118060.0,73,0.142857142857,0.0014581121704,2.43433201164e-13,0.142848912404,0.0714516129032
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1500280457.5,1165391.47666,-1500280457.5,-1499456401.29,-1501104513.72,-1501022108.1,-1499538806.91,2.0,1358137293860.0,65,0.142857142857,0.000728990076317,2.43433201164e-13,0.071417989418,0.0714516129032
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1516850691.09,1279305.96571,-1516850691.09,-1515946085.16,-1517755297.01,-1517664836.42,-1516036545.76,2.0,1636623753910.0,81,0.142857142857,0.00145823218654,2.43433201164e-13,0.142860670194,0.0714516129032
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1542734889.78,5583646.58641,-1542734889.78,-1538786655.42,-1546683124.15,-1546288300.71,-1539181478.85,2.0,31177109201900.0,89,0.142857142857,0.00145823218654,2.43433201164e-13,0.142860670194,0.0714516129032
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1567143865.13,3055743.45891,-1567143865.13,-1564983128.21,-1569304602.05,-1569088528.36,-1565199201.9,2.0,9337568086640.0,97,0.142857142857,0.00145823218654,2.43433201164e-13,0.142860670194,0.0714516129032
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1592134043.41,8868598.60931,-1592134043.41,-1585862997.19,-1598405089.62,-1597777985.0,-1586490101.81,2.0,78652041293100.0,131,0.142857142857,0.00145715736474,2.43433201164e-13,0.071417989418,0.142822580645
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1599820696.33,3787757.24821,-1599820696.33,-1597142347.5,-1602499045.17,-1602231210.28,-1597410182.38,2.0,14347104971400.0,105,0.142857142857,0.00145822018493,2.43433201164e-13,0.142859494415,0.0714516129032
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1626178253.02,2539137.36767,-1626178253.02,-1624382811.77,-1627973694.27,-1627794150.14,-1624562355.89,2.0,6447218571880.0,139,0.142857142857,0.00291457861599,2.43433201164e-13,0.142848912404,0.142822580645
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1627033349.6,4506085.09106,-1627033349.6,-1623847066.27,-1630219632.92,-1629901004.59,-1624165694.61,2.0,20304802847900.0,113,0.142857142857,0.00145823218654,2.43433201164e-13,0.142860670194,0.0714516129032
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1641289039.17,345734.18816,-1641289039.17,-1641044568.18,-1641533510.16,-1641509063.06,-1641069015.28,2.0,119532128863.0,147,0.142857142857,0.00291481851283,2.43433201164e-13,0.142860670194,0.142822580645
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1653980027.01,3963203.32837,-1653980027.01,-1651177619.06,-1656782434.96,-1656502194.16,-1651457859.86,2.0,15706980622000.0,121,0.142857142857,0.000729122094079,2.43433201164e-13,0.0714309229865,0.0714516129032
