smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,400621839.268,206215.427605,400585247.473,400873164.158,400443697.965,400446559.841,400848347.205,4.0,42524802582.4,0.0556451612903,3.4776821570799994e-14,0.111109748728,11,0.0555519897304,0.000343462391773
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,311448982.669,3007824.47299,312003599.11,314118791.955,307669940.502,308080064.679,314041437.643,4.0,9047008060330.0,0.0556451612903,3.4776821570799994e-14,0.0555541185209,101,0.111103979461,0.00034345771885
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,261710880.949,203592.492678,261689238.429,261972066.879,261492980.059,261513103.087,261938958.338,4.0,41449903074.9,0.0556451612903,3.4776821570799994e-14,0.111111428379,21,0.0555519897304,0.000343467583909
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,250858229.337,2133138.46826,251476165.111,252509966.361,247970620.764,248353336.715,252498011.875,4.0,4550279724770.0,0.111290322581,3.4776821570799994e-14,0.111109748728,112,0.111103979461,0.00137384956709
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,209758078.257,362612.107954,209717818.681,210212389.188,209384286.479,209411790.764,210160729.158,4.0,131487540835.0,0.0556451612903,3.4776821570799994e-14,0.111109748728,111,0.111103979461,0.000686924783546
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,163049179.994,4269569.63797,164649338.505,166092730.753,156805312.215,157860167.612,165997970.462,4.0,18229224893500.0,0.111290322581,3.4776821570799994e-14,0.0555541185209,202,0.111103979461,0.000686915437701
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,122333285.013,941892.958895,122743008.7,122908374.273,120938748.378,121185604.04,122907352.824,4.0,887162346015.0,0.0556451612903,3.4776821570799994e-14,0.111111596344,31,0.0555519897304,0.000343468103122
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,111161672.163,2819537.53348,111764471.006,113566542.265,107551204.377,107963154.929,113516271.018,4.0,7949791902680.0,0.111290322581,3.4776821570799994e-14,0.111111428379,122,0.111103979461,0.00137387033564
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,100278639.213,5991484.28135,102975560.004,103813294.395,91350142.4497,92991391.5771,103790197.742,4.0,35897883893700.0,0.111290322581,3.4776821570799994e-14,0.111109748728,213,0.111103979461,0.00137384956709
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,81057696.3506,6734438.04265,81644737.5706,87984239.6629,72957070.5983,73765316.1917,87528218.8015,4.0,45352655750300.0,0.0556451612903,3.4776821570799994e-14,0.0555541185209,201,0.111103979461,0.00034345771885
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,62856758.2509,2504443.8558,63204334.6171,65402230.617,59616133.1524,60020450.3387,65206459.2505,4.0,6272239026870.0,0.0556451612903,3.4776821570799994e-14,0.111111428379,121,0.111103979461,0.000686935167818
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,58406112.857,3725640.61284,59417837.7866,61606320.739,53182455.1157,53965304.3369,61430506.4756,4.0,13880397976000.0,0.111290322581,3.4776821570799994e-14,0.111109748728,212,0.111103979461,0.00137384956709
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,12562025.2646,6401569.15837,14221125.9238,17615204.8829,4190644.32799,5199757.80229,17601551.8041,4.0,40980087689400.0,0.111290322581,3.4776821570799994e-14,0.0555541185209,303,0.111136071887,0.000687113853483
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,9672177.8584,6019734.14611,11714194.4137,14383820.0153,876502.590927,2406787.78934,14078744.7501,4.0,36237199189800.0,0.0556451612903,3.4776821570799994e-14,0.111109748728,211,0.111103979461,0.000686924783546
