smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
1200.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,924208.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,1004045411.74,9264890.30658,1000541535.48,1017754760.95,997343815.041,997789494.672,1015206755.57,4.0,85838192393100.0,1.68189591158e-14,6,0.125,0.249999256118,0.125,0.00390623837684
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,731647414.667,6501967.27861,733274396.638,737595927.617,722444937.776,723941099.695,737075954.881,4.0,42275578492100.0,1.68189591158e-14,26,0.25,0.124999019428,0.125,0.00390621935712
1200.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,623681547.704,2584994.44186,623740444.826,626759954.755,620485346.408,620911098.92,626369540.517,4.0,6682196264420.0,1.68189591158e-14,11,0.125,0.250000608631,0.125,0.00390625950986
1200.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,924208.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,574685453.395,12814655.246,579028595.408,584421156.3,556263466.464,559194885.522,584095622.45,4.0,164215389073000.0,1.68189591158e-14,32,0.25,0.249999256118,0.25,0.0156249535074
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,924208.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,439594887.461,13925000.1231,442810470.38,452640947.426,420117661.657,423162287.833,451525671.001,4.0,193905628429000.0,1.68189591158e-14,31,0.25,0.249999256118,0.125,0.00781247675368
1200.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,280497953.82,27525195.3613,286000018.597,307732305.644,242259472.442,248511825.211,304781191.742,4.0,757636379679000.0,1.68189591158e-14,52,0.25,0.124999019428,0.25,0.00781243871424
1200.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2772623.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,226581898.706,12367024.5739,232180029.905,233818555.304,208148979.708,211541239.063,233785174.669,4.0,152943296810000.0,1.68189591158e-14,16,0.125,0.250000743882,0.125,0.00390626162316
1200.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,190682623.721,8251727.16321,193650698.216,196865091.997,178564006.455,180694098.34,196515844.809,4.0,68091001176100.0,1.68189591158e-14,37,0.25,0.250000608631,0.25,0.0156250380394
1200.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,924208.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,128694898.958,28561009.3685,131296156.366,154865601.226,97321681.8743,99485216.3232,154262821.222,4.0,815731256147000.0,1.68189591158e-14,58,0.25,0.249999256118,0.25,0.0156249535074
1200.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,50841023.2252,28105951.6801,55266515.3812,74697300.7191,18133761.4195,20913963.5465,74572393.8857,4.0,789944519846000.0,1.68189591158e-14,51,0.25,0.124999019428,0.125,0.00390621935712
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,45370448.1486,6037975.46309,44731626.4099,52792055.919,39226483.8554,39631630.2904,52003616.4409,4.0,36457147692900.0,1.68189591158e-14,36,0.25,0.250000608631,0.125,0.00781251901972
1200.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,924208.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-14848917.4198,15942207.3037,-13279249.6996,2959335.02999,-35796505.3099,-32553035.5034,657665.855671,4.0,254153973713000.0,1.68189591158e-14,57,0.25,0.249999256118,0.25,0.0156249535074
1200.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-164104060.332,29678670.1438,-166000049.402,-127936171.409,-196479971.114,-193679523.65,-131874212.315,4.0,880823461507000.0,1.68189591158e-14,78,0.25,0.124999019428,0.25,0.00781243871424
1200.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-165438247.569,18993537.6414,-164780340.377,-143822597.249,-188369712.274,-185828041.085,-145969524.123,4.0,360754472136000.0,1.68189591158e-14,21,0.125,0.125000371941,0.125,0.00195313081158
1200.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,924208.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-204849083.744,53613022.9863,-187418060.397,-164443532.768,-280116681.414,-269053126.918,-165048473.255,4.0,2874356233730000.0,1.68189591158e-14,56,0.25,0.249999256118,0.125,0.00781247675368
1200.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2772623.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-218494190.998,25224120.5305,-219837330.103,-186322767.367,-247979336.419,-243852095.481,-191255891.769,4.0,636256256535000.0,1.68189591158e-14,42,0.25,0.250000743882,0.25,0.0156250464926
1200.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-253073190.073,20515466.1987,-244888883.178,-239417426.596,-283097567.338,-278043296.615,-239561113.183,4.0,420884353349000.0,1.68189591158e-14,63,0.25,0.250000608631,0.25,0.0156250380394
1200.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,924208.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-307851783.363,31163817.4955,-314680487.485,-267049184.136,-334996974.347,-334119516.292,-272023864.665,4.0,971183520895000.0,1.68189591158e-14,84,0.25,0.249999256118,0.25,0.0156249535074
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2772623.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-344229213.002,5108712.72143,-343791578.001,-338883641.423,-350450054.581,-349797256.44,-339273858.564,4.0,26098945670100.0,1.68189591158e-14,41,0.25,0.250000743882,0.125,0.00781252324632
1200.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-364262713.312,24814818.1287,-368139341.706,-332358029.915,-388414139.921,-386932014.412,-336166132.46,4.0,615775198760000.0,1.68189591158e-14,77,0.25,0.124999019428,0.25,0.00781243871424
