smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,777548870.784,108873.89052,777548870.784,777625856.25,777471885.318,777479583.864,777618157.703,2.0,11853524037.1,0.0556451612903,0.0555519897304,0.000343462391773,11,0.111109748728,3.4776821570799994e-14
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,687892227.928,872233.797932,687892227.928,688508990.361,687275465.495,687337141.738,688447314.118,2.0,760791798255.0,0.0556451612903,0.111103979461,0.00034345771885,101,0.0555541185209,3.4776821570799994e-14
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,639185581.289,274732.399931,639185581.289,639379846.432,638991316.146,639010742.66,639360419.918,2.0,75477891572.0,0.0556451612903,0.0555519897304,0.000343467583909,21,0.111111428379,3.4776821570799994e-14
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,629966035.418,419355.356043,629966035.418,630262564.434,629669506.402,629699159.303,630232911.532,2.0,175858914642.0,0.111290322581,0.111103979461,0.00137384956709,112,0.111109748728,3.4776821570799994e-14
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,581313909.833,4677566.18839,581313909.833,584621448.605,578006371.062,578337124.939,584290694.728,2.0,21879625446700.0,0.0556451612903,0.111103979461,0.000686924783546,111,0.111109748728,3.4776821570799994e-14
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,542790590.891,1004932.76304,542790590.891,543501185.662,542079996.119,542151055.596,543430126.185,2.0,1009889858230.0,0.111290322581,0.111103979461,0.000686915437701,202,0.0555541185209,3.4776821570799994e-14
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,499325164.211,2246008.27957,499325164.211,500913331.896,497736996.526,497895813.294,500754515.128,2.0,5044553191890.0,0.0556451612903,0.0555519897304,0.000343468103122,31,0.111111596344,3.4776821570799994e-14
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,491742402.842,1318860.41721,491742402.842,492674977.986,490809827.697,490903085.212,492581720.472,2.0,1739392800080.0,0.111290322581,0.111103979461,0.00137387033564,122,0.111111428379,3.4776821570799994e-14
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,479148955.302,8493512.52792,479148955.302,485154775.607,473143134.998,473743717.028,484554193.577,2.0,72139755061900.0,0.111290322581,0.111103979461,0.00137384956709,213,0.111109748728,3.4776821570799994e-14
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,463590405.931,276782.519062,463590405.931,463786120.727,463394691.134,463414262.614,463766549.247,2.0,76608562858.1,0.0556451612903,0.111103979461,0.00034345771885,201,0.0555541185209,3.4776821570799994e-14
