smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,653531645.73,1202583.80286,653137219.384,655273317.102,652578827.049,652631445.719,654984042.624,4.0,1446207802900.0,1.7334191682000001e-13,21,0.125001984106,0.00195655946116,0.125226860254,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,635481955.683,1746764.58141,635159076.843,637726509.316,633883159.729,633951269.173,637464672.568,4.0,3051186502870.0,1.7334191682000001e-13,16,0.250003306843,0.00391310857042,0.125226860254,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,616100804.556,589629.491569,616253583.65,616628893.79,615267157.134,615399225.483,616588492.898,4.0,347662937328.0,1.7334191682000001e-13,11,0.250003306843,0.00391310857042,0.125226860254,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,591478962.87,392739.656734,591466183.133,591915315.454,591068169.76,591093789.714,591882027.658,4.0,154244437972.0,1.7334191682000001e-13,6,0.249996693157,0.00391300505149,0.125226860254,0.124990974078
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,351768238.011,2128935.92209,351612484.548,354447469.693,349400513.256,349639588.608,354114942.263,4.0,4532368160350.0,1.7334191682000001e-13,47,0.125001984106,0.00779900812097,0.249546279492,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,337297804.409,1389374.82645,337210050.753,339000730.061,335770386.068,335908197.198,338810266.738,4.0,1930362408370.0,1.7334191682000001e-13,42,0.250003306843,0.0155979749784,0.249546279492,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,317240255.404,3118650.35694,317276031.985,320041354.687,314367602.961,314420308.618,320010114.978,4.0,9725980048850.0,1.7334191682000001e-13,37,0.250003306843,0.0155979749784,0.249546279492,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,293939335.859,1381897.7124,294146809.004,295180686.96,292283038.468,292438976.379,295149232.935,4.0,1909641287550.0,1.7334191682000001e-13,32,0.249996693157,0.0155975623434,0.249546279492,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,255848300.653,2061891.39837,256520933.316,257512585.44,252838750.541,253375316.073,257379599.505,4.0,4251396138680.0,1.7334191682000001e-13,46,0.125001984106,0.00391368407525,0.125226860254,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,244191797.615,2641342.3504,244889986.462,246574158.674,240413058.863,241081952.443,246324178.402,4.0,6976689412030.0,1.7334191682000001e-13,41,0.250003306843,0.00782734744372,0.125226860254,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,234826212.67,3428288.82362,234165031.81,239578175.905,231396611.153,231790175.685,238787902.858,4.0,11753164258200.0,1.7334191682000001e-13,36,0.250003306843,0.00782734744372,0.125226860254,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,218344075.702,2223412.56728,218527077.694,220813741.956,215508405.465,215877458.881,220554489.734,4.0,4943563444330.0,1.7334191682000001e-13,31,0.249996693157,0.00782714037597,0.125226860254,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,142052808.407,2008696.50675,142055665.455,144458592.801,139641309.918,139928354.942,144173262.005,4.0,4034861656210.0,1.7334191682000001e-13,26,0.124994709051,0.00391345630072,0.125226860254,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,46228741.6709,5103108.86494,47022271.0923,50800159.1044,40070265.3946,40662552.8549,50683989.297,4.0,26041720087500.0,1.7334191682000001e-13,73,0.125001984106,0.00779900812097,0.249546279492,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,38408320.421,3777786.69421,38439068.8435,41898391.5273,34856752.4698,34943863.8034,41829729.2472,4.0,14271672306900.0,1.7334191682000001e-13,68,0.250003306843,0.0155979749784,0.249546279492,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,20626473.8376,3446565.69952,21053022.9108,24185839.2305,16214010.2983,16752103.1495,23903675.8232,4.0,11878815121100.0,1.7334191682000001e-13,63,0.250003306843,0.0155979749784,0.249546279492,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,2874783.29808,1877578.3606,2368588.89619,5566183.43057,1195771.96938,1368844.03366,5089394.72516,4.0,3525300500210.0,1.7334191682000001e-13,58,0.249996693157,0.0155975623434,0.249546279492,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-26502550.0861,2549567.76468,-25926300.0143,-24065775.2545,-30091825.0614,-29480409.6267,-24331440.6462,4.0,6500295786670.0,1.7334191682000001e-13,53,0.124994709051,0.00779855422245,0.249546279492,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-56719414.9644,3550362.80267,-55608200.0116,-53982056.6093,-61679203.2252,-60959854.2184,-54034676.6444,4.0,12605076030600.0,1.7334191682000001e-13,72,0.125001984106,0.00779900812097,0.249546279492,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-62912026.3303,1979430.15569,-62798204.8643,-60725361.3446,-65326334.2482,-65059271.0197,-60924131.6935,4.0,3918143741270.0,1.7334191682000001e-13,67,0.250003306843,0.0155979749784,0.249546279492,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-70998696.4716,3835653.85531,-72357179.8462,-65396235.766,-73884190.4281,-73745893.5517,-66349622.6671,4.0,14712240497800.0,1.7334191682000001e-13,62,0.250003306843,0.0155979749784,0.249546279492,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-79802971.9796,1759767.85937,-80590544.3523,-77177177.7116,-80853621.502,-80838147.8129,-77665194.8244,4.0,3096782918880.0,1.7334191682000001e-13,57,0.249996693157,0.0155975623434,0.249546279492,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-154963391.78,1294249.62268,-154735789.263,-153639560.454,-156742428.138,-156448257.473,-153797169.609,4.0,1675082085800.0,1.7334191682000001e-13,52,0.124994709051,0.00779855422245,0.249546279492,0.250018051845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-170360394.927,1841641.44788,-171159069.299,-167621304.68,-171502136.429,-171483018.516,-168119627.215,4.0,3391643222560.0,1.7334191682000001e-13,66,0.250003306843,0.00782734744372,0.125226860254,0.250018051845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-174119567.525,4571548.15723,-172886565.744,-170047669.833,-180657468.782,-179552954.159,-170412383.387,4.0,20899052553800.0,1.7334191682000001e-13,71,0.125001984106,0.00391368407525,0.125226860254,0.250018051845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-176117467.245,3766809.40223,-174923016.699,-173061347.022,-181562488.559,-180656880.18,-173250285.074,4.0,14188853072700.0,1.7334191682000001e-13,61,0.250003306843,0.00782734744372,0.125226860254,0.250018051845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-178993969.816,2959508.94616,-179221560.404,-175804276.146,-181728482.309,-181662054.713,-176007258.095,4.0,8758693202400.0,1.7334191682000001e-13,56,0.249996693157,0.00782714037597,0.125226860254,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-254513671.102,5370858.63369,-255036311.115,-248591466.977,-259390595.199,-259289965.649,-249005680.536,4.0,28846122463100.0,1.7334191682000001e-13,99,0.125001984106,0.00782623784463,0.250453720508,0.249981948155
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-263391512.038,2929792.20501,-263326463.232,-260750745.074,-266162376.614,-266090226.768,-260783865.636,4.0,8583682364510.0,1.7334191682000001e-13,94,0.250003306843,0.0156524342817,0.250453720508,0.249981948155
