smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,prefix
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,170694277.778,47114.3094636,170692277.492,170748700.173,170643855.953,170647526.825,170743829.129,4.0,2219758156.23,0.124990974078,0.00391300505149,0.249996693157,1.7334191682000001e-13,0.125226860254,6
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,90630354.0294,67333.7337022,90641433.7398,90699385.6389,90539162.9993,90552745.3185,90692451.1459,4.0,4533831694.28,0.124990974078,0.00391310857042,0.250003306843,1.7334191682000001e-13,0.125226860254,11
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,30923112.0819,1785106.966,31230528.0879,32486774.5307,28744617.621,28960901.9975,32454939.7578,4.0,3186606880050.0,0.250018051845,0.0155975623434,0.249996693157,1.7334191682000001e-13,0.249546279492,32
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,10805927.406,110613.094943,10813366.4838,10906666.7471,10690309.9094,10696638.194,10904801.9091,4.0,12235256772.9,0.124990974078,0.00391310857042,0.250003306843,1.7334191682000001e-13,0.125226860254,16
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-26074293.4618,2017157.83279,-26944657.7002,-23073579.1666,-27334279.2804,-27309353.3761,-23620723.614,4.0,4068925722390.0,0.250018051845,0.00779855422245,0.124994709051,1.7334191682000001e-13,0.249546279492,53
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-47549644.0875,1489090.45136,-47600617.5808,-45913851.2762,-49083489.9121,-48995995.4386,-46031929.8458,4.0,2217390372320.0,0.250018051845,0.0155979749784,0.250003306843,1.7334191682000001e-13,0.249546279492,37
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-50463007.2464,615867.299168,-50451104.0539,-49777618.3796,-51172202.4982,-51107106.0745,-49835572.8878,4.0,379292530185.0,0.250018051845,0.00391345630072,0.124994709051,1.7334191682000001e-13,0.125226860254,26
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-57609398.4396,1240643.26094,-57080971.6567,-56825312.8503,-59450337.5946,-59119868.4138,-56838725.9614,4.0,1539195700910.0,0.250018051845,0.00782714037597,0.249996693157,1.7334191682000001e-13,0.125226860254,31
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-69040484.7423,83941.1626877,-69021291.1713,-68972110.8728,-69147245.7539,-69135330.9289,-68972509.5552,4.0,7046118793.37,0.124990974078,0.00195655946116,0.125001984106,1.7334191682000001e-13,0.125226860254,21
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-105837065.291,1216086.72246,-106207136.752,-104164131.181,-106769856.48,-106759988.639,-104396041.899,4.0,1478866916540.0,0.250018051845,0.0155975623434,0.249996693157,1.7334191682000001e-13,0.249546279492,58
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-128476618.9,1078435.2715,-128959683.141,-126867956.003,-129119153.314,-129110864.124,-127166083.738,4.0,1163022634810.0,0.250018051845,0.0155979749784,0.250003306843,1.7334191682000001e-13,0.249546279492,42
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-139336687.561,1457003.89554,-138906095.776,-138137535.182,-141397023.511,-141082895.972,-138193307.65,4.0,2122860351620.0,0.250018051845,0.00782734744372,0.250003306843,1.7334191682000001e-13,0.125226860254,36
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-155330997.823,3419455.5631,-155554612.959,-151013773.042,-159200992.331,-158777852.874,-151571081.58,4.0,11692676348000.0,0.249981948155,0.00782578236135,0.124994709051,1.7334191682000001e-13,0.250453720508,79
