smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1036912931.14,51194.5693407,1036916656.55,1036968152.01,1036850259.45,1036857112.51,1036963534.19,4.0,2620883929.98,0.00391300505149,0.124990974078,1.7334191682000001e-13,6,0.249996693157,0.125226860254
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,954622096.862,56232.7287909,954642947.985,954661010.189,954541481.289,954554095.212,954660906.939,4.0,3162119787.27,0.00391310857042,0.124990974078,1.7334191682000001e-13,11,0.250003306843,0.125226860254
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,872167433.608,57952.4356558,872158100.75,872243102.076,872110430.855,872114353.343,872233579.874,4.0,3358484798.44,0.00391310857042,0.124990974078,1.7334191682000001e-13,16,0.250003306843,0.125226860254
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,789858904.639,163860.527182,789885606.574,790003768.528,789660636.879,789679828.012,790000598.557,4.0,26850272368.4,0.00195655946116,0.124990974078,1.7334191682000001e-13,21,0.125001984106,0.125226860254
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,709352875.859,1152333.65132,709323016.912,710606518.161,708158951.45,708228306.53,710519247.713,4.0,1327872843970.0,0.0155975623434,0.250018051845,1.7334191682000001e-13,32,0.249996693157,0.249546279492
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,629853336.667,1146380.82499,629794424.25,631222040.631,628602457.538,628706434.528,631082716.191,4.0,1314188995900.0,0.00391345630072,0.250018051845,1.7334191682000001e-13,26,0.124994709051,0.125226860254
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,627352084.607,1840496.21564,627461659.812,628997420.19,625487598.615,625572776.956,628977986.971,4.0,3387426319800.0,0.0155979749784,0.250018051845,1.7334191682000001e-13,37,0.250003306843,0.249546279492
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,600424911.62,1836486.10072,599847318.3,602997035.404,599007974.474,599037403.547,602621050.34,4.0,3372681198120.0,0.00782714037597,0.250018051845,1.7334191682000001e-13,31,0.249996693157,0.125226860254
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,543590728.013,846689.521895,543449693.225,544700593.125,542762932.478,542819250.816,544559653.914,4.0,716883146488.0,0.0155979749784,0.250018051845,1.7334191682000001e-13,42,0.250003306843,0.249546279492
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,517517503.425,706994.124359,517675308.822,518195608.731,516523787.323,516691299.416,518122779.876,4.0,499840691879.0,0.00782734744372,0.250018051845,1.7334191682000001e-13,36,0.250003306843,0.125226860254
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,468085536.528,2757499.4923,468003893.69,470839997.215,465494361.518,465561615.951,470723757.079,4.0,7603803450050.0,0.00779855422245,0.250018051845,1.7334191682000001e-13,53,0.124994709051,0.249546279492
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,462677380.316,1126559.8484,462639688.813,463757625.516,461672518.122,461682265.281,463725263.455,4.0,1269137092020.0,0.00779900812097,0.250018051845,1.7334191682000001e-13,47,0.125001984106,0.249546279492
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,434028398.731,1727177.27123,434424626.751,435476288.934,431788052.489,432052776.247,435449301.988,4.0,2983141326260.0,0.00782734744372,0.250018051845,1.7334191682000001e-13,41,0.250003306843,0.125226860254
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,385008601.664,1701100.00641,384800055.049,387221191.576,383213104.98,383378055.933,386931112.655,4.0,2893741231820.0,0.0155975623434,0.250018051845,1.7334191682000001e-13,58,0.249996693157,0.249546279492
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,349668064.306,513308.683881,349632162.596,350200888.274,349207043.756,349213551.823,350172839.181,4.0,263485804948.0,0.00391368407525,0.250018051845,1.7334191682000001e-13,46,0.125001984106,0.125226860254
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,304888392.02,1843712.73498,304362003.36,307500378.78,303329182.579,303417863.16,307095865.003,4.0,3399276649120.0,0.00779855422245,0.250018051845,1.7334191682000001e-13,52,0.124994709051,0.249546279492
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,304270464.811,2418400.85176,303167099.735,307890818.813,302856840.961,302895257.887,307190382.842,4.0,5848662679800.0,0.0155979749784,0.250018051845,1.7334191682000001e-13,63,0.250003306843,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,272124142.683,834602.670671,272094019.61,272952110.204,271356421.308,271371428.335,272919029.334,4.0,696561617891.0,0.0155975623434,0.250018051845,1.7334191682000001e-13,57,0.249996693157,0.249546279492
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,221528522.391,1167300.33928,221483935.213,222747963.016,220398256.121,220439281.713,222680185.117,4.0,1362590082080.0,0.0155979749784,0.250018051845,1.7334191682000001e-13,68,0.250003306843,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,188498306.771,1720280.05895,188595199.578,190321245.196,186481582.734,186670069.325,190190894.29,4.0,2959363481220.0,0.0155979749784,0.250018051845,1.7334191682000001e-13,62,0.250003306843,0.249546279492
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,154209381.705,4655196.59556,154236319.324,159689567.717,148675320.454,149288179.811,159092870.932,4.0,21670855343300.0,0.00782578236135,0.249981948155,1.7334191682000001e-13,79,0.124994709051,0.250453720508
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,144689293.748,2534910.95407,145321061.685,146930796.771,141184254.853,141690076.098,146804036.287,4.0,6425773545050.0,0.00391345630072,0.250018051845,1.7334191682000001e-13,51,0.124994709051,0.125226860254
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,139909647.181,2084902.258,140103851.024,142176073.865,137254812.81,137588482.37,141958926.61,4.0,4346817425420.0,0.00779900812097,0.250018051845,1.7334191682000001e-13,73,0.125001984106,0.249546279492
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,138402220.692,1074003.52342,138629702.716,139392508.741,136956968.594,137151004.129,139334962.422,4.0,1153483568330.0,0.00782714037597,0.250018051845,1.7334191682000001e-13,56,0.249996693157,0.125226860254
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,105496531.704,2443186.68922,105908598.396,107730036.282,102438893.743,102768719.768,107647450.272,4.0,5969161198370.0,0.0155979749784,0.250018051845,1.7334191682000001e-13,67,0.250003306843,0.249546279492
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,71973252.155,2088448.69018,72608261.755,73689637.7593,68986847.3506,69461831.2555,73595659.6144,4.0,4361617931500.0,0.015652020206,0.249981948155,1.7334191682000001e-13,84,0.249996693157,0.250453720508
