smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1042015286.92,49917.5469227,1042001391.61,1042086622.87,1041971741.58,1041975106.85,1042074920.43,4.0,2491761490.78,1.7334191682000001e-13,0.00391300505149,6,0.125226860254,0.249996693157,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,964654033.067,114951.116605,964623512.797,964806927.324,964562179.351,964563187.84,964787606.673,4.0,13213759208.8,1.7334191682000001e-13,0.00391310857042,11,0.125226860254,0.250003306843,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,887312361.451,86643.5325022,887342231.221,887379694.107,887185289.256,887208037.751,887374867.474,4.0,7507101724.47,1.7334191682000001e-13,0.00391310857042,16,0.125226860254,0.250003306843,0.124990974078
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,872534137.973,2361838.95325,872799911.827,875080092.041,869456636.195,869873229.731,874822962.818,4.0,5578283241080.0,1.7334191682000001e-13,0.0155975623434,32,0.249546279492,0.249996693157,0.250018051845
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,810154400.378,166976.010467,810103652.04,810392689.169,810017608.265,810024706.764,810355141.667,4.0,27880988071.6,1.7334191682000001e-13,0.00195655946116,21,0.125226860254,0.125001984106,0.124990974078
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,799963501.865,1964246.94026,800661339.687,801459604.243,797071723.844,797608909.313,801341121.467,4.0,3858266042330.0,1.7334191682000001e-13,0.00782714037597,31,0.125226860254,0.249996693157,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,794713749.02,1452717.51613,794904130.133,796065571.962,792981163.853,793142798.988,796018165.495,4.0,2110388181680.0,1.7334191682000001e-13,0.0155979749784,37,0.249546279492,0.250003306843,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,788918924.653,2615186.1286,788723616.928,791860172.573,786368292.183,786477762.679,791633517.443,4.0,6839198487230.0,1.7334191682000001e-13,0.00391345630072,26,0.125226860254,0.124994709051,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,787942518.075,3465806.48428,788736843.623,791239045.324,783057339.731,783887663.685,790885316.698,4.0,12011814586500.0,1.7334191682000001e-13,0.00779855422245,53,0.249546279492,0.124994709051,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,721697079.843,1679726.14946,721536371.473,723567649.923,720147926.503,720188023.347,723431128.057,4.0,2821479937160.0,1.7334191682000001e-13,0.00782734744372,36,0.125226860254,0.250003306843,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,719823663.922,2325048.3535,719061367.232,723096764.801,718075156.421,718102859.08,722611684.129,4.0,5405849846100.0,1.7334191682000001e-13,0.0155979749784,42,0.249546279492,0.250003306843,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,708669726.989,1227794.42419,709025446.608,709716768.487,706911246.254,707198224.039,709643222.473,4.0,1507479148070.0,1.7334191682000001e-13,0.0155975623434,58,0.249546279492,0.249996693157,0.250018051845
