smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-697870796.65,1212504.35358,-697916762.438,-696400569.371,-699249092.356,-699111543.216,-696565697.983,4.0,1470166807450.0,1.7334191682000001e-13,11,0.124990974078,0.250003306843,0.125226860254,0.00391310857042
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-699006019.703,390046.10741,-698970235.181,-698602838.118,-699480770.329,-699431418.938,-698630718.797,4.0,152135965906.0,1.7334191682000001e-13,6,0.124990974078,0.249996693157,0.125226860254,0.00391300505149
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-701180347.449,1147397.65464,-700915858.326,-700229976.902,-702659696.242,-702487994.098,-700242985.572,4.0,1316521377870.0,1.7334191682000001e-13,16,0.124990974078,0.250003306843,0.125226860254,0.00391310857042
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-706948874.244,2097251.77008,-706363482.032,-705122899.682,-709945633.228,-709455181.573,-705262116.011,4.0,4398464987100.0,1.7334191682000001e-13,21,0.124990974078,0.125001984106,0.125226860254,0.00195655946116
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-985435459.931,1609112.71261,-985877066.617,-983124713.039,-986862993.449,-986716926.446,-983535744.053,4.0,2589243721880.0,1.7334191682000001e-13,37,0.250018051845,0.250003306843,0.249546279492,0.0155979749784
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-986216977.696,1724440.98848,-986344261.822,-984321035.982,-987858351.156,-987802263.604,-984453494.01,4.0,2973696722740.0,1.7334191682000001e-13,32,0.250018051845,0.249996693157,0.249546279492,0.0155975623434
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-989260468.861,1155033.34063,-988973632.777,-988314306.128,-990780303.764,-990593666.224,-988328842.018,4.0,1334102017960.0,1.7334191682000001e-13,42,0.250018051845,0.250003306843,0.249546279492,0.0155979749784
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-999466748.497,1564502.23646,-999459993.158,-997746284.365,-1001200723.31,-1001064043.51,-997878910.96,4.0,2447667247890.0,1.7334191682000001e-13,47,0.250018051845,0.125001984106,0.249546279492,0.00779900812097
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1071078726.63,3621200.97516,-1071926984.66,-1066461834.9,-1073999102.28,-1073989331.37,-1066980560.64,4.0,13113096502500.0,1.7334191682000001e-13,31,0.250018051845,0.249996693157,0.125226860254,0.00782714037597
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1081126709.81,1536412.4734,-1081217849.51,-1079161186.48,-1082909953.73,-1082671811.53,-1079454012.5,4.0,2360563288430.0,1.7334191682000001e-13,36,0.250018051845,0.250003306843,0.125226860254,0.00782734744372
