smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1166692550.13,43877.9827422,1166688539.35,1166744998.95,1166648122.86,1166650799.52,1166739915.83,4.0,1925277369.53,6,0.00391300505149,0.249996693157,1.7334191682000001e-13,0.125226860254,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1087024983.74,150596.339216,1087021586.11,1087212745.5,1086844017.23,1086870295.55,1087184428.6,4.0,22679257385.1,11,0.00391310857042,0.250003306843,1.7334191682000001e-13,0.125226860254,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1007378849.67,180986.681004,1007369708.62,1007606343.19,1007169638.26,1007194262.68,1007576234.13,4.0,32756178700.8,16,0.00391310857042,0.250003306843,1.7334191682000001e-13,0.125226860254,0.124990974078
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,935976340.627,851108.805448,935770847.209,937140490.083,935223178.009,935262087.052,936978284.989,4.0,724386198710.0,32,0.0155975623434,0.249996693157,1.7334191682000001e-13,0.249546279492,0.250018051845
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,927896503.088,207332.543526,927921472.546,928107015.817,927636051.441,927665632.798,928092416.135,4.0,42986783605.2,21,0.00195655946116,0.125001984106,1.7334191682000001e-13,0.125226860254,0.124990974078
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,857676790.168,1724009.26464,857780313.751,859538288.13,855608245.039,855820256.051,859388391.268,4.0,2972207944570.0,37,0.0155979749784,0.250003306843,1.7334191682000001e-13,0.249546279492,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,844002174.945,1352096.13982,843752534.179,845822048.944,842681582.477,842783749.752,845570097.21,4.0,1828163971330.0,26,0.00391345630072,0.124994709051,1.7334191682000001e-13,0.125226860254,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,834764628.699,1555702.66146,834814016.378,836591266.734,832839215.305,833086606.978,836373507.669,4.0,2420210770860.0,31,0.00782714037597,0.249996693157,1.7334191682000001e-13,0.125226860254,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,789752789.45,1268276.97767,790089309.352,790868321.345,787964217.749,788241130.677,790793320.359,4.0,1608526492080.0,53,0.00779855422245,0.124994709051,1.7334191682000001e-13,0.249546279492,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,777676112.421,1842647.54491,778036268.787,779391456.247,775240455.862,775551049.491,779296956.438,4.0,3395349974750.0,42,0.0155979749784,0.250003306843,1.7334191682000001e-13,0.249546279492,0.250018051845
