smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,505746580.808,1288018.70013,505583003.064,507463497.382,504356819.723,504518442.379,507203728.079,4.0,1658992171890.0,3.46688419418e-13,0.250018051845,0.249992724848,0.125226860254,0.0078270161323,31
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,478847841.329,539393.636109,478859698.736,479388100.88,478283866.963,478315887.907,479363194.381,4.0,290945494674.0,3.46688419418e-13,0.250018051845,0.12498974865,0.125226860254,0.00391330099566,26
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,461034943.004,1320191.77536,461137152.785,462499574.932,459365891.515,459575762.792,462351029.524,4.0,1742906323740.0,3.46688419418e-13,0.250018051845,0.250007275152,0.125226860254,0.00782747168739,36
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,453310246.259,1806615.81909,453347544.168,454907810.449,451638086.253,451670998.159,454897277.289,4.0,3263860717800.0,3.46688419418e-13,0.250018051845,0.12498974865,0.249546279492,0.00779824473773,53
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,414042224.133,1823163.49586,413779917.304,416394586.048,412214475.877,412345374.705,416106303.122,4.0,3323925132640.0,3.46688419418e-13,0.250018051845,0.250007275152,0.125226860254,0.00782747168739,41
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,408392628.481,3344759.2654,408353849.629,412218764.374,404644050.29,404966498.997,411873048.356,4.0,11187414543500.0,3.46688419418e-13,0.250018051845,0.249992724848,0.249546279492,0.0155973147564,58
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,367935049.254,868271.204445,368032956.867,368763881.347,366910401.936,367003362.759,368729665.092,4.0,753894884468.0,3.46688419418e-13,0.250018051845,0.125002976198,0.125226860254,0.00391371513664,46
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,364153382.632,1904726.44376,364605702.304,365884034.967,361518090.954,361903663.468,365769854.256,4.0,3627982825580.0,3.46688419418e-13,0.250018051845,0.250007275152,0.249546279492,0.0155982225654,63
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,317938113.378,2663249.32377,317526495.068,321462579.713,315236883.663,315463107.946,320989384.444,4.0,7092896960560.0,3.46688419418e-13,0.250018051845,0.250007275152,0.249546279492,0.0155982225654,68
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,310166236.281,2987778.84899,310065232.139,313679199.72,306855281.127,307139572.905,313334305.457,4.0,8926822450470.0,3.46688419418e-13,0.250018051845,0.249992724848,0.249546279492,0.0155973147564,57
