smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1427106279.28,593475.639311,-1427106279.28,-1426686628.63,-1427525929.93,-1427483964.86,-1426728593.69,2.0,352213334456.0,0.0014581121704,2.43433201164e-13,0.0714516129032,0.142848912404,73,0.142857142857
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1449583745.17,228933.319892,-1449583745.17,-1449421864.87,-1449745625.47,-1449729437.44,-1449438052.9,2.0,52410464956.8,0.000728990076317,2.43433201164e-13,0.0714516129032,0.071417989418,65,0.142857142857
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1457357242.67,2385391.61347,-1457357242.67,-1455670516.09,-1459043969.26,-1458875296.6,-1455839188.75,2.0,5690093149600.0,0.00145823218654,2.43433201164e-13,0.0714516129032,0.142860670194,81,0.142857142857
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1486670406.45,585662.877754,-1486670406.45,-1486256280.26,-1487084532.64,-1487043120.02,-1486297692.88,2.0,343001006379.0,0.00145823218654,2.43433201164e-13,0.0714516129032,0.142860670194,89,0.142857142857
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1502707473.18,470713.439634,-1502707473.18,-1502374628.52,-1503040317.85,-1503007033.38,-1502407912.98,2.0,221571142252.0,0.00145715736474,2.43433201164e-13,0.142822580645,0.071417989418,131,0.142857142857
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1514656030.53,1801961.80034,-1514656030.53,-1513381851.12,-1515930209.94,-1515802791.99,-1513509269.06,2.0,3247066329880.0,0.00145823218654,2.43433201164e-13,0.0714516129032,0.142860670194,97,0.142857142857
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1533209265.33,9683.54921685,-1533209265.33,-1533202418.03,-1533216112.63,-1533215427.9,-1533203102.76,2.0,93771125.4352,0.00291457861599,2.43433201164e-13,0.142822580645,0.142848912404,139,0.142857142857
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1544973922.08,376927.383382,-1544973922.08,-1544707394.18,-1545240449.99,-1545213797.2,-1544734046.97,2.0,142074252343.0,0.00145822018493,2.43433201164e-13,0.0714516129032,0.142859494415,105,0.142857142857
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1559975523.52,1446156.34759,-1559975523.52,-1558952936.56,-1560998110.48,-1560895851.79,-1559055195.26,2.0,2091368181670.0,0.00291481851283,2.43433201164e-13,0.142822580645,0.142860670194,147,0.142857142857
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1573726511.71,597784.562306,-1573726511.71,-1573303814.19,-1574149209.22,-1574106939.47,-1573346083.94,2.0,357346382932.0,0.00145823218654,2.43433201164e-13,0.0714516129032,0.142860670194,113,0.142857142857
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1587201653.29,3221281.10951,-1587201653.29,-1584923863.57,-1589479443.01,-1589251664.04,-1585151642.55,2.0,10376651986500.0,0.00291457861599,2.43433201164e-13,0.142822580645,0.142848912404,138,0.142857142857
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1590099412.63,4397610.03077,-1590099412.63,-1586989832.75,-1593208992.5,-1592898034.51,-1587300790.74,2.0,19338973982700.0,0.00291481851283,2.43433201164e-13,0.142822580645,0.142860670194,155,0.142857142857
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1603599990.92,3010389.28973,-1603599990.92,-1601471324.24,-1605728657.6,-1605515790.93,-1601684190.9,2.0,9062443675750.0,0.000729122094079,2.43433201164e-13,0.0714516129032,0.0714309229865,121,0.142857142857
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1609504591.98,1552723.94112,-1609504591.98,-1608406650.35,-1610602533.61,-1610492739.45,-1608516444.52,2.0,2410951637320.0,0.00145715736474,2.43433201164e-13,0.142822580645,0.071417989418,130,0.142857142857
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1616421352.01,2531792.14334,-1616421352.01,-1614631104.61,-1618211599.4,-1618032574.66,-1614810129.35,2.0,6409971457070.0,0.00291481851283,2.43433201164e-13,0.142822580645,0.142860670194,146,0.142857142857
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1619072806.1,720704.571168,-1619072806.1,-1618563191.01,-1619582421.19,-1619531459.68,-1618614152.52,2.0,519415078902.0,0.00291481851283,2.43433201164e-13,0.142822580645,0.142860670194,163,0.142857142857
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1646129459.42,1205977.44446,-1646129459.42,-1645276704.59,-1646982214.25,-1646896938.76,-1645361980.07,2.0,1454381596550.0,0.00291481851283,2.43433201164e-13,0.142822580645,0.142860670194,154,0.142857142857
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1647123434.08,1216436.28643,-1647123434.08,-1646263283.73,-1647983584.43,-1647897569.39,-1646349298.77,2.0,1479717238950.0,0.00291479452315,2.43433201164e-13,0.142822580645,0.142859494415,171,0.142857142857
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1653318955.83,4344829.47518,-1653318955.83,-1650246697.45,-1656391214.22,-1656083988.38,-1650553923.29,2.0,18877543168400.0,0.0014581121704,2.43433201164e-13,0.0714516129032,0.142848912404,137,0.142857142857
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1675871854.17,2484647.75173,-1675871854.17,-1674114942.89,-1677628765.44,-1677453074.31,-1674290634.02,2.0,6173474450180.0,0.00291481851283,2.43433201164e-13,0.142822580645,0.142860670194,162,0.142857142857
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1677236572.1,3409873.72019,-1677236572.1,-1674825427.27,-1679647716.93,-1679406602.45,-1675066541.75,2.0,11627238787600.0,0.00291481851283,2.43433201164e-13,0.142822580645,0.142860670194,179,0.142857142857
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1683449147.82,1602365.45672,-1683449147.82,-1682316104.34,-1684582191.3,-1684468886.95,-1682429408.68,2.0,2567575056900.0,0.00145823218654,2.43433201164e-13,0.0714516129032,0.142860670194,145,0.142857142857
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1705496655.95,1580969.08195,-1705496655.95,-1704378741.99,-1706614569.91,-1706502778.52,-1704490533.39,2.0,2499463238070.0,0.00291479452315,2.43433201164e-13,0.142822580645,0.142859494415,170,0.142857142857
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1712957944.33,2213979.71485,-1712957944.33,-1711392424.26,-1714523464.4,-1714366912.4,-1711548976.27,2.0,4901706177780.0,0.000728990076317,2.43433201164e-13,0.0714516129032,0.071417989418,129,0.142857142857
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1714799386.7,346513.742794,-1714799386.7,-1714554364.48,-1715044408.91,-1715019906.69,-1714578866.7,2.0,120071773945.0,0.00145823218654,2.43433201164e-13,0.0714516129032,0.142860670194,153,0.142857142857
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1735246227.23,1517411.37409,-1735246227.23,-1734173255.35,-1736319199.1,-1736211901.91,-1734280552.54,2.0,2302537278230.0,0.00291481851283,2.43433201164e-13,0.142822580645,0.142860670194,178,0.142857142857
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1745683432.29,682718.899047,-1745683432.29,-1745200677.12,-1746166187.45,-1746117911.93,-1745248952.64,2.0,466105095116.0,0.00145823218654,2.43433201164e-13,0.0714516129032,0.142860670194,161,0.142857142857
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1773315170.97,275289.389286,-1773315170.97,-1773120511.98,-1773509829.96,-1773490364.06,-1773139977.88,2.0,75784247853.5,0.00145822018493,2.43433201164e-13,0.0714516129032,0.142859494415,169,0.142857142857
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1800724363.12,602707.605341,-1800724363.12,-1800298184.48,-1801150541.75,-1801107923.89,-1800340802.35,2.0,363256457536.0,0.00145823218654,2.43433201164e-13,0.0714516129032,0.142860670194,177,0.142857142857
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1831039018.55,2417932.23245,-1831039018.55,-1829329282.27,-1832748754.82,-1832577781.2,-1829500255.9,2.0,5846396280730.0,0.000729122094079,2.43433201164e-13,0.0714516129032,0.0714309229865,185,0.142857142857
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3737259368.59,0.0,-3737259368.59,-3737259368.59,-3737259368.59,-3737259368.59,-3737259368.59,2.0,0.0,0.000364495038159,2.43433201164e-13,0.0714516129032,0.071417989418,1,0.0714285714286
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3766375446.01,0.0,-3766375446.01,-3766375446.01,-3766375446.01,-3766375446.01,-3766375446.01,2.0,0.0,0.000729056085198,2.43433201164e-13,0.0714516129032,0.142848912404,9,0.0714285714286
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3795496796.26,0.0,-3795496796.26,-3795496796.26,-3795496796.26,-3795496796.26,-3795496796.26,2.0,0.0,0.000729116093271,2.43433201164e-13,0.0714516129032,0.142860670194,17,0.0714285714286
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3824617667.17,0.0,-3824617667.17,-3824617667.17,-3824617667.17,-3824617667.17,-3824617667.17,2.0,0.0,0.000729116093271,2.43433201164e-13,0.0714516129032,0.142860670194,25,0.0714285714286
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3853739017.42,0.0,-3853739017.42,-3853739017.42,-3853739017.42,-3853739017.42,-3853739017.42,2.0,0.0,0.000729116093271,2.43433201164e-13,0.0714516129032,0.142860670194,33,0.0714285714286
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3882859888.32,0.0,-3882859888.32,-3882859888.32,-3882859888.32,-3882859888.32,-3882859888.32,2.0,0.0,0.000729110092464,2.43433201164e-13,0.0714516129032,0.142859494415,41,0.0714285714286
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3911980759.22,0.0,-3911980759.22,-3911980759.22,-3911980759.22,-3911980759.22,-3911980759.22,2.0,0.0,0.000729116093271,2.43433201164e-13,0.0714516129032,0.142860670194,49,0.0714285714286
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3941102109.48,0.0,-3941102109.48,-3941102109.48,-3941102109.48,-3941102109.48,-3941102109.48,2.0,0.0,0.000364561047039,2.43433201164e-13,0.0714516129032,0.0714309229865,57,0.0714285714286
720.0,-616.5,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-53422858405.9,275838.721244,-53422858405.9,-53422663358.5,-53423053453.3,-53423033948.6,-53422682863.2,2.0,76087000137.5,0.00145715736474,2.43433201164e-13,0.142822580645,0.071417989418,66,0.142857142857
720.0,-616.5,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-53450140224.6,374196.65102,-53450140224.6,-53449875627.6,-53450404821.6,-53450378361.9,-53449902087.3,2.0,140023133634.0,0.00291457861599,2.43433201164e-13,0.142822580645,0.142848912404,74,0.142857142857
720.0,-616.5,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-53480818499.8,1413527.62856,-53480818499.8,-53479818984.8,-53481818014.7,-53481718063.2,-53479918936.3,2.0,1998060356710.0,0.00291481851283,2.43433201164e-13,0.142822580645,0.142860670194,82,0.142857142857
720.0,-616.5,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-53510510170.1,166592.296927,-53510510170.1,-53510392371.6,-53510627968.6,-53510616188.8,-53510404151.4,2.0,27752993395.4,0.00291481851283,2.43433201164e-13,0.142822580645,0.142860670194,90,0.142857142857
720.0,-616.5,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-53538112453.5,1380932.53997,-53538112453.5,-53537135986.8,-53539088920.3,-53538991273.6,-53537233633.4,2.0,1906974679930.0,0.00291481851283,2.43433201164e-13,0.142822580645,0.142860670194,98,0.142857142857
720.0,-616.5,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-53567957756.8,458486.166378,-53567957756.8,-53567633558.2,-53568281955.5,-53568249535.6,-53567665978.0,2.0,210209564760.0,0.00291479452315,2.43433201164e-13,0.142822580645,0.142859494415,106,0.142857142857
720.0,-616.5,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-53597082994.2,698887.575815,-53597082994.2,-53596588806.0,-53597577182.3,-53597527763.5,-53596638224.8,2.0,488443843629.0,0.00291481851283,2.43433201164e-13,0.142822580645,0.142860670194,114,0.142857142857
720.0,-616.5,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-53626069370.2,892935.598028,-53626069370.2,-53625437969.4,-53626700771.0,-53626637630.9,-53625501109.5,2.0,797333982225.0,0.00145742125126,2.43433201164e-13,0.142822580645,0.0714309229865,122,0.142857142857
720.0,-528.0,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153457654559000.0,1216739.91788,-153457654559000.0,-153457653699000.0,-153457655420000.0,-153457655334000.0,-153457653785000.0,2.0,1480456027770.0,0.00145715736474,2.43433201164e-13,0.142822580645,0.071417989418,67,0.142857142857
720.0,-528.0,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153457680842000.0,1268292.92988,-153457680842000.0,-153457679946000.0,-153457681739000.0,-153457681650000.0,-153457680035000.0,2.0,1608566955990.0,0.00291457861599,2.43433201164e-13,0.142822580645,0.142848912404,75,0.142857142857
720.0,-528.0,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153457713637000.0,208383.926474,-153457713637000.0,-153457713489000.0,-153457713784000.0,-153457713769000.0,-153457713504000.0,2.0,43423860812.7,0.00291481851283,2.43433201164e-13,0.142822580645,0.142860670194,83,0.142857142857
720.0,-528.0,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153457742179000.0,623995.925,-153457742179000.0,-153457741737000.0,-153457742620000.0,-153457742576000.0,-153457741781000.0,2.0,389370914416.0,0.00291481851283,2.43433201164e-13,0.142822580645,0.142860670194,91,0.142857142857
720.0,-528.0,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153457769366000.0,895213.912477,-153457769366000.0,-153457768733000.0,-153457769999000.0,-153457769936000.0,-153457768796000.0,2.0,801407949092.0,0.00291481851283,2.43433201164e-13,0.142822580645,0.142860670194,99,0.142857142857
720.0,-528.0,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153457797489000.0,3620976.91077,-153457797489000.0,-153457794928000.0,-153457800049000.0,-153457799793000.0,-153457795184000.0,2.0,13111473788300.0,0.00291479452315,2.43433201164e-13,0.142822580645,0.142859494415,107,0.142857142857
720.0,-528.0,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153457828671000.0,42634.1415853,-153457828671000.0,-153457828641000.0,-153457828701000.0,-153457828698000.0,-153457828644000.0,2.0,1817670028.71,0.00291481851283,2.43433201164e-13,0.142822580645,0.142860670194,115,0.142857142857
720.0,-528.0,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153457857373000.0,1265654.69238,-153457857373000.0,-153457856478000.0,-153457858268000.0,-153457858178000.0,-153457856567000.0,2.0,1601881800350.0,0.00145742125126,2.43433201164e-13,0.142822580645,0.0714309229865,123,0.142857142857
720.0,-439.4,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153507337439000.0,261306.692696,-153507337439000.0,-153507337255000.0,-153507337624000.0,-153507337606000.0,-153507337273000.0,2.0,68281187647.9,0.00145798015263,2.43433201164e-13,0.142903225806,0.071417989418,132,0.142857142857
720.0,-439.4,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153507365708000.0,2189336.72387,-153507365708000.0,-153507364160000.0,-153507367257000.0,-153507367102000.0,-153507364315000.0,2.0,4793195290490.0,0.00291622434079,2.43433201164e-13,0.142903225806,0.142848912404,140,0.142857142857
720.0,-439.4,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153507396362000.0,1248776.00932,-153507396362000.0,-153507395479000.0,-153507397245000.0,-153507397157000.0,-153507395567000.0,2.0,1559441521460.0,0.00291646437308,2.43433201164e-13,0.142903225806,0.142860670194,148,0.142857142857
720.0,-439.4,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153507427333000.0,1698398.5182,-153507427333000.0,-153507426132000.0,-153507428534000.0,-153507428414000.0,-153507426252000.0,2.0,2884557526620.0,0.00291646437308,2.43433201164e-13,0.142903225806,0.142860670194,156,0.142857142857
720.0,-439.4,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153507451389000.0,2273072.37519,-153507451389000.0,-153507449782000.0,-153507452996000.0,-153507452836000.0,-153507449942000.0,2.0,5166858022850.0,0.00291646437308,2.43433201164e-13,0.142903225806,0.142860670194,164,0.142857142857
720.0,-439.4,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153507480635000.0,1268221.64468,-153507480635000.0,-153507479738000.0,-153507481532000.0,-153507481442000.0,-153507479828000.0,2.0,1608386140030.0,0.00291644036986,2.43433201164e-13,0.142903225806,0.142859494415,172,0.142857142857
720.0,-439.4,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153507511271000.0,494785.971417,-153507511271000.0,-153507510921000.0,-153507511621000.0,-153507511586000.0,-153507510956000.0,2.0,244813157511.0,0.00291646437308,2.43433201164e-13,0.142903225806,0.142860670194,180,0.142857142857
720.0,-439.4,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153507538297000.0,2164287.37776,-153507538297000.0,-153507536767000.0,-153507539828000.0,-153507539675000.0,-153507536920000.0,2.0,4684139853530.0,0.00145824418816,2.43433201164e-13,0.142903225806,0.0714309229865,188,0.142857142857
720.0,-616.5,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153581307308000.0,425537.855287,-153581307308000.0,-153581307007000.0,-153581307609000.0,-153581307579000.0,-153581307037000.0,2.0,181082466282.0,0.000728578682369,2.43433201164e-13,0.142822580645,0.071417989418,2,0.0714285714286
720.0,-616.5,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153581336932000.0,99402.4638429,-153581336932000.0,-153581336862000.0,-153581337002000.0,-153581336995000.0,-153581336869000.0,2.0,9880849818.05,0.001457289308,2.43433201164e-13,0.142822580645,0.142848912404,10,0.0714285714286
720.0,-616.5,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153581365883000.0,1223197.50427,-153581365883000.0,-153581365018000.0,-153581366748000.0,-153581366661000.0,-153581365104000.0,2.0,1496212134450.0,0.00145740925641,2.43433201164e-13,0.142822580645,0.142860670194,18,0.0714285714286
720.0,-616.5,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153581394434000.0,235277.296586,-153581394434000.0,-153581394268000.0,-153581394600000.0,-153581394584000.0,-153581394284000.0,2.0,55355406288.7,0.00145740925641,2.43433201164e-13,0.142822580645,0.142860670194,26,0.0714285714286
720.0,-616.5,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-153581423539000.0,521403.901341,-153581423539000.0,-153581423171000.0,-153581423908000.0,-153581423871000.0,-153581423207000.0,2.0,271862028333.0,0.00145740925641,2.43433201164e-13,0.142822580645,0.142860670194,34,0.0714285714286
