smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight-htse_capacity
1200.0,-885.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1067655555.66,2131284.11793,-1066657513.45,-1066458685.98,-1070848509.74,-1070229037.73,-1066479332.67,4.0,4542371991330.0,0.000771611513037,0.0555555555556,0.125001065112,42,4.6512022819799996e-14,0.111111111111
1200.0,-885.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1070660966.34,3799972.67885,-1069798538.33,-1067041755.35,-1076005033.36,-1075118311.95,-1067411019.95,4.0,14439792360000.0,0.00154322302607,0.0555555555556,0.250002130224,32,4.6512022819799996e-14,0.111111111111
1200.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1094753921.92,2676276.2154,-1094445307.46,-1091990804.91,-1098134267.85,-1097739503.06,-1092200401.02,4.0,7162454381100.0,0.000771612974096,0.0555555555556,0.250002603607,21,4.6512022819799996e-14,0.0555555555556
1200.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1095104023.44,1599253.64656,-1095252125.84,-1093069634.46,-1096842207.61,-1096676328.91,-1093324374.6,4.0,2557612226030.0,0.000771611513037,0.0555555555556,0.250002130224,31,4.6512022819799996e-14,0.0555555555556
1200.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1100267292.68,2034263.94234,-1099326279.67,-1099103110.37,-1103313501.01,-1102725464.89,-1099126538.69,4.0,4138229787100.0,0.000771598363506,0.0555555555556,0.249997869776,11,4.6512022819799996e-14,0.0555555555556
1200.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1101106083.91,2873742.2797,-1101215141.31,-1098322845.92,-1103671207.08,-1103645262.79,-1098414224.65,4.0,8258394690110.0,0.000385805756518,0.0555555555556,0.125001065112,41,4.6512022819799996e-14,0.0555555555556
1200.0,-785.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1269013734.74,2728441.36115,-1269952374.63,-1265008419.37,-1271141770.31,-1270963434.92,-1265749938.7,4.0,7444392261230.0,0.00154322302607,0.111111111111,0.125001065112,93,4.6512022819799996e-14,0.111111111111
1200.0,-785.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1270309697.96,3605661.06409,-1271206339.61,-1265223290.25,-1273602822.38,-1273330700.39,-1266033397.23,4.0,13000791709100.0,0.00308644605215,0.111111111111,0.250002130224,83,4.6512022819799996e-14,0.111111111111
1200.0,-885.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1297746592.08,1482870.12365,-1297448000.5,-1296295354.6,-1299795012.72,-1299479129.28,-1296432083.1,4.0,2198903803630.0,0.00308645189638,0.111111111111,0.250002603607,72,4.6512022819799996e-14,0.111111111111
1200.0,-885.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1299037726.17,5810444.94671,-1297612460.67,-1293639780.87,-1307286202.48,-1305857858.42,-1294212965.63,4.0,33761270478800.0,0.00308644605215,0.111111111111,0.250002130224,82,4.6512022819799996e-14,0.111111111111
