smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,423959144.663,53193.9478419,423955829.943,424026770.476,423898148.29,423905405.436,424017524.499,4.0,2829596087.01,0.125226860254,0.249996693157,6,0.00391300505149,1.7334191682000001e-13,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,344003879.067,111110.750041,344006225.124,344113351.146,343889714.875,343895568.499,344108905.157,4.0,12345598774.8,0.125226860254,0.250003306843,11,0.00391310857042,1.7334191682000001e-13,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,264091100.849,165009.125858,264082641.923,264252046.891,263947072.66,263947595.218,264246448.977,4.0,27228011616.3,0.125226860254,0.250003306843,16,0.00391310857042,1.7334191682000001e-13,0.124990974078
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,235628574.528,2527764.23322,236322171.327,237853979.539,232015975.919,232614078.177,237672035.361,4.0,6389592018750.0,0.249546279492,0.249996693157,32,0.0155975623434,1.7334191682000001e-13,0.250018051845
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,184127084.438,303891.40672,184140184.367,184442023.301,183785945.717,183812854.103,184422974.872,4.0,92349987078.3,0.125226860254,0.125001984106,21,0.00195655946116,1.7334191682000001e-13,0.124990974078
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,155221076.073,975157.725136,155309453.859,156122572.19,154142824.384,154219351.228,156099072.017,4.0,950932588892.0,0.125226860254,0.124994709051,26,0.00391345630072,1.7334191682000001e-13,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,154341719.359,607525.731832,154488271.794,154909760.098,153480573.748,153630871.568,154847393.74,4.0,369087514838.0,0.249546279492,0.250003306843,37,0.0155979749784,1.7334191682000001e-13,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,145028429.288,1986565.1646,144532366.293,147602420.071,143446564.497,143451419.833,147299926.937,4.0,3946441153210.0,0.125226860254,0.249996693157,31,0.00782714037597,1.7334191682000001e-13,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,130281818.924,931410.711565,130528169.682,131098823.226,128972113.105,129172254.211,131046492.575,4.0,867525913618.0,0.249546279492,0.124994709051,53,0.00779855422245,1.7334191682000001e-13,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,75164337.26,1959298.92491,76007784.0418,76401289.5118,72240491.4446,72792670.2303,76355178.7952,4.0,3838852277130.0,0.249546279492,0.250003306843,42,0.0155979749784,1.7334191682000001e-13,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,65372829.4553,1039952.53928,65152735.3279,66825319.7394,64360527.426,64467201.4013,66586589.2876,4.0,1081501283960.0,0.125226860254,0.250003306843,36,0.00782734744372,1.7334191682000001e-13,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,48795786.47,1264301.66522,48873687.3942,49934544.0127,47501227.079,47564375.7873,49918135.8589,4.0,1598458700680.0,0.249546279492,0.249996693157,58,0.0155975623434,1.7334191682000001e-13,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-4317860.07606,1426009.98964,-4669387.00932,-2342417.44867,-5590248.83694,-5513236.45205,-2630345.99351,4.0,2033504490540.0,0.249546279492,0.125001984106,47,0.00779900812097,1.7334191682000001e-13,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-16034173.8787,693344.965172,-15849355.8847,-15412639.5838,-17025344.1615,-16856552.363,-15470540.5859,4.0,480727240729.0,0.125226860254,0.250003306843,41,0.00782734744372,1.7334191682000001e-13,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-29190871.9394,3171719.5132,-28003881.7025,-27001243.5079,-33754480.8448,-33031822.7028,-27011707.5077,4.0,10059804670400.0,0.249546279492,0.124994709051,52,0.00779855422245,1.7334191682000001e-13,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-31147890.1386,2093986.46096,-31641221.2055,-28340054.0255,-32969064.118,-32898353.2242,-28706763.5595,4.0,4384779298670.0,0.249546279492,0.250003306843,63,0.0155979749784,1.7334191682000001e-13,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-45663338.5425,3430206.5438,-44543121.4316,-43004124.3047,-50562987.0022,-49798755.2473,-43096225.7931,4.0,11766316933200.0,0.249546279492,0.249996693157,57,0.0155975623434,1.7334191682000001e-13,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-46937695.4064,4841177.25084,-45501258.2126,-42818036.8802,-53930228.3205,-52725618.3124,-43160784.572,4.0,23436997174000.0,0.250453720508,0.124994709051,79,0.00782578236135,1.7334191682000001e-13,0.249981948155
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-97935160.7818,538206.042453,-97832871.6445,-97408968.949,-98665930.8891,-98561420.5575,-97452105.7983,4.0,289665744133.0,0.125226860254,0.125001984106,46,0.00391368407525,1.7334191682000001e-13,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-109596518.195,3084539.52526,-108712308.392,-107045928.644,-113915527.354,-113278141.33,-107152788.785,4.0,9514384082910.0,0.249546279492,0.250003306843,68,0.0155979749784,1.7334191682000001e-13,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-125500776.527,4190502.55304,-125562137.646,-121202551.1,-129676279.715,-129493431.537,-121422215.949,4.0,17560311647000.0,0.249546279492,0.250003306843,62,0.0155979749784,1.7334191682000001e-13,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-128583401.412,2841412.00751,-129021839.971,-124752410.92,-131537514.786,-131229968.854,-125323019.987,4.0,8073622196450.0,0.250453720508,0.249996693157,84,0.015652020206,1.7334191682000001e-13,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-164487311.435,901710.072384,-164305052.095,-163616621.861,-165722519.688,-165541536.122,-163688249.823,4.0,813081054639.0,0.125226860254,0.249996693157,56,0.00782714037597,1.7334191682000001e-13,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-189293425.885,1442785.83871,-189217502.41,-187889481.452,-190849217.269,-190748406.021,-187944738.614,4.0,2081630976380.0,0.249546279492,0.125001984106,73,0.00779900812097,1.7334191682000001e-13,0.250018051845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-192919672.723,2111031.81913,-192461320.623,-190912096.105,-195843953.538,-195400849.883,-191080188.502,4.0,4456455341370.0,0.125226860254,0.124994709051,51,0.00391345630072,1.7334191682000001e-13,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-205923078.86,1344483.64406,-206438469.479,-203951310.12,-206864066.363,-206836711.749,-204287899.105,4.0,1807636269160.0,0.249546279492,0.250003306843,67,0.0155979749784,1.7334191682000001e-13,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-208036157.392,3576096.64463,-207245629.077,-204637197.947,-213016173.465,-212243182.41,-204935872.013,4.0,12788467211700.0,0.250453720508,0.250003306843,89,0.0156524342817,1.7334191682000001e-13,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-213657387.116,4580648.31497,-213363731.277,-208431803.369,-219470282.541,-218691698.162,-209034194.245,4.0,20982338985400.0,0.249546279492,0.124994709051,78,0.00779742807743,1.7334191682000001e-13,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-216144515.313,3675434.45981,-216704265.823,-211457447.585,-219712082.02,-219502862.846,-212002517.065,4.0,13508818468400.0,0.125226860254,0.124994709051,105,0.00195644559034,1.7334191682000001e-13,0.124990974078
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-233939104.988,2734713.42297,-233573092.073,-231087549.26,-237522686.546,-237046175.87,-231344452.187,4.0,7478657505780.0,0.249546279492,0.249996693157,83,0.0155953099878,1.7334191682000001e-13,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-247587526.532,3859594.65907,-246718534.548,-243953142.946,-252959894.086,-252135339.009,-244256302.832,4.0,14896470932300.0,0.125226860254,0.250003306843,61,0.00782734744372,1.7334191682000001e-13,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-289791100.713,3061581.11316,-290575971.186,-285425141.214,-292587319.267,-292294712.094,-286188670.67,4.0,9373278912480.0,0.249546279492,0.125001984106,72,0.00779900812097,1.7334191682000001e-13,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-289856219.84,3017073.16047,-289855282.278,-286470950.981,-293243363.824,-292957014.725,-286756737.542,4.0,9102730455650.0,0.250453720508,0.250003306843,94,0.0156524342817,1.7334191682000001e-13,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-293629366.382,4253856.65897,-294515740.213,-287945472.907,-297540512.193,-297326582.215,-288691227.183,4.0,18095296475000.0,0.125226860254,0.249996693157,110,0.00391300505149,1.7334191682000001e-13,0.124990974078
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-315346841.828,4423410.26183,-315037545.936,-310504684.61,-320807590.83,-320184928.512,-310941769.392,4.0,19566558344400.0,0.249546279492,0.250003306843,88,0.0155957225633,1.7334191682000001e-13,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-330052859.078,1394524.86261,-329952960.921,-328451839.577,-331853674.892,-331578018.067,-328667557.508,4.0,1944699592430.0,0.125226860254,0.250003306843,66,0.00782734744372,1.7334191682000001e-13,0.250018051845
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-367006029.244,5098581.53634,-365341111.951,-362943308.592,-374398584.485,-373160297.349,-363182645.351,4.0,25995533682700.0,0.249546279492,0.249996693157,82,0.0155953099878,1.7334191682000001e-13,0.249981948155
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-367053859.266,4128296.1328,-368530570.77,-360974429.007,-370179866.518,-369952523.833,-362087798.595,4.0,17042828960100.0,0.250453720508,0.125001984106,99,0.00782623784463,1.7334191682000001e-13,0.249981948155
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-370813373.028,2817077.66861,-370149072.434,-368344894.589,-374610452.653,-374106040.598,-368450726.289,4.0,7935926590990.0,0.249546279492,0.124994709051,77,0.00779742807743,1.7334191682000001e-13,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-374555403.407,4785621.01791,-375347009.47,-368012600.44,-379514994.248,-378912891.975,-369089666.351,4.0,22902168527100.0,0.125226860254,0.250003306843,115,0.00391310857042,1.7334191682000001e-13,0.124990974078
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-385577530.6,3613293.22746,-385023022.14,-382223912.216,-390040165.903,-389575946.359,-382355426.684,4.0,13055887947600.0,0.250453720508,0.124994709051,104,0.00391289118068,1.7334191682000001e-13,0.124990974078
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-398536784.927,4306714.39401,-397111749.78,-395303608.528,-404620031.622,-403709147.671,-395359471.391,4.0,18547788871600.0,0.249546279492,0.250003306843,93,0.0155957225633,1.7334191682000001e-13,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-413560893.851,4021239.50695,-413822169.265,-408972872.161,-417626364.715,-417404248.631,-409351753.493,4.0,16170367172300.0,0.125226860254,0.125001984106,71,0.00391368407525,1.7334191682000001e-13,0.250018051845
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-422535427.793,6327001.14929,-424812246.013,-413242407.839,-427274811.307,-427006220.054,-414877090.024,4.0,40030943543100.0,0.250453720508,0.249996693157,109,0.00782601010299,1.7334191682000001e-13,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-449805126.902,3582814.20297,-450364768.516,-445089338.165,-453401632.411,-453120701.799,-445706053.746,4.0,12836557613000.0,0.249546279492,0.250003306843,87,0.0155957225633,1.7334191682000001e-13,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-457931625.768,2632589.71393,-457590013.747,-455150069.412,-461396406.166,-460921284.82,-455420223.546,4.0,6930528601900.0,0.125226860254,0.250003306843,120,0.00391310857042,1.7334191682000001e-13,0.124990974078
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-481700444.061,1894406.46222,-481320556.81,-479931704.676,-484228957.949,-483896397.444,-480036332.831,4.0,3588775844110.0,0.249546279492,0.125001984106,98,0.00779788191041,1.7334191682000001e-13,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-506411672.381,4739167.10578,-504590876.526,-503160167.539,-513304768.932,-512170720.838,-503201738.121,4.0,22459704856500.0,0.250453720508,0.250003306843,114,0.00782621714084,1.7334191682000001e-13,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-507070570.769,4686836.26048,-507744337.606,-500742739.419,-512050868.447,-511445494.84,-501752373.128,4.0,21966434132500.0,0.125226860254,0.249996693157,81,0.00782601010299,1.7334191682000001e-13,0.249981948155
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-531683175.761,830722.362327,-531539368.785,-530928231.846,-532725733.628,-532612476.635,-530955204.654,4.0,690099643271.0,0.249546279492,0.250003306843,92,0.0155957225633,1.7334191682000001e-13,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-534107314.897,2755663.26591,-534893683.234,-530241185.333,-536400707.788,-536297328.11,-530816386.013,4.0,7593680035070.0,0.125226860254,0.125001984106,125,0.00195655946116,1.7334191682000001e-13,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-535265400.79,5229956.40874,-534736378.59,-529459630.352,-542129215.627,-541107669.33,-530163763.33,4.0,27352444037400.0,0.125226860254,0.124994709051,76,0.00391289118068,1.7334191682000001e-13,0.249981948155
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-548949523.005,6367121.64705,-548786901.627,-541318058.251,-556906230.516,-555703094.592,-542423621.347,4.0,40540238068300.0,0.249546279492,0.124994709051,103,0.00389871403872,1.7334191682000001e-13,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-566027641.778,8757508.83846,-563128805.432,-559141039.362,-578711916.889,-576610652.568,-559503001.874,4.0,76693961055700.0,0.249546279492,0.249996693157,108,0.00779765499392,1.7334191682000001e-13,0.124990974078
