smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,235752511.483,17839820.7444,231038719.001,280100955.668,216437880.563,217509685.492,263145626.527,10.0,318259204193000.0,2.4762864257000002e-14,0.00779884159372,0.249546279492,0.250018051845,53,0.124999315018
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,175193987.124,26532220.4784,168841275.287,210131935.359,129256142.176,141530617.924,209401643.06,10.0,703958723512000.0,2.4762864257000002e-14,0.00782607073597,0.250453720508,0.249981948155,79,0.124999315018
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,157305282.964,6831570.24166,159450644.589,164338017.781,142662237.015,145495719.445,163760821.565,10.0,46670351966700.0,2.4762864257000002e-14,0.00391360050885,0.125226860254,0.250018051845,26,0.124999315018
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,99816041.7802,41829588.5103,93333558.1109,157335333.282,18482518.1242,43109349.383,155894853.405,10.0,1749714474940000.0,2.4762864257000002e-14,0.00195651768399,0.125226860254,0.124990974078,105,0.124999315018
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,80211388.0295,18355986.6713,86034322.4517,101432597.953,41914745.3068,50038759.5538,100012737.683,10.0,336942246675000.0,2.4762864257000002e-14,0.00779884159372,0.249546279492,0.250018051845,52,0.124999315018
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-5453399.7527,16489193.3386,-7200268.4091,22454786.5873,-23218197.4526,-22629537.6447,20040663.1326,10.0,271893496958000.0,2.4762864257000002e-14,0.00779771540721,0.249546279492,0.249981948155,78,0.124999315018
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-66259866.4118,31590938.1723,-61464731.2432,-12821531.0346,-104905852.349,-101864129.515,-22691856.3916,9.0,997987374607000.0,2.4762864257000002e-14,0.00391303536798,0.250453720508,0.124990974078,104,0.124999315018
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-78178388.7412,14104409.1952,-73261307.5767,-62913162.0165,-104398800.287,-100377213.819,-63562790.0405,10.0,198934358746000.0,2.4762864257000002e-14,0.00391360050885,0.125226860254,0.250018051845,51,0.124999315018
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-138230250.277,1854458.63382,-137771461.745,-135015944.784,-141143800.833,-140924750.155,-135774302.626,10.0,3439016824540.0,2.4762864257000002e-14,0.00391305015624,0.125226860254,0.124990974078,6,0.249999574839
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-153169954.148,28065835.2324,-153589600.152,-99860484.5563,-182427311.679,-182268540.956,-111068505.693,10.0,787691107291000.0,2.4762864257000002e-14,0.00779771540721,0.249546279492,0.249981948155,77,0.124999315018
