smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,456782405.047,7393818.28212,455865672.85,469797634.276,444918450.226,447457160.251,466637541.88,10.0,54668548789000.0,0.249992724848,31,0.125226860254,0.0078270161323,0.250018051845,3.46688419418e-13
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,416105540.3,20796591.5594,415775753.064,447038952.537,372128012.074,385808430.54,444358257.499,10.0,432498220488000.0,0.12498974865,53,0.249546279492,0.00779824473773,0.250018051845,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,414623208.619,8864177.33942,413286375.8,437166550.384,404633304.808,406158930.271,428280521.606,10.0,78573639904700.0,0.250007275152,36,0.125226860254,0.00782747168739,0.250018051845,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,386203173.982,12711823.7557,382865099.169,404330409.2,369812168.563,372378488.11,404327950.826,10.0,161590463197000.0,0.12498974865,26,0.125226860254,0.00391330099566,0.250018051845,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,369045830.08,7122738.2434,367008371.372,384545265.617,360239874.463,361518060.92,380281596.654,10.0,50733400084000.0,0.250007275152,41,0.125226860254,0.00782747168739,0.250018051845,3.46688419418e-13
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,368838282.066,9406568.01448,369030106.727,383666705.5,351316248.064,355993070.113,381483332.728,10.0,88483521811000.0,0.249992724848,58,0.249546279492,0.0155973147564,0.250018051845,3.46688419418e-13
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,321418647.951,17629181.2414,317311074.492,346585866.206,292228429.239,298327378.13,343833792.687,10.0,310788031243000.0,0.250007275152,63,0.249546279492,0.0155982225654,0.250018051845,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,317262309.006,8695326.84347,316702739.736,331837072.861,303820313.556,306170516.361,328557844.477,10.0,75608708914800.0,0.125002976198,46,0.125226860254,0.00391371513664,0.250018051845,3.46688419418e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,309487430.531,24474027.0912,315409658.385,334006291.133,258169649.89,270581716.552,333936387.544,10.0,598978002060000.0,0.249992724848,57,0.249546279492,0.0155973147564,0.250018051845,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,297285634.721,22909216.6761,292911612.364,336701221.956,268181011.004,269833701.567,330536139.644,10.0,524832208714000.0,0.12498974865,79,0.250453720508,0.00782547179608,0.249981948155,3.46688419418e-13
